peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,7,chr1,3514678,3514889,5.79550,6.99599,91,211,ENSMUSG00000103201,,Gm37329,chr1,3512451,3514507,-1
10,32,chr1,4786494,4787042,4.42100,5.40180,320,548,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
13,35,chr1,4856885,4857049,4.92673,5.22792,46,164,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
22,54,chr1,6216182,6216652,5.68977,6.85085,338,470,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
24,67,chr1,7087897,7088127,3.95390,5.05792,123,230,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
25,67,chr1,7088181,7088331,3.23793,4.23677,92,150,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
31,102,chr1,9548285,9548639,5.15379,9.46896,105,354,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
34,105,chr1,9631185,9631469,4.52302,4.62780,179,284,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
40,108,chr1,9745563,9746298,3.79988,3.87065,620,735,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
41,108,chr1,9746407,9746586,5.31844,8.67390,95,179,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
42,108,chr1,9746663,9747368,5.30832,8.82888,131,705,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
43,109,chr1,9748711,9748856,4.02228,5.19451,58,145,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
58,110,chr1,9796333,9796662,4.76859,6.88203,201,329,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
63,111,chr1,9802478,9802680,2.56357,1.25658,126,202,ENSMUSG00000046334,,Gm6195,chr1,9802197,9802553,-1
64,111,chr1,9802891,9803074,2.42454,1.25658,124,183,ENSMUSG00000046334,,Gm6195,chr1,9802197,9802553,-1
65,111,chr1,9803252,9803468,4.00680,4.31430,121,216,ENSMUSG00000046334,,Gm6195,chr1,9802197,9802553,-1
66,111,chr1,9803759,9803927,3.03067,2.23297,40,168,ENSMUSG00000046334,,Gm6195,chr1,9802197,9802553,-1
67,111,chr1,9804288,9804489,3.35099,3.06679,131,201,ENSMUSG00000046334,,Gm6195,chr1,9802197,9802553,-1
68,111,chr1,9804644,9805039,2.12361,0.92308,31,395,ENSMUSG00000046334,,Gm6195,chr1,9802197,9802553,-1
99,114,chr1,9942265,9942474,4.59158,5.27160,97,209,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
100,114,chr1,9944440,9944803,5.28996,8.45313,100,363,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
100,115,chr1,9944440,9944803,5.28996,8.45313,100,363,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
106,119,chr1,10008835,10009091,2.42454,1.25658,200,256,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
107,119,chr1,10009442,10009606,3.89009,3.22723,51,164,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
107,120,chr1,10009442,10009606,3.89009,3.22723,51,164,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
108,121,chr1,10035598,10035802,3.53431,3.00122,102,204,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
109,121,chr1,10036334,10036514,3.89963,4.03877,69,180,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
110,121,chr1,10036807,10037082,6.63278,10.48665,142,275,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
111,122,chr1,10038898,10039335,9.12711,19.46525,312,437,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
112,122,chr1,10039457,10039653,8.43358,20.44207,100,196,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
113,122,chr1,10040490,10040686,6.67956,11.13492,112,196,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
147,159,chr1,13258972,13260141,9.63476,24.60532,919,1169,ENSMUSG00000099183,,Gm27881,chr1,13262198,13262279,1
152,160,chr1,13289844,13290034,2.02045,0.63539,189,190,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
153,160,chr1,13290102,13290417,4.27627,4.16866,226,315,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
154,160,chr1,13291578,13291807,5.29841,6.25144,125,229,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
157,161,chr1,13300027,13300208,3.60092,2.77086,96,181,ENSMUSG00000104170,,Gm37702,chr1,13297036,13298907,-1
165,162,chr1,13335914,13336139,4.76237,4.44322,52,225,ENSMUSG00000087782,,Gm23169,chr1,13334498,13334609,-1
166,162,chr1,13336415,13336583,4.27262,3.75439,71,168,ENSMUSG00000087782,,Gm23169,chr1,13334498,13334609,-1
170,163,chr1,13347483,13347752,3.03067,2.23297,134,269,ENSMUSG00000103085,,Gm38120,chr1,13343563,13348204,-1
171,164,chr1,13356397,13356532,3.64326,2.81018,67,135,ENSMUSG00000102664,,Gm38380,chr1,13354483,13356730,-1
172,164,chr1,13356612,13356792,4.50434,4.50488,123,180,ENSMUSG00000102664,,Gm38380,chr1,13354483,13356730,-1
173,164,chr1,13358823,13359248,5.53722,6.11547,128,425,ENSMUSG00000102664,,Gm38380,chr1,13354483,13356730,-1
209,168,chr1,13590279,13590622,3.71607,4.59896,78,343,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
217,170,chr1,13660757,13661322,9.25335,24.52423,405,565,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
221,185,chr1,14918534,14918685,3.57889,3.44566,62,151,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
222,188,chr1,15287682,15287898,4.04089,3.75439,110,216,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
225,195,chr1,15805169,15805412,3.18731,4.17611,167,243,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
237,204,chr1,16227965,16228284,5.02065,5.26226,115,319,ENSMUSG00000100868,,Gm28095,chr1,16228506,16244062,1
238,204,chr1,16228346,16228495,3.47095,2.23655,97,149,ENSMUSG00000100868,,Gm28095,chr1,16228506,16244062,1
239,204,chr1,16228838,16229096,4.50434,4.50488,104,258,ENSMUSG00000100868,,Gm28095,chr1,16228506,16244062,1
243,207,chr1,16616402,16616804,4.07342,4.70751,264,402,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
244,207,chr1,16617913,16618364,9.98249,20.98922,134,451,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
245,208,chr1,16619505,16619881,4.37100,6.38006,83,376,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
