peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3669017,3672807,55.42122,412.93753,2260,3790,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
4,32,chr1,4784769,4786450,40.98117,360.76617,799,1681,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
5,33,chr1,4807259,4809037,61.25757,445.99121,791,1778,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
5,34,chr1,4807259,4809037,61.25757,445.99121,791,1778,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
6,35,chr1,4856913,4859177,53.50093,374.09674,1312,2264,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
9,47,chr1,5588195,5589265,16.00014,85.08829,344,1070,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
10,51,chr1,5916350,5918134,23.11132,145.08763,769,1784,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
11,54,chr1,6213248,6216673,61.65534,449.73099,1098,3425,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
14,55,chr1,6358772,6359673,20.48549,101.02757,556,901,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
15,57,chr1,6382609,6383580,30.23101,174.30745,453,971,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
16,58,chr1,6441105,6441851,18.09883,84.46814,275,746,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
23,67,chr1,7087790,7090817,41.96541,271.55783,1421,3027,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
26,74,chr1,7396994,7398835,32.04756,258.54449,790,1841,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
29,95,chr1,9298047,9300975,42.36319,274.99078,1318,2928,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
30,101,chr1,9544814,9547824,45.34651,300.99115,752,3010,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
30,102,chr1,9544814,9547824,45.34651,300.99115,752,3010,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
31,104,chr1,9600837,9602758,16.05709,118.57132,744,1921,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
32,107,chr1,9699278,9701548,50.51760,347.02768,1480,2270,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
34,108,chr1,9744423,9745185,10.14490,36.70397,594,762,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
35,108,chr1,9745326,9748931,63.84311,470.38062,2756,3605,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
35,109,chr1,9745326,9748931,63.84311,470.38062,2756,3605,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
36,110,chr1,9797493,9799105,53.30204,372.28125,871,1612,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
38,113,chr1,9908353,9909312,10.54107,37.10473,401,959,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
39,114,chr1,9942044,9944780,72.99197,558.02246,1857,2736,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
39,115,chr1,9942044,9944780,72.99197,558.02246,1857,2736,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
40,116,chr1,9966949,9968530,18.09883,84.46814,1138,1581,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
40,117,chr1,9966949,9968530,18.09883,84.46814,1138,1581,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
41,119,chr1,10008753,10009496,10.24921,59.06734,305,743,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
41,120,chr1,10008753,10009496,10.24921,59.06734,305,743,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
42,121,chr1,10036786,10040907,48.35495,449.47418,923,4121,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
42,122,chr1,10036786,10040907,48.35495,449.47418,923,4121,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
43,126,chr1,10230957,10234014,67.42310,504.44116,1444,3057,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
44,136,chr1,10993035,10994790,29.81080,261.05289,723,1755,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
46,140,chr1,11413482,11415098,27.50985,209.37927,961,1616,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
46,141,chr1,11413482,11415098,27.50985,209.37927,961,1616,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
47,151,chr1,12691723,12694141,7.73634,47.10434,1453,2418,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
53,152,chr1,12987787,12993277,33.74920,277.49786,3190,5490,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
55,156,chr1,13126222,13126814,3.61650,4.92536,173,592,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
56,156,chr1,13128032,13128787,3.68689,6.81109,448,755,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
57,165,chr1,13371247,13375042,67.42310,504.44116,1743,3795,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
