peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,5,chr1,3484251,3484497,4.10658,2.07897,82,246,ENSMUSG00000089699,,Gm1992,chr1,3466587,3513553,1
2,8,chr1,3531632,3531848,3.08730,0.54969,70,216,ENSMUSG00000103147,,Gm7341,chr1,3531795,3532720,1
3,14,chr1,3784370,3784772,3.56480,1.45081,131,402,ENSMUSG00000088333,,Gm27396,chr1,3783876,3783933,-1
4,15,chr1,3952414,3952648,3.31480,1.47633,104,234,ENSMUSG00000102343,,Gm37381,chr1,3905739,3986215,-1
9,42,chr1,5119376,5119604,3.66975,1.47633,72,228,ENSMUSG00000033793,108664.0,Atp6v1h,chr1,5070018,5162529,1
13,45,chr1,5307134,5307525,3.52414,0.94703,104,391,ENSMUSG00000104046,,Gm37567,chr1,5307739,5310017,1
20,58,chr1,6429861,6430313,3.54182,2.03674,394,452,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
21,58,chr1,6439808,6440069,3.23292,0.94703,91,261,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
32,105,chr1,9631029,9631212,3.08730,0.54969,121,183,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
35,140,chr1,11915355,11915554,3.37853,0.94703,151,199,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
36,140,chr1,11945540,11945779,3.08730,0.54969,102,239,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
40,149,chr1,12669929,12670161,3.23292,0.94703,80,232,ENSMUSG00000097171,,Gm17644,chr1,12667563,12673090,1
40,150,chr1,12669929,12670161,3.23292,0.94703,80,232,ENSMUSG00000101314,,Gm29663,chr1,12670324,12671176,-1
42,151,chr1,12797267,12797438,2.79608,0.13838,14,171,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
58,188,chr1,15689425,15689631,3.37853,0.94703,67,206,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
60,216,chr1,16994032,16994282,3.08778,0.94703,127,250,ENSMUSG00000101640,,Gm28376,chr1,16898185,17091631,1
60,218,chr1,16994032,16994282,3.08778,0.94703,127,250,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
68,264,chr1,20728251,20728524,4.32584,2.92137,133,273,ENSMUSG00000025929,16171.0,Il17a,chr1,20730905,20734496,1
69,268,chr1,20837894,20838178,3.81536,1.47633,88,284,ENSMUSG00000102121,,Gm28065,chr1,20836661,20839689,1
71,300,chr1,22565329,22565714,2.97427,0.61036,203,385,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
79,321,chr1,24208377,24208620,2.65184,0.63377,167,243,ENSMUSG00000026147,12839.0,Col9a1,chr1,24177610,24252684,1
80,321,chr1,24209028,24209319,3.56480,1.45081,259,291,ENSMUSG00000026147,12839.0,Col9a1,chr1,24177610,24252684,1
81,323,chr1,24478556,24478738,3.52414,0.94703,78,182,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
98,447,chr1,33952520,33952702,2.63373,0.24907,167,182,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
99,447,chr1,33959054,33959245,3.96097,2.07897,106,191,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
100,447,chr1,33986137,33986410,4.25219,2.71935,156,273,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
101,460,chr1,34426558,34426729,3.66975,1.47633,48,171,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
102,460,chr1,34427430,34427606,3.52414,0.94703,59,176,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
103,460,chr1,34429917,34430490,3.48948,1.96418,326,573,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
104,460,chr1,34430655,34431971,5.26216,4.68879,665,1316,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
106,471,chr1,34548939,34549255,2.86075,0.61036,160,316,ENSMUSG00000037529,21756.0,Prss40,chr1,34543968,34560943,-1
110,486,chr1,34929870,34930197,4.10938,3.17783,101,327,ENSMUSG00000103716,,Gm19430,chr1,34928509,34930645,1
111,486,chr1,34930241,34930867,4.98025,4.11391,146,626,ENSMUSG00000103716,,Gm19430,chr1,34928509,34930645,1
126,524,chr1,36623454,36623952,3.81536,1.47633,96,498,ENSMUSG00000046337,381337.0,Fam178b,chr1,36562692,36683183,-1
127,537,chr1,37047198,37047496,3.08778,0.94703,151,298,ENSMUSG00000050122,70853.0,Vwa3b,chr1,37026596,37187613,1
128,537,chr1,37051612,37051852,2.97427,0.61036,79,240,ENSMUSG00000050122,70853.0,Vwa3b,chr1,37026596,37187613,1
129,537,chr1,37160414,37160607,2.94169,0.54969,120,193,ENSMUSG00000050122,70853.0,Vwa3b,chr1,37026596,37187613,1
130,537,chr1,37164612,37164787,2.56103,0.32361,135,175,ENSMUSG00000050122,70853.0,Vwa3b,chr1,37026596,37187613,1
131,539,chr1,37228753,37229076,2.78385,0.46778,298,323,ENSMUSG00000026114,12790.0,Cnga3,chr1,37214434,37263384,1
133,541,chr1,37310255,37310528,2.97427,0.61036,153,273,ENSMUSG00000026113,269180.0,Inpp4a,chr1,37299865,37410736,1
134,548,chr1,37506858,37507140,4.25219,2.71935,94,282,ENSMUSG00000026110,269181.0,Mgat4a,chr1,37439340,37541016,-1
135,555,chr1,37874922,37875890,3.65533,2.03674,507,968,ENSMUSG00000037216,623661.0,Lipt1,chr1,37871738,37876228,1
135,556,chr1,37874922,37875890,3.65533,2.03674,507,968,ENSMUSG00000026088,69028.0,Mitd1,chr1,37874801,37890411,-1
142,571,chr1,38639317,38639511,2.93529,0.54969,98,194,ENSMUSG00000037138,16764.0,Aff3,chr1,38177326,38664955,-1
143,581,chr1,39048661,39049166,3.98914,2.01150,378,505,ENSMUSG00000104188,,Gm37821,chr1,39048648,39057637,-1
145,582,chr1,39085014,39085399,3.44224,1.32480,111,385,ENSMUSG00000103182,,Gm37091,chr1,39081252,39083338,-1
146,584,chr1,39351473,39351717,3.66975,1.47633,111,244,ENSMUSG00000026077,18143.0,Npas2,chr1,39193731,39363236,1
149,590,chr1,39518941,39519230,2.93529,0.54969,172,289,ENSMUSG00000065629,,Gm24826,chr1,39519533,39519747,1
149,591,chr1,39518941,39519230,2.93529,0.54969,172,289,ENSMUSG00000104827,,Gm24826,chr1,39519533,39519748,1
