peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
2,11,chr1,3669006,3672776,38.40565,326.81491,2154,3770,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
5,19,chr1,4495969,4496394,3.90993,4.49609,266,425,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
6,20,chr1,4497374,4497649,3.10789,2.68161,75,275,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
8,26,chr1,4689077,4689431,3.75479,4.21289,156,354,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
9,32,chr1,4784880,4786453,66.33736,384.45312,700,1573,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
10,33,chr1,4807283,4809033,72.67615,433.06729,758,1750,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
10,34,chr1,4807283,4809033,72.67615,433.06729,758,1750,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
11,35,chr1,4857093,4859122,63.88956,380.50632,1230,2029,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
16,47,chr1,5588176,5589307,14.26741,79.20378,481,1131,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
17,51,chr1,5916402,5918128,38.67721,189.88844,774,1726,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
18,54,chr1,6213617,6216429,39.45972,339.98517,1420,2812,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
20,55,chr1,6358741,6359627,27.65474,128.58420,541,886,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
21,57,chr1,6382564,6383532,42.12299,220.81969,466,968,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
22,58,chr1,6441094,6441767,26.19172,111.44000,320,673,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
28,67,chr1,7087899,7090662,46.87978,263.06671,1596,2763,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
30,74,chr1,7396993,7398024,54.04396,295.39163,811,1031,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
31,74,chr1,7398064,7398900,27.09819,175.43338,393,836,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
34,95,chr1,9297990,9301019,36.77514,250.90460,1281,3029,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
35,101,chr1,9544791,9546873,38.86333,243.25195,784,2082,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
35,102,chr1,9544791,9546873,38.86333,243.25195,784,2082,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
36,102,chr1,9546957,9547492,5.59941,9.77429,242,535,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
37,102,chr1,9547751,9548305,3.73294,5.75786,371,554,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
38,104,chr1,9600983,9603046,27.22117,176.94255,585,2063,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
39,107,chr1,9699390,9701439,65.18079,390.07468,1392,2049,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
41,108,chr1,9744870,9745186,10.24872,27.69485,172,316,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
42,108,chr1,9745389,9746212,16.27654,57.96301,185,823,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
43,108,chr1,9746395,9748933,57.16202,403.70303,1645,2538,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
43,109,chr1,9746395,9748933,57.16202,403.70303,1645,2538,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
44,110,chr1,9797430,9798929,68.06612,398.00632,936,1499,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
46,113,chr1,9908291,9909119,8.99706,37.64340,455,828,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
47,114,chr1,9942124,9944776,71.26806,438.31744,1773,2652,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
47,115,chr1,9942124,9944776,71.26806,438.31744,1773,2652,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
