peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
15,54,chr1,6215649,6216952,3.17433,3.83078,345,1303,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
22,67,chr1,7087769,7088375,2.76029,2.53977,427,606,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
26,68,chr1,7137212,7137573,3.37957,3.33593,177,361,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
27,68,chr1,7138124,7138448,3.65141,4.20841,169,324,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
31,101,chr1,9544794,9545066,4.50609,6.54071,179,272,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
32,102,chr1,9547423,9547868,3.55766,4.56085,176,445,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
33,102,chr1,9548276,9548836,3.56732,3.83078,213,560,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
38,107,chr1,9699530,9700037,3.75508,4.34036,356,507,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
39,107,chr1,9701115,9701380,3.56732,3.83078,85,265,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
42,108,chr1,9745416,9747421,5.38256,12.38057,1689,2005,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
43,110,chr1,9796938,9797216,3.69444,4.42665,167,278,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
44,114,chr1,9941562,9942186,3.02396,2.60813,369,624,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
45,114,chr1,9942242,9942939,2.72510,2.96014,172,697,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
46,119,chr1,10008583,10009107,3.37957,3.33593,212,524,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
