peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
2,19,chr1,4494175,4495440,6.47161,15.95130,1124,1265,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,19,chr1,4495599,4498151,12.71736,51.76251,1578,2552,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,20,chr1,4495599,4498151,12.71736,51.76251,1578,2552,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
9,32,chr1,4785385,4785694,4.63120,9.29955,137,309,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
10,33,chr1,4807485,4808342,13.30500,53.99883,549,857,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
10,34,chr1,4807485,4808342,13.30500,53.99883,549,857,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
11,35,chr1,4857025,4858820,12.35488,47.40620,1094,1795,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
14,54,chr1,6213254,6215822,40.59462,260.86777,1557,2568,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
15,57,chr1,6382821,6383153,4.11829,6.37708,174,332,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
16,67,chr1,7087925,7088846,18.82649,89.42377,645,921,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
17,67,chr1,7088926,7090706,21.76813,110.28208,312,1780,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
20,74,chr1,7398148,7398623,6.35351,16.09193,151,475,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
21,101,chr1,9545422,9546388,6.27550,15.06684,413,966,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
21,102,chr1,9545422,9546388,6.27550,15.06684,413,966,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
22,102,chr1,9547126,9547892,4.63444,16.27943,593,766,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
