peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670489,3671285,2.47209,4.67648,219,796,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
1,11,chr1,3671764,3672615,2.74660,6.34927,666,851,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
9,19,chr1,4496270,4497962,2.69200,6.75154,961,1692,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
9,20,chr1,4496270,4497962,2.69200,6.75154,961,1692,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
20,47,chr1,5588473,5589307,3.19761,9.43971,529,834,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
21,51,chr1,5916188,5918040,3.22699,9.64157,592,1852,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
23,54,chr1,6215626,6216732,2.63085,6.32839,460,1106,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
24,55,chr1,6359118,6359540,3.06561,9.03333,246,422,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
33,82,chr1,8468745,8469038,2.74660,6.34927,173,293,ENSMUSG00000086235,,Gm16284,chr1,8468426,8468825,-1
35,95,chr1,9298664,9300268,3.52375,11.99524,1326,1604,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
36,102,chr1,9547438,9547895,2.61055,5.79801,202,457,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
37,102,chr1,9547950,9548845,4.11914,16.32662,195,895,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
40,105,chr1,9630864,9631386,2.26890,4.00188,373,522,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
41,107,chr1,9699487,9700147,3.57013,11.74480,312,660,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
42,108,chr1,9745589,9747490,4.40443,20.63391,1565,1901,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
49,114,chr1,9942237,9942548,2.12896,2.84692,144,311,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
50,114,chr1,9942820,9943125,3.09903,8.90898,166,305,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
51,116,chr1,9966877,9968167,3.57013,11.74480,426,1290,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
51,117,chr1,9966877,9968167,3.57013,11.74480,426,1290,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
53,119,chr1,10008585,10009401,2.14423,4.39171,176,816,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
54,121,chr1,10036188,10036587,2.67797,5.91331,152,399,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
55,121,chr1,10036678,10037133,2.93660,8.07591,210,455,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
56,122,chr1,10038872,10039877,2.87897,8.15619,278,1005,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
57,122,chr1,10040074,10041300,2.54533,5.38531,483,1226,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
67,131,chr1,10719334,10720529,2.88210,8.67242,418,1195,ENSMUSG00000042501,329093.0,Cpa6,chr1,10324720,10719945,-1
80,146,chr1,12424313,12425210,3.29562,9.64157,497,897,ENSMUSG00000098555,,Mir6341,chr1,12425986,12426106,1
87,151,chr1,12690849,12691389,3.15836,9.15662,232,540,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
88,151,chr1,12691706,12692109,2.81523,6.79385,276,403,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
115,152,chr1,12992219,12993021,3.30104,9.88630,606,802,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
118,156,chr1,13126316,13126821,3.98189,15.13743,287,505,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
119,156,chr1,13126970,13127440,3.84463,13.97900,199,470,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
120,156,chr1,13127976,13128845,3.08974,8.66791,626,869,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
130,158,chr1,13234245,13236088,3.13238,8.95337,680,1843,ENSMUSG00000103495,,Gm37409,chr1,13234809,13236434,-1
141,159,chr1,13259332,13259984,2.01239,2.96462,269,652,ENSMUSG00000099183,,Gm27881,chr1,13262198,13262279,1
146,160,chr1,13288858,13292996,4.80541,22.67980,1600,4138,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
151,161,chr1,13299099,13302961,5.01130,24.70851,1752,3862,ENSMUSG00000104170,,Gm37702,chr1,13297036,13298907,-1
165,162,chr1,13336409,13336812,2.87897,8.15619,204,403,ENSMUSG00000087782,,Gm23169,chr1,13334498,13334609,-1
169,164,chr1,13357196,13357450,2.67797,5.91331,81,254,ENSMUSG00000102664,,Gm38380,chr1,13354483,13356730,-1
170,164,chr1,13358534,13359200,2.40346,4.28469,529,666,ENSMUSG00000102664,,Gm38380,chr1,13354483,13356730,-1
190,169,chr1,13642966,13643981,2.07321,3.13035,342,1015,ENSMUSG00000102982,,Gm38319,chr1,13641483,13642748,-1
196,173,chr1,13787771,13788038,2.81523,6.79385,145,267,ENSMUSG00000097711,,Gm5523,chr1,13785883,13786879,-1
200,177,chr1,14181582,14182161,2.83340,8.76306,199,579,ENSMUSG00000095853,,Gm22616,chr1,14182578,14182677,1
212,181,chr1,14755038,14756287,3.16674,10.47195,172,1249,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
218,198,chr1,15892219,15893103,3.63875,12.29077,271,884,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
220,200,chr1,16092719,16093638,3.15836,9.15662,285,919,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
221,202,chr1,16102849,16103389,2.33853,5.00401,196,540,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
222,201,chr1,16106538,16107011,2.95248,7.71121,292,473,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
225,204,chr1,16227800,16228638,3.70738,12.84531,303,838,ENSMUSG00000100868,,Gm28095,chr1,16228506,16244062,1
231,205,chr1,16253317,16253746,2.88385,7.25026,228,429,ENSMUSG00000089982,,Gm7568,chr1,16253592,16267921,1
240,207,chr1,16617163,16618374,3.39329,10.94584,743,1211,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
242,210,chr1,16653658,16655946,3.91511,15.34485,1015,2288,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
243,211,chr1,16665990,16666378,2.47209,4.67648,112,388,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
246,213,chr1,16687766,16688177,3.02111,8.18423,166,411,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
252,218,chr1,17096757,17099017,3.07947,9.00845,323,2260,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
253,220,chr1,17145535,17145910,2.81523,6.79385,224,375,ENSMUSG00000025777,14545.0,Gdap1,chr1,17145362,17164271,1
256,236,chr1,18057270,18057991,2.67797,5.91331,123,721,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
260,251,chr1,19240952,19241591,1.95797,2.83263,487,639,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
263,267,chr1,20818339,20819106,3.53790,12.06299,474,767,ENSMUSG00000099714,,Gm20587,chr1,20821331,20822516,1
267,270,chr1,20889902,20890391,2.81523,6.79385,176,489,ENSMUSG00000097934,,6720483E21Rik,chr1,20888650,20890473,-1
267,271,chr1,20889902,20890391,2.81523,6.79385,176,489,ENSMUSG00000025931,74229.0,Paqr8,chr1,20890606,20939650,1
268,270,chr1,20891151,20891965,3.98189,15.13743,293,814,ENSMUSG00000097934,,6720483E21Rik,chr1,20888650,20890473,-1
271,274,chr1,20951772,20952539,2.99776,8.53587,350,767,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
293,275,chr1,21077137,21078945,2.88741,9.71544,195,1808,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
293,276,chr1,21077137,21078945,2.88741,9.71544,195,1808,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
294,275,chr1,21079285,21079837,2.67797,5.91331,375,552,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
294,276,chr1,21079285,21079837,2.67797,5.91331,375,552,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
295,275,chr1,21080245,21080541,2.48010,4.98539,162,296,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
295,276,chr1,21080245,21080541,2.48010,4.98539,162,296,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
301,278,chr1,21218876,21219731,3.98189,15.13743,568,855,ENSMUSG00000025933,75712.0,Tmem14a,chr1,21218575,21230167,1
302,281,chr1,21271435,21272349,2.48217,5.39222,554,914,ENSMUSG00000099343,,Gm28836,chr1,21250359,21271593,-1
302,282,chr1,21271435,21272349,2.48217,5.39222,554,914,ENSMUSG00000096375,,Gm7094,chr1,21272403,21272906,1
304,293,chr1,21456030,21456642,3.12231,9.19236,255,612,ENSMUSG00000104138,,Gm36949,chr1,21454691,21457017,-1
305,293,chr1,21457418,21457738,3.50150,11.20593,145,320,ENSMUSG00000104138,,Gm36949,chr1,21454691,21457017,-1
306,293,chr1,21458548,21459422,3.84463,13.97900,295,874,ENSMUSG00000104138,,Gm36949,chr1,21454691,21457017,-1
332,296,chr1,21961857,21964239,4.11914,16.32662,1527,2382,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
340,300,chr1,22805138,22805599,3.48696,12.50130,181,461,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
341,300,chr1,22806190,22806907,2.06096,3.44240,254,717,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
353,305,chr1,23258598,23259555,2.09764,4.06919,616,957,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
357,306,chr1,23269590,23269900,3.02111,8.18423,167,310,ENSMUSG00000065405,,Mir30a,chr1,23272269,23272339,1
358,306,chr1,23270396,23271272,3.32806,10.43026,632,876,ENSMUSG00000065405,,Mir30a,chr1,23272269,23272339,1
359,306,chr1,23271332,23271912,3.05891,9.00160,411,580,ENSMUSG00000065405,,Mir30a,chr1,23272269,23272339,1
360,306,chr1,23271981,23272416,2.88385,7.25026,201,435,ENSMUSG00000065405,,Mir30a,chr1,23272269,23272339,1
373,314,chr1,23761403,23762032,2.59120,6.42907,516,629,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
382,315,chr1,23920346,23922009,3.57013,11.74480,137,1663,ENSMUSG00000026155,98366.0,Smap1,chr1,23844846,23922317,-1
384,316,chr1,24004386,24004820,3.32806,10.43026,247,434,ENSMUSG00000102495,,Gm26524,chr1,24005505,24005894,1
386,318,chr1,24100838,24101432,3.15836,9.15662,203,594,ENSMUSG00000026153,68187.0,Fam135a,chr1,24011093,24100341,-1
386,319,chr1,24100838,24101432,3.15836,9.15662,203,594,ENSMUSG00000102398,,Gm37580,chr1,24100625,24103424,1
394,323,chr1,24586364,24587674,2.10468,3.90692,1173,1310,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
401,360,chr1,25829824,25830070,2.33484,3.90692,91,246,ENSMUSG00000033569,210933.0,Adgrb3,chr1,25067476,25829707,-1
401,361,chr1,25829824,25830070,2.33484,3.90692,91,246,ENSMUSG00000104516,,Gm9884,chr1,25830657,25831878,1
