peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3667115,3672805,41.97096,413.73871,4124,5690,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,19,chr1,4495897,4496384,4.03512,8.81656,286,487,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,19,chr1,4496722,4497608,3.74375,8.51051,705,886,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,20,chr1,4496722,4497608,3.74375,8.51051,705,886,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,26,chr1,4689123,4689485,4.50514,10.52149,172,362,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
6,32,chr1,4784823,4786518,47.55843,452.70798,739,1695,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
7,33,chr1,4807114,4808908,39.56566,433.62625,923,1794,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
7,34,chr1,4807114,4808908,39.56566,433.62625,923,1794,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
8,35,chr1,4856907,4859195,42.69154,391.33478,1467,2288,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
13,47,chr1,5588114,5589620,17.23394,109.87868,432,1506,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
14,51,chr1,5916454,5918102,18.23228,119.04396,677,1648,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
15,54,chr1,6213374,6216465,49.93679,492.13211,1479,3091,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
17,55,chr1,6358734,6359672,15.64998,105.84263,577,938,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
18,57,chr1,6382556,6383477,25.09585,188.74103,495,921,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
19,58,chr1,6441116,6441784,13.11580,72.65132,366,668,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
25,67,chr1,7088045,7090853,32.36472,293.81631,1085,2808,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
27,74,chr1,7396982,7398832,36.95110,321.82819,796,1850,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
28,95,chr1,9296125,9301002,34.08088,289.66382,3413,4877,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
29,101,chr1,9544729,9547746,33.83130,286.48584,790,3017,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
29,102,chr1,9544729,9547746,33.83130,286.48584,790,3017,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
30,102,chr1,9547967,9548391,3.36869,8.52797,233,424,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
31,104,chr1,9600925,9602652,19.10582,128.36858,646,1727,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
33,107,chr1,9699350,9701464,41.75845,387.98248,1387,2114,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
35,108,chr1,9744125,9745193,9.62162,44.73985,878,1068,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
36,108,chr1,9745306,9748983,49.55511,476.94611,2797,3677,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
36,109,chr1,9745306,9748983,49.55511,476.94611,2797,3677,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
37,110,chr1,9797378,9799273,46.56010,438.93631,976,1895,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
39,113,chr1,9908309,9909115,7.99932,32.64646,411,806,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
40,114,chr1,9942205,9944748,49.43032,475.20554,1691,2543,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
40,115,chr1,9942205,9944748,49.43032,475.20554,1691,2543,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
41,116,chr1,9966878,9968538,13.36538,75.01820,1254,1660,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
41,117,chr1,9966878,9968538,13.36538,75.01820,1254,1660,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
42,119,chr1,10008601,10009601,13.36538,75.01820,444,1000,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
42,120,chr1,10008601,10009601,13.36538,75.01820,444,1000,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
43,121,chr1,10036771,10040972,39.76747,435.26306,3211,4201,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
43,122,chr1,10036771,10040972,39.76747,435.26306,3211,4201,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
44,126,chr1,10231069,10234016,49.38808,476.35849,1301,2947,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
45,136,chr1,10992942,10994946,41.94279,382.93704,717,2004,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
47,140,chr1,11413454,11415668,26.17932,210.29854,727,2214,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
47,141,chr1,11413454,11415668,26.17932,210.29854,727,2214,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
48,151,chr1,12691730,12693815,12.11746,64.51241,1435,2085,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
52,152,chr1,12990175,12993180,32.45140,270.66663,1956,3005,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
54,156,chr1,13128109,13128741,3.13831,5.58388,413,632,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
55,165,chr1,13371405,13375040,48.43198,463.07013,1512,3635,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
55,166,chr1,13371405,13375040,48.43198,463.07013,1512,3635,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
57,168,chr1,13588235,13590418,46.78177,484.22485,1312,2183,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
58,170,chr1,13659886,13661041,27.71412,241.48674,548,1155,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
62,179,chr1,14308152,14310691,26.16422,270.98718,1717,2539,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
65,181,chr1,14754851,14756621,36.07756,312.11133,750,1770,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
66,185,chr1,14918289,14919244,11.61829,59.96875,531,955,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
67,188,chr1,15286031,15289722,37.24608,355.89203,1024,3691,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
68,195,chr1,15805121,15806861,41.05301,457.28528,826,1740,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
69,198,chr1,15892297,15893239,27.71648,216.88219,466,942,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
70,200,chr1,16092753,16093609,17.98269,116.40781,434,856,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
71,201,chr1,16103008,16107576,25.05776,303.86124,1131,4568,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
71,202,chr1,16103008,16107576,25.05776,303.86124,1131,4568,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
72,206,chr1,16518039,16520526,43.93946,406.53485,999,2487,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
73,207,chr1,16617083,16620021,51.30220,499.61856,1958,2938,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
73,208,chr1,16617083,16620021,51.30220,499.61856,1958,2938,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
74,209,chr1,16655665,16657858,43.44030,401.46249,1003,2193,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
74,210,chr1,16655665,16657858,43.44030,401.46249,1003,2193,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
75,211,chr1,16664864,16666543,48.05761,457.87946,613,1679,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
75,212,chr1,16664864,16666543,48.05761,457.87946,613,1679,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
76,213,chr1,16687920,16689145,23.59834,172.83244,740,1225,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
77,218,chr1,17096139,17098249,33.00431,298.51871,1475,2110,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
78,220,chr1,17145153,17146521,30.28333,273.29706,420,1368,ENSMUSG00000025777,14545.0,Gdap1,chr1,17145362,17164271,1
79,229,chr1,17726913,17728314,16.53771,139.71033,664,1401,ENSMUSG00000025776,83691.0,Crispld1,chr1,17727045,17766344,1
79,230,chr1,17726913,17728314,16.53771,139.71033,664,1401,ENSMUSG00000085125,,Gm16070,chr1,17676027,17727646,-1
80,236,chr1,18057094,18059254,31.79711,287.58524,1525,2160,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
80,237,chr1,18057094,18059254,31.79711,287.58524,1525,2160,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
82,250,chr1,19205668,19206436,8.49849,35.57645,223,768,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
83,250,chr1,19209046,19212480,6.07735,24.87643,946,3434,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
87,251,chr1,19241218,19241713,3.91932,8.50769,290,495,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
90,266,chr1,20819207,20820849,24.22230,180.02725,797,1642,ENSMUSG00000041859,17215.0,Mcm3,chr1,20802968,20820312,-1
90,267,chr1,20819207,20820849,24.22230,180.02725,797,1642,ENSMUSG00000099714,,Gm20587,chr1,20821331,20822516,1
91,270,chr1,20890030,20894145,34.41942,358.03683,806,4115,ENSMUSG00000097934,,6720483E21Rik,chr1,20888650,20890473,-1
91,271,chr1,20890030,20894145,34.41942,358.03683,806,4115,ENSMUSG00000025931,74229.0,Paqr8,chr1,20890606,20939650,1
92,274,chr1,20950994,20952435,24.59668,182.92093,779,1441,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
93,275,chr1,21077962,21079996,32.73206,288.87280,1603,2034,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
93,276,chr1,21077962,21079996,32.73206,288.87280,1603,2034,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
95,278,chr1,21218204,21219552,23.95952,244.20341,538,1348,ENSMUSG00000025933,75712.0,Tmem14a,chr1,21218575,21230167,1
