peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670588,3672548,32.04297,139.90106,871,1960,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,19,chr1,4496756,4497671,4.76123,7.45924,649,915,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,20,chr1,4496756,4497671,4.76123,7.45924,649,915,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,32,chr1,4784797,4785609,14.41709,44.32864,385,812,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
6,32,chr1,4785787,4786460,12.09159,36.73589,384,673,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
7,33,chr1,4807313,4809071,12.67626,36.81323,1259,1758,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
7,34,chr1,4807313,4809071,12.67626,36.81323,1259,1758,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
8,35,chr1,4856813,4857629,5.63313,9.68456,616,816,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
9,35,chr1,4858043,4859077,6.08125,26.16585,693,1034,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
12,47,chr1,5588137,5589129,11.05204,34.46385,478,992,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
13,51,chr1,5916427,5917942,19.42197,69.92545,682,1515,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
15,54,chr1,6214717,6215872,17.89874,61.58239,750,1155,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
16,55,chr1,6358756,6359678,19.20436,68.52284,567,922,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
17,57,chr1,6382656,6383528,18.76916,65.72695,273,872,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
18,58,chr1,6441052,6441822,15.28750,49.50734,436,770,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
19,67,chr1,7087809,7088708,12.68380,40.33683,498,899,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
20,67,chr1,7089068,7090535,14.85229,46.90391,797,1467,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
22,74,chr1,7397670,7397876,3.53691,2.66907,152,206,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
