peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3670150,3672697,24.03829,102.20636,2011,2547,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
5,19,chr1,4496945,4497657,5.14731,7.23706,489,712,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,20,chr1,4496945,4497657,5.14731,7.23706,489,712,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
7,26,chr1,4689100,4689359,4.89087,6.41337,87,259,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
8,32,chr1,4784727,4785626,14.89215,47.16088,408,899,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
9,32,chr1,4785779,4786358,11.76764,42.63531,367,579,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
10,33,chr1,4807329,4809051,14.63571,45.86617,178,1722,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
10,34,chr1,4807329,4809051,14.63571,45.86617,178,1722,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
11,35,chr1,4857004,4857594,5.02259,14.88433,400,590,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
12,35,chr1,4857914,4859080,15.68571,66.98869,660,1166,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
16,47,chr1,5588133,5589250,9.87140,44.56345,605,1117,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
17,51,chr1,5916315,5917974,26.94498,110.42628,656,1659,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
19,54,chr1,6214841,6216042,16.68726,55.09510,616,1201,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
21,55,chr1,6358787,6359725,27.20142,110.42628,532,938,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
22,57,chr1,6382627,6383501,20.02102,71.70258,527,874,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
