peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
4,19,chr1,4496006,4496310,3.97746,4.76222,166,304,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,19,chr1,4496414,4496675,3.65485,3.54625,168,261,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
6,20,chr1,4497688,4498987,4.70903,6.40764,316,1299,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
15,51,chr1,5917483,5917882,4.25724,5.27636,55,399,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
16,95,chr1,9299160,9299808,4.85963,7.03575,189,648,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
17,95,chr1,9299881,9300452,3.70446,3.96761,195,571,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
18,116,chr1,9967692,9968074,4.25724,5.27636,189,382,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
18,117,chr1,9967692,9968074,4.25724,5.27636,189,382,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
22,156,chr1,13127024,13127733,4.10664,4.69130,192,709,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
23,156,chr1,13128026,13128436,2.92438,1.79271,173,410,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
24,156,chr1,13128790,13129305,3.50426,3.05981,344,515,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
25,156,chr1,13129531,13129891,3.80545,3.54625,175,360,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
30,185,chr1,14918383,14918699,2.66174,0.98579,175,316,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
31,198,chr1,15894670,15894963,2.89729,2.16801,27,293,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
36,247,chr1,19100510,19100896,3.55536,3.17273,208,386,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
37,247,chr1,19102177,19102532,2.50661,1.08698,288,355,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
38,247,chr1,19103371,19104898,3.27667,4.11024,524,1527,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
38,248,chr1,19103371,19104898,3.27667,4.11024,524,1527,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
39,248,chr1,19105080,19105831,3.97494,4.76719,531,751,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
40,248,chr1,19105891,19106690,3.95605,4.11024,583,799,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
41,248,chr1,19106878,19108267,5.31142,8.25669,788,1389,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
47,250,chr1,19207334,19208328,4.85963,7.03575,479,994,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
48,250,chr1,19208733,19209308,3.54113,3.42719,166,575,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
75,251,chr1,19239951,19241443,3.58098,3.68705,364,1492,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
76,251,chr1,19242255,19243049,4.25724,5.27636,501,794,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
79,314,chr1,23759476,23760134,3.70446,3.96761,437,658,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
80,314,chr1,23760177,23761729,4.70903,6.40764,1080,1552,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
84,323,chr1,24587293,24587709,3.05247,1.53684,171,416,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
85,447,chr1,33906858,33907153,2.95685,2.27245,111,295,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
86,446,chr1,33908162,33908459,3.80545,3.54625,132,297,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
86,447,chr1,33908162,33908459,3.80545,3.54625,132,297,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
87,464,chr1,34459029,34459410,3.68704,3.42719,159,381,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
89,469,chr1,34535641,34536225,3.68704,3.42719,405,584,ENSMUSG00000026124,12627.0,Cfc1,chr1,34535648,34544313,1
91,472,chr1,34578316,34578899,3.50426,3.05981,341,583,ENSMUSG00000045174,211383.0,Amer3,chr1,34579657,34590944,1
92,478,chr1,34677673,34678369,4.70903,6.40764,192,696,ENSMUSG00000037509,226970.0,Arhgef4,chr1,34678188,34813309,1
93,478,chr1,34678670,34678934,3.20307,2.02429,100,264,ENSMUSG00000037509,226970.0,Arhgef4,chr1,34678188,34813309,1
96,479,chr1,34750659,34751930,4.70903,6.40764,678,1271,ENSMUSG00000102537,,Gm37224,chr1,34752775,34752922,1
96,480,chr1,34750659,34751930,4.70903,6.40764,678,1271,ENSMUSG00000102612,,Gm37845,chr1,34753123,34753477,1
97,479,chr1,34752440,34752802,3.35366,2.53842,252,362,ENSMUSG00000102537,,Gm37224,chr1,34752775,34752922,1
97,480,chr1,34752440,34752802,3.35366,2.53842,252,362,ENSMUSG00000102612,,Gm37845,chr1,34753123,34753477,1
99,574,chr1,38836376,38836774,3.35366,2.53842,162,398,ENSMUSG00000048814,381338.0,Lonrf2,chr1,38793645,38836711,-1
100,584,chr1,39194139,39195333,3.65485,3.54625,516,1194,ENSMUSG00000026077,18143.0,Npas2,chr1,39193731,39363236,1
101,598,chr1,39648843,39649409,3.65485,3.54625,179,566,ENSMUSG00000097083,,D930019O06Rik,chr1,39650176,39657390,1
102,599,chr1,39651088,39651408,4.22796,6.16372,183,320,ENSMUSG00000050967,263764.0,Creg2,chr1,39618406,39651474,-1
103,618,chr1,40678501,40680180,2.48875,1.14941,1291,1679,ENSMUSG00000026062,226999.0,Slc9a2,chr1,40680574,40769273,1
104,618,chr1,40680494,40681635,3.65485,3.54625,257,1141,ENSMUSG00000026062,226999.0,Slc9a2,chr1,40680574,40769273,1
117,636,chr1,42692141,42692848,3.63221,4.69130,196,707,ENSMUSG00000093436,,Gm20646,chr1,42694925,42744791,1
117,637,chr1,42692141,42692848,3.63221,4.69130,196,707,ENSMUSG00000045515,18993.0,Pou3f3,chr1,42694925,42703176,1
118,636,chr1,42693345,42693737,4.40784,5.79606,163,392,ENSMUSG00000093436,,Gm20646,chr1,42694925,42744791,1
118,637,chr1,42693345,42693737,4.40784,5.79606,163,392,ENSMUSG00000045515,18993.0,Pou3f3,chr1,42694925,42703176,1
119,635,chr1,42694468,42694718,2.90187,1.53684,119,250,ENSMUSG00000060424,,Pantr1,chr1,42590782,42694842,-1
119,636,chr1,42694468,42694718,2.90187,1.53684,119,250,ENSMUSG00000093436,,Gm20646,chr1,42694925,42744791,1
119,637,chr1,42694468,42694718,2.90187,1.53684,119,250,ENSMUSG00000045515,18993.0,Pou3f3,chr1,42694925,42703176,1
120,635,chr1,42696245,42696974,2.73173,1.83371,374,729,ENSMUSG00000060424,,Pantr1,chr1,42590782,42694842,-1
121,635,chr1,42697165,42699415,5.46201,8.94609,906,2250,ENSMUSG00000060424,,Pantr1,chr1,42590782,42694842,-1
131,638,chr1,42713295,42713975,3.29692,2.97351,151,680,ENSMUSG00000097063,,Pantr2,chr1,42707061,42713454,-1
132,638,chr1,42714796,42715696,3.97494,4.76719,552,900,ENSMUSG00000097063,,Pantr2,chr1,42707061,42713454,-1
133,638,chr1,42715896,42716300,3.39143,3.84777,229,404,ENSMUSG00000097063,,Pantr2,chr1,42707061,42713454,-1
139,844,chr1,55362432,55363676,3.44966,3.23649,371,1244,ENSMUSG00000025977,75388.0,Boll,chr1,55248658,55363469,-1
141,857,chr1,56968998,56969813,3.80545,3.54625,463,815,ENSMUSG00000087022,,9130024F11Rik,chr1,56971412,57050084,1
142,858,chr1,56976396,56977346,5.01022,7.68182,156,950,ENSMUSG00000104310,,Gm4081,chr1,56976803,56978640,1
143,859,chr1,56978115,56978545,2.95685,2.27245,296,430,ENSMUSG00000038331,212712.0,Satb2,chr1,56793981,56978650,-1
144,859,chr1,56979493,56980504,4.55843,5.79606,620,1011,ENSMUSG00000038331,212712.0,Satb2,chr1,56793981,56978650,-1
145,859,chr1,56980971,56981645,4.85963,7.03575,143,674,ENSMUSG00000038331,212712.0,Satb2,chr1,56793981,56978650,-1
150,939,chr1,60042304,60042684,3.65485,3.54625,156,380,ENSMUSG00000026018,70375.0,Ica1l,chr1,59982490,60043184,-1
151,939,chr1,60044207,60044651,1.94959,0.11892,253,444,ENSMUSG00000026018,70375.0,Ica1l,chr1,59982490,60043184,-1
154,1015,chr1,63247973,63249482,5.03755,8.17144,1123,1509,ENSMUSG00000102536,,1700039I01Rik,chr1,63248021,63248499,-1
155,1015,chr1,63249556,63250276,4.10664,4.69130,177,720,ENSMUSG00000102536,,1700039I01Rik,chr1,63248021,63248499,-1
156,1015,chr1,63250877,63251328,3.16195,1.99693,97,451,ENSMUSG00000102536,,1700039I01Rik,chr1,63248021,63248499,-1
168,1016,chr1,63272322,63272755,3.58098,3.68705,318,433,ENSMUSG00000087561,,Gm11608,chr1,63266848,63273120,-1
168,1017,chr1,63272322,63272755,3.58098,3.68705,318,433,ENSMUSG00000027520,73884.0,Zdbf2,chr1,63273265,63314576,1
169,1016,chr1,63273617,63273860,2.90187,1.53684,119,243,ENSMUSG00000087561,,Gm11608,chr1,63266848,63273120,-1
169,1017,chr1,63273617,63273860,2.90187,1.53684,119,243,ENSMUSG00000027520,73884.0,Zdbf2,chr1,63273265,63314576,1
169,1018,chr1,63273617,63273860,2.90187,1.53684,119,243,ENSMUSG00000092705,,Gm24513,chr1,63273226,63273363,-1
171,1022,chr1,63445204,63445765,3.18702,2.73353,296,561,ENSMUSG00000025964,23792.0,Adam23,chr1,63445891,63596276,1
172,1046,chr1,64734657,64735296,2.85386,1.53684,579,639,ENSMUSG00000102140,,Gm38058,chr1,64736240,64740607,1
176,1117,chr1,69108632,69109095,3.50426,3.05981,123,463,ENSMUSG00000087514,,Gm16076,chr1,69091913,69106740,-1
176,1118,chr1,69108632,69109095,3.50426,3.05981,123,463,ENSMUSG00000062209,13869.0,Erbb4,chr1,68032186,69108059,-1
177,1155,chr1,72223834,72224106,3.20307,2.02429,78,272,ENSMUSG00000094655,,Gm25360,chr1,72226240,72226430,1
178,1163,chr1,72536064,72536777,4.12477,5.06604,287,713,ENSMUSG00000039372,381270.0,Marchf4,chr1,72427112,72536930,-1
183,1220,chr1,74769316,74771743,3.74477,5.21020,1604,2427,ENSMUSG00000033227,22420.0,Wnt6,chr1,74771892,74785322,1
