peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,20,chr1,4497229,4497581,2.57384,0.55996,206,352,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
3,107,chr1,9699723,9700129,2.93208,1.11016,295,406,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
5,108,chr1,9745693,9746174,3.52338,2.17227,204,481,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
6,108,chr1,9746390,9746849,3.57834,2.16465,318,459,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
7,108,chr1,9746888,9747128,3.06133,1.39663,138,240,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
18,181,chr1,14755782,14756171,3.44908,1.69928,252,389,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
19,185,chr1,14918843,14919048,2.93208,1.11016,116,205,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
22,204,chr1,16227743,16228383,2.63942,0.87913,399,640,ENSMUSG00000100868,,Gm28095,chr1,16228506,16244062,1
25,213,chr1,16687635,16688184,3.57834,2.16465,169,549,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
26,229,chr1,17727222,17727670,3.12358,1.39663,352,448,ENSMUSG00000025776,83691.0,Crispld1,chr1,17727045,17766344,1
26,230,chr1,17727222,17727670,3.12358,1.39663,352,448,ENSMUSG00000085125,,Gm16070,chr1,17676027,17727646,-1
28,269,chr1,20844442,20844675,3.06133,1.39663,141,233,ENSMUSG00000088858,,Gm24723,chr1,20842535,20842666,-1
30,270,chr1,20891427,20891859,2.93208,1.11016,102,432,ENSMUSG00000097934,,6720483E21Rik,chr1,20888650,20890473,-1
34,274,chr1,20951127,20951332,2.78308,1.39663,71,205,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
