peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3670170,3672713,4.50930,15.17855,1717,2543,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
6,19,chr1,4494175,4495458,2.51975,6.84307,752,1283,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
7,19,chr1,4495637,4496134,3.69188,9.19709,93,497,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
8,19,chr1,4496238,4499058,6.23134,29.77574,1684,2820,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
8,20,chr1,4496238,4499058,6.23134,29.77574,1684,2820,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
9,20,chr1,4499785,4500564,4.50173,14.83126,136,779,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
15,51,chr1,5915720,5918125,4.31520,20.41242,864,2405,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
16,55,chr1,6358000,6358317,2.99947,5.79654,141,317,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
17,55,chr1,6358769,6360538,2.59399,4.73839,691,1769,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
18,95,chr1,9298065,9300977,5.27882,26.52403,2137,2912,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
19,95,chr1,9301430,9301873,2.70207,4.01466,311,443,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
23,116,chr1,9964563,9964868,3.33195,6.95936,176,305,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
24,116,chr1,9965635,9965903,3.33195,6.95936,150,268,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
25,116,chr1,9966328,9966667,3.51192,8.05478,170,339,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
26,116,chr1,9966738,9968597,5.51059,25.39220,1083,1859,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
26,117,chr1,9966738,9968597,5.51059,25.39220,1083,1859,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
27,117,chr1,9968771,9969816,4.95845,20.72151,308,1045,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
28,117,chr1,9970095,9970514,3.60190,8.62043,109,419,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
29,140,chr1,11414445,11414925,2.99947,5.79654,374,480,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
29,141,chr1,11414445,11414925,2.99947,5.79654,374,480,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
30,141,chr1,11415020,11415652,2.91868,5.25495,452,632,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
31,152,chr1,12989711,12992197,4.41174,14.16779,1115,2486,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
32,152,chr1,12992867,12993352,2.17445,2.77057,167,485,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
40,156,chr1,13122389,13126893,5.04162,18.97791,2221,4504,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
41,156,chr1,13126965,13127791,4.47328,20.65511,187,826,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
42,156,chr1,13127915,13130058,5.21624,20.76838,1655,2143,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
55,180,chr1,14752868,14754444,4.18943,15.33600,942,1576,ENSMUSG00000054493,,Gm9947,chr1,14752937,14776931,1
56,181,chr1,14754499,14758361,5.56971,23.73590,1162,3862,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
58,185,chr1,14917824,14918659,2.91829,5.86259,356,835,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
59,185,chr1,14919784,14920373,2.17445,2.77057,168,589,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
61,198,chr1,15891223,15892755,3.33195,6.95936,963,1532,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
62,198,chr1,15893323,15893618,2.59399,4.73839,163,295,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
63,198,chr1,15894238,15894950,1.65984,0.62570,374,712,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
64,218,chr1,17097314,17097685,2.34214,2.35072,210,371,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
65,218,chr1,17099330,17099862,2.65358,3.86455,241,532,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
67,236,chr1,18056754,18059997,6.12142,28.05244,1346,3243,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
67,237,chr1,18056754,18059997,6.12142,28.05244,1346,3243,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
71,247,chr1,19101026,19101442,2.88204,4.94251,129,416,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
72,247,chr1,19101883,19102275,3.06200,5.93083,175,392,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
73,247,chr1,19102356,19104953,5.48711,28.70957,1611,2597,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
73,248,chr1,19102356,19104953,5.48711,28.70957,1611,2597,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
74,248,chr1,19105051,19106713,6.03144,27.26069,489,1662,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
75,248,chr1,19106857,19108355,3.24197,6.95936,1032,1498,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
81,250,chr1,19206232,19206546,3.78187,9.78440,185,314,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
82,250,chr1,19207014,19208398,5.34858,23.91054,803,1384,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
83,250,chr1,19208677,19213678,7.20121,37.13388,3476,5001,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
91,251,chr1,19239846,19241772,4.56329,18.58310,811,1926,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
92,251,chr1,19241823,19243192,5.67150,24.15694,223,1369,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
96,270,chr1,20891850,20892136,2.79205,4.47228,82,286,ENSMUSG00000097934,,6720483E21Rik,chr1,20888650,20890473,-1
100,296,chr1,21961664,21962551,3.15199,6.44341,359,887,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
101,296,chr1,21962751,21963503,2.79205,4.47228,443,752,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
107,300,chr1,22806142,22806624,3.12381,6.34980,349,482,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
108,300,chr1,22808236,22808513,2.79205,4.47228,109,277,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
109,314,chr1,23759325,23761630,5.13161,19.69683,1728,2305,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
110,314,chr1,23761693,23762903,3.85111,12.42787,1069,1210,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
114,323,chr1,24584714,24587852,5.02457,21.01868,1716,3138,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
115,323,chr1,24588157,24588671,3.97909,11.33077,343,514,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
116,323,chr1,24588846,24590079,2.75646,4.85891,712,1233,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
118,359,chr1,25827157,25827930,3.47359,10.49259,513,773,ENSMUSG00000103004,,2900002M20Rik,chr1,25824390,25824719,-1
119,360,chr1,25828026,25831802,5.49154,22.64494,1895,3776,ENSMUSG00000033569,210933.0,Adgrb3,chr1,25067476,25829707,-1
119,361,chr1,25828026,25831802,5.49154,22.64494,1895,3776,ENSMUSG00000104516,,Gm9884,chr1,25830657,25831878,1
120,360,chr1,25831871,25832738,2.32011,2.88483,551,867,ENSMUSG00000033569,210933.0,Adgrb3,chr1,25067476,25829707,-1
121,411,chr1,32171354,32172527,3.16148,6.78402,665,1173,ENSMUSG00000026058,170771.0,Khdrbs2,chr1,32172714,32658568,1
122,411,chr1,32172770,32173268,3.40391,11.54455,320,498,ENSMUSG00000026058,170771.0,Khdrbs2,chr1,32172714,32658568,1
125,447,chr1,33905580,33906721,5.12787,20.04243,970,1141,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
126,446,chr1,33906851,33910130,5.68488,28.53766,217,3279,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
126,447,chr1,33906851,33910130,5.68488,28.53766,217,3279,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
128,464,chr1,34457818,34458226,2.57098,4.19972,350,408,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
129,464,chr1,34458390,34458995,3.04761,7.90410,281,605,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
130,464,chr1,34459052,34459429,2.80988,4.70871,165,377,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
131,464,chr1,34459851,34461366,3.49601,9.41948,137,1515,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
133,469,chr1,34535554,34536567,4.50173,14.83126,157,1013,ENSMUSG00000026124,12627.0,Cfc1,chr1,34535648,34544313,1
135,470,chr1,34537967,34538340,4.32176,13.51274,201,373,ENSMUSG00000101803,,Gm28419,chr1,34538086,34538560,-1
136,470,chr1,34538621,34539150,2.74194,4.31323,212,529,ENSMUSG00000101803,,Gm28419,chr1,34538086,34538560,-1
137,472,chr1,34576961,34577303,3.78187,9.78440,187,342,ENSMUSG00000045174,211383.0,Amer3,chr1,34579657,34590944,1
138,472,chr1,34578199,34579617,4.95164,18.26836,774,1418,ENSMUSG00000045174,211383.0,Amer3,chr1,34579657,34590944,1
138,473,chr1,34578199,34579617,4.95164,18.26836,774,1418,ENSMUSG00000045815,,1700101I19Rik,chr1,34579202,34579711,-1
139,472,chr1,34579731,34580423,4.14180,12.23076,464,692,ENSMUSG00000045174,211383.0,Amer3,chr1,34579657,34590944,1
139,473,chr1,34579731,34580423,4.14180,12.23076,464,692,ENSMUSG00000045815,,1700101I19Rik,chr1,34579202,34579711,-1
140,473,chr1,34580607,34581100,3.09541,6.25088,317,493,ENSMUSG00000045815,,1700101I19Rik,chr1,34579202,34579711,-1
141,473,chr1,34581243,34581685,2.70207,4.01466,129,442,ENSMUSG00000045815,,1700101I19Rik,chr1,34579202,34579711,-1
142,478,chr1,34676032,34680295,5.01193,22.70186,2013,4263,ENSMUSG00000037509,226970.0,Arhgef4,chr1,34678188,34813309,1
143,479,chr1,34747996,34752025,7.60217,41.78664,2395,4029,ENSMUSG00000102537,,Gm37224,chr1,34752775,34752922,1
143,480,chr1,34747996,34752025,7.60217,41.78664,2395,4029,ENSMUSG00000102612,,Gm37845,chr1,34753123,34753477,1
144,479,chr1,34752145,34752793,6.21140,28.84625,422,648,ENSMUSG00000102537,,Gm37224,chr1,34752775,34752922,1
144,480,chr1,34752145,34752793,6.21140,28.84625,422,648,ENSMUSG00000102612,,Gm37845,chr1,34753123,34753477,1
145,480,chr1,34753471,34754101,3.46219,8.58162,337,630,ENSMUSG00000102612,,Gm37845,chr1,34753123,34753477,1
157,528,chr1,36744325,36744721,3.65611,9.56606,248,396,ENSMUSG00000104237,,Gm33533,chr1,36739048,36744792,-1
164,548,chr1,37541397,37541721,2.82364,5.66962,171,324,ENSMUSG00000026110,269181.0,Mgat4a,chr1,37439340,37541016,-1
165,548,chr1,37541787,37542929,3.99580,11.39589,503,1142,ENSMUSG00000026110,269181.0,Mgat4a,chr1,37439340,37541016,-1
166,548,chr1,37542993,37543628,2.79638,6.57502,535,635,ENSMUSG00000026110,269181.0,Mgat4a,chr1,37439340,37541016,-1
168,552,chr1,37719332,37719777,4.45754,16.21558,199,445,ENSMUSG00000026090,72097.0,2010300C02Rik,chr1,37611677,37720085,-1
169,552,chr1,37719915,37721272,3.68717,9.43416,1195,1357,ENSMUSG00000026090,72097.0,2010300C02Rik,chr1,37611677,37720085,-1
170,552,chr1,37722368,37722582,2.97202,5.43105,139,214,ENSMUSG00000026090,72097.0,2010300C02Rik,chr1,37611677,37720085,-1
171,554,chr1,37867742,37868324,2.17056,2.17160,178,582,ENSMUSG00000060771,211484.0,Tsga10,chr1,37754776,37866429,-1
172,554,chr1,37868510,37868929,2.88204,4.94251,323,419,ENSMUSG00000060771,211484.0,Tsga10,chr1,37754776,37866429,-1
178,574,chr1,38834713,38838019,4.51507,19.61909,1801,3306,ENSMUSG00000048814,381338.0,Lonrf2,chr1,38793645,38836711,-1
179,576,chr1,38897581,38898114,2.60716,4.46599,251,533,ENSMUSG00000026080,98388.0,Chst10,chr1,38863867,38898161,-1
181,584,chr1,39193871,39195820,3.62470,10.67964,1335,1949,ENSMUSG00000026077,18143.0,Npas2,chr1,39193731,39363236,1
188,589,chr1,39477616,39478277,2.68256,4.78398,165,661,ENSMUSG00000003134,54610.0,Tbc1d8,chr1,39371492,39478755,-1
190,598,chr1,39647384,39648082,3.53725,8.38774,270,698,ENSMUSG00000097083,,D930019O06Rik,chr1,39650176,39657390,1
191,598,chr1,39648736,39649566,4.21185,15.14434,202,830,ENSMUSG00000097083,,D930019O06Rik,chr1,39650176,39657390,1
