peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,19,chr1,4495585,4496414,6.17830,17.04602,449,829,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
2,19,chr1,4496536,4497857,2.93935,4.57549,203,1321,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
2,20,chr1,4496536,4497857,2.93935,4.57549,203,1321,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
3,32,chr1,4785231,4785753,8.18008,31.81169,331,522,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
4,32,chr1,4785805,4786318,4.85476,10.55479,202,513,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
5,33,chr1,4807401,4808431,12.13690,54.46296,648,1030,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
5,34,chr1,4807401,4808431,12.13690,54.46296,648,1030,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
6,35,chr1,4857156,4857627,6.82865,20.55135,272,471,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
7,35,chr1,4857700,4858797,10.56815,43.47620,289,1097,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
9,54,chr1,6213659,6216155,18.69749,104.14401,1151,2496,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
10,57,chr1,6382812,6383190,5.20278,12.13688,182,378,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
11,67,chr1,7087836,7088770,9.54770,36.98410,613,934,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
12,67,chr1,7088975,7090101,9.43004,36.06268,299,1126,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
13,74,chr1,7398110,7398695,5.20278,12.13688,409,585,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
14,101,chr1,9544831,9545182,4.38985,8.41067,197,351,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
15,101,chr1,9545385,9546695,6.31445,19.95466,281,1310,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
15,102,chr1,9545385,9546695,6.31445,19.95466,281,1310,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
16,102,chr1,9548189,9548765,3.02296,3.55045,399,576,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
17,107,chr1,9699421,9701342,5.69054,14.53598,1377,1921,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
18,108,chr1,9745458,9745978,3.01371,3.52694,103,520,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
19,108,chr1,9746662,9748472,9.44790,54.48621,1419,1810,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
19,109,chr1,9746662,9748472,9.44790,54.48621,1419,1810,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
