peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,12,chr1,3679341,3679556,3.83830,3.09050,112,215,ENSMUSG00000102348,,Gm10568,chr1,3680155,3681788,1
13,115,chr1,9945321,9945753,3.38411,2.06198,145,432,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
14,126,chr1,10178773,10179238,2.25009,0.64092,91,465,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
15,125,chr1,10198172,10198362,2.26095,0.17984,102,190,ENSMUSG00000102556,,Gm37569,chr1,10197081,10198802,-1
15,126,chr1,10198172,10198362,2.26095,0.17984,102,190,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
16,131,chr1,10643134,10643409,3.00881,1.56072,172,275,ENSMUSG00000042501,329093.0,Cpa6,chr1,10324720,10719945,-1
18,140,chr1,11660183,11660596,3.68690,3.09050,82,413,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
19,140,chr1,11746747,11747159,4.04363,4.13076,329,412,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
20,140,chr1,11915139,11916068,3.76502,3.61489,217,929,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
27,170,chr1,13645259,13645583,3.53551,2.59582,139,324,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
33,198,chr1,15861909,15862296,3.36969,2.90318,102,387,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
37,200,chr1,16068189,16068394,3.60014,3.00956,144,205,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
38,206,chr1,16347941,16348944,3.83830,3.09050,331,1003,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
39,208,chr1,16579833,16580223,3.68690,3.09050,139,390,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
45,275,chr1,21067485,21067706,3.15664,1.56072,131,221,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
47,303,chr1,23236910,23237229,2.62714,0.37945,157,319,ENSMUSG00000101227,,Gm29506,chr1,23048295,23235673,-1
49,332,chr1,24680656,24680886,3.08132,1.56620,73,230,ENSMUSG00000073725,68421.0,Lmbrd1,chr1,24678630,24766301,1
50,332,chr1,24716902,24717245,3.83830,3.09050,154,343,ENSMUSG00000073725,68421.0,Lmbrd1,chr1,24678630,24766301,1
68,447,chr1,33968143,33968392,2.79229,1.03552,87,249,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
69,447,chr1,34090073,34090403,3.83830,3.09050,217,330,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
72,460,chr1,34429326,34430943,4.02592,4.53063,1065,1617,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
73,460,chr1,34431175,34432591,3.89921,6.00659,480,1416,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
74,478,chr1,34777300,34777516,1.91795,0.05984,154,216,ENSMUSG00000037509,226970.0,Arhgef4,chr1,34678188,34813309,1
76,486,chr1,34929641,34930002,3.00881,1.56072,273,361,ENSMUSG00000103716,,Gm19430,chr1,34928509,34930645,1
77,486,chr1,34930350,34930829,4.29248,4.25854,318,479,ENSMUSG00000103716,,Gm19430,chr1,34928509,34930645,1
95,524,chr1,36623479,36623848,3.60014,3.00956,139,369,ENSMUSG00000046337,381337.0,Fam178b,chr1,36562692,36683183,-1
96,524,chr1,36626139,36626356,3.24650,2.41554,159,217,ENSMUSG00000046337,381337.0,Fam178b,chr1,36562692,36683183,-1
