peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3670612,3671407,3.60870,4.42672,379,795,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,11,chr1,3671906,3672265,2.78527,2.40913,89,359,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
7,19,chr1,4496766,4497542,2.77634,3.43155,578,776,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
7,20,chr1,4496766,4497542,2.77634,3.43155,578,776,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
8,20,chr1,4497619,4497876,3.28765,4.09663,128,257,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
12,25,chr1,4608817,4609115,3.46591,4.42672,156,298,ENSMUSG00000102735,,Gm7369,chr1,4610471,4611406,1
27,35,chr1,4856826,4857106,2.89475,2.38668,100,280,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
35,51,chr1,5916988,5917294,3.49733,5.08521,118,306,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
38,54,chr1,6215503,6216783,4.89380,8.80423,1075,1280,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
41,55,chr1,6358895,6359212,3.03754,2.87961,84,317,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
42,55,chr1,6359410,6359732,3.83272,5.50378,136,322,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
44,67,chr1,7087850,7088330,3.16615,5.34307,240,480,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
50,68,chr1,7138151,7138751,3.89427,5.59204,447,600,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
55,95,chr1,9299151,9299648,2.94851,3.38430,118,497,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
56,95,chr1,9299705,9300033,2.46638,1.52288,30,328,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
57,101,chr1,9544669,9545013,3.43992,4.39469,288,344,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
58,102,chr1,9547098,9547398,4.46543,7.48024,195,300,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
59,102,chr1,9547457,9549078,5.40388,12.02426,967,1621,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
66,105,chr1,9630120,9630740,2.94851,3.38430,443,620,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
71,107,chr1,9699296,9699830,3.39741,4.86349,242,534,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
75,108,chr1,9745394,9747546,10.60535,35.84699,1651,2152,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
79,110,chr1,9797376,9797668,4.22551,7.32117,151,292,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
86,114,chr1,9942190,9943142,4.21591,7.63273,194,952,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
87,114,chr1,9944414,9944682,4.22551,7.32117,143,268,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
87,115,chr1,9944414,9944682,4.22551,7.32117,143,268,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
90,116,chr1,9967132,9967997,3.32312,3.89253,237,865,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
90,117,chr1,9967132,9967997,3.32312,3.89253,237,865,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
91,117,chr1,9968124,9968531,2.75196,2.38668,48,407,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
94,119,chr1,10009175,10009483,3.46591,4.42672,157,308,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
94,120,chr1,10009175,10009483,3.46591,4.42672,157,308,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
95,121,chr1,10035656,10036118,2.83628,2.91765,274,462,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
96,121,chr1,10036268,10036578,4.63451,8.56941,184,310,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
97,121,chr1,10036755,10037253,5.64959,12.15644,240,498,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
98,122,chr1,10038876,10039598,2.69242,3.60077,327,722,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
99,122,chr1,10040492,10040919,5.28537,10.82608,243,427,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
107,126,chr1,10233605,10234096,3.85651,7.48934,330,491,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
119,131,chr1,10719547,10720178,2.61183,2.48028,477,631,ENSMUSG00000042501,329093.0,Cpa6,chr1,10324720,10719945,-1
120,136,chr1,10992925,10993340,2.91620,2.88258,199,415,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
132,151,chr1,12689614,12689908,1.82828,0.83067,3,294,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
133,151,chr1,12691754,12692231,2.17822,2.36560,221,477,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
149,156,chr1,13126286,13126959,3.10218,3.46302,556,673,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
150,156,chr1,13128126,13128405,2.20600,1.59661,240,279,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
151,156,chr1,13128514,13128745,3.06073,3.87507,42,231,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
170,160,chr1,13288436,13290588,4.72273,9.55916,866,2152,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
171,160,chr1,13291272,13292627,6.18862,14.37172,459,1355,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
172,161,chr1,13300031,13300270,2.55514,2.68953,77,239,ENSMUSG00000104170,,Gm37702,chr1,13297036,13298907,-1
173,161,chr1,13300594,13301673,4.74923,9.24282,343,1079,ENSMUSG00000104170,,Gm37702,chr1,13297036,13298907,-1
