peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3666952,3672785,25.76596,133.69437,2832,5833,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,19,chr1,4496864,4497620,3.26830,4.02594,121,756,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,20,chr1,4496864,4497620,3.26830,4.02594,121,756,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,26,chr1,4689075,4689494,8.73393,21.93137,260,419,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
6,32,chr1,4784419,4786766,19.97389,92.37753,654,2347,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
7,33,chr1,4807222,4808985,22.72179,95.26234,394,1763,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
7,34,chr1,4807222,4808985,22.72179,95.26234,394,1763,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
8,35,chr1,4856911,4859140,23.97024,102.67769,1731,2229,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
13,47,chr1,5587924,5589554,31.85315,148.01376,806,1630,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
14,51,chr1,5916259,5918140,34.93571,167.64844,919,1881,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
15,54,chr1,6213280,6216761,25.94491,111.79198,929,3481,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
17,55,chr1,6358725,6359669,29.64546,160.52251,544,944,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
18,57,chr1,6382577,6383676,30.71187,144.44302,562,1099,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
19,58,chr1,6441099,6441846,26.20179,113.32455,378,747,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
25,67,chr1,7087862,7088723,16.07008,63.09902,498,861,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
26,67,chr1,7089012,7091268,33.65131,159.41020,910,2256,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
29,74,chr1,7397662,7397924,4.88072,7.58950,142,262,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
30,74,chr1,7398114,7398915,14.71761,59.09060,426,801,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
31,95,chr1,9294371,9301067,22.28666,107.96072,5571,6696,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
32,101,chr1,9544758,9545241,18.37445,105.06820,270,483,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
33,101,chr1,9545373,9549627,17.72474,65.22750,486,4254,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
33,102,chr1,9545373,9549627,17.72474,65.22750,486,4254,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
34,104,chr1,9600826,9603506,20.80730,82.08083,737,2680,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
37,107,chr1,9699395,9701408,49.68830,274.02463,646,2013,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
38,108,chr1,9742550,9745209,12.73419,40.87769,2469,2659,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
39,108,chr1,9745317,9748952,41.44854,215.94392,2160,3635,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
