peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3671241,3671567,3.04186,4.04772,150,326,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,32,chr1,4784909,4785744,5.46325,17.80340,663,835,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
4,32,chr1,4785829,4786252,3.09694,5.53731,295,423,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
5,33,chr1,4807407,4807812,8.05281,29.95045,239,405,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
5,34,chr1,4807407,4807812,8.05281,29.95045,239,405,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
6,33,chr1,4807886,4808411,6.32251,18.46553,168,525,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
6,34,chr1,4807886,4808411,6.32251,18.46553,168,525,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
7,35,chr1,4857278,4857588,4.93464,11.26498,126,310,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
8,35,chr1,4857767,4858782,6.78513,21.05248,558,1015,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
10,54,chr1,6213983,6215648,9.11707,41.16265,1160,1665,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
11,57,chr1,6382647,6383227,3.85519,6.39133,326,580,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
12,58,chr1,6441320,6441714,4.78043,10.52561,127,394,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
13,67,chr1,7088001,7088771,6.63092,20.17982,541,770,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
14,67,chr1,7089050,7089696,5.81652,15.85541,156,646,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
16,74,chr1,7397689,7397904,4.78043,10.52561,114,215,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
17,74,chr1,7398254,7398752,3.91929,8.63444,309,498,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
18,101,chr1,9544812,9545169,3.97972,6.97388,190,357,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
19,101,chr1,9545430,9546576,5.70568,15.15174,111,1146,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
19,102,chr1,9545430,9546576,5.70568,15.15174,111,1146,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
20,107,chr1,9699591,9700343,4.03806,9.27071,600,752,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
21,107,chr1,9700686,9701244,4.62622,9.79863,240,558,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
22,108,chr1,9746916,9748382,11.42034,53.15614,1158,1466,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
22,109,chr1,9746916,9748382,11.42034,53.15614,1158,1466,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
23,110,chr1,9797615,9798786,7.24775,23.72215,731,1171,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
24,114,chr1,9942695,9944121,8.66994,41.23256,1199,1426,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
24,115,chr1,9942695,9944121,8.66994,41.23256,1199,1426,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
25,114,chr1,9944294,9944610,2.99567,3.39443,164,316,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
25,115,chr1,9944294,9944610,2.99567,3.39443,164,316,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
26,121,chr1,10037230,10038181,9.75931,47.22833,543,951,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
26,122,chr1,10037230,10038181,9.75931,47.22833,543,951,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
27,121,chr1,10038280,10039231,5.39726,13.56267,285,951,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
27,122,chr1,10038280,10039231,5.39726,13.56267,285,951,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
28,122,chr1,10039366,10039645,3.54677,5.14088,109,279,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
29,122,chr1,10039808,10040358,8.78983,33.13829,167,550,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
30,126,chr1,10231590,10234032,9.40666,37.10346,816,2442,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
31,136,chr1,10993454,10994441,4.61962,11.03744,299,987,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
32,140,chr1,11413692,11414131,3.80678,6.51905,107,439,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
33,140,chr1,11414329,11414659,4.16360,7.70659,152,330,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
33,141,chr1,11414329,11414659,4.16360,7.70659,152,330,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
36,152,chr1,12992323,12992727,3.07471,3.57362,155,404,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
38,165,chr1,13372629,13374751,11.56556,51.70372,837,2122,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
38,166,chr1,13372629,13374751,11.56556,51.70372,837,2122,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
40,168,chr1,13588801,13589891,9.56086,38.10873,750,1090,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
41,170,chr1,13659996,13660650,4.64585,12.05361,331,654,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
42,179,chr1,14309587,14310116,4.70748,10.97442,223,529,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
43,181,chr1,14755219,14755848,3.07471,3.57362,229,629,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
44,188,chr1,15286489,15287447,5.20975,14.81472,587,958,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
45,195,chr1,15805664,15806589,9.49010,37.91636,187,925,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
46,198,chr1,15892310,15893141,5.45000,16.65879,332,831,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
47,200,chr1,16092922,16093560,4.93464,11.26498,155,638,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
48,201,chr1,16103335,16104249,6.93934,21.93394,625,914,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
48,202,chr1,16103335,16104249,6.93934,21.93394,625,914,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
49,201,chr1,16104704,16106738,7.60879,29.07819,829,2034,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
49,202,chr1,16104704,16106738,7.60879,29.07819,829,2034,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
51,206,chr1,16519757,16520217,7.75998,28.08586,164,460,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
52,207,chr1,16618380,16619288,12.33660,57.15496,481,908,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
52,208,chr1,16618380,16619288,12.33660,57.15496,481,908,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
53,209,chr1,16656129,16657035,7.09354,22.82430,717,906,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
53,210,chr1,16656129,16657035,7.09354,22.82430,717,906,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
54,211,chr1,16664943,16666149,9.25233,43.25090,586,1206,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
54,212,chr1,16664943,16666149,9.25233,43.25090,586,1206,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
55,213,chr1,16688397,16689076,5.08885,12.01871,585,679,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
56,218,chr1,17096782,17097795,4.74505,10.43810,857,1013,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
57,266,chr1,20819752,20820253,8.32720,30.23356,276,501,ENSMUSG00000041859,17215.0,Mcm3,chr1,20802968,20820312,-1
57,267,chr1,20819752,20820253,8.32720,30.23356,276,501,ENSMUSG00000099714,,Gm20587,chr1,20821331,20822516,1
58,270,chr1,20890541,20891718,6.63092,20.17982,245,1177,ENSMUSG00000097934,,6720483E21Rik,chr1,20888650,20890473,-1
58,271,chr1,20890541,20891718,6.63092,20.17982,245,1177,ENSMUSG00000025931,74229.0,Paqr8,chr1,20890606,20939650,1
59,274,chr1,20951646,20952239,3.94060,7.39297,148,593,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
60,275,chr1,21078400,21079239,6.78513,21.05248,514,839,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
60,276,chr1,21078400,21079239,6.78513,21.05248,514,839,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
61,275,chr1,21079443,21079886,7.35117,29.19817,142,443,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
61,276,chr1,21079443,21079886,7.35117,29.19817,142,443,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
62,278,chr1,21218536,21219067,7.35117,29.19817,151,531,ENSMUSG00000025933,75712.0,Tmem14a,chr1,21218575,21230167,1
63,296,chr1,21960684,21962557,4.31781,8.38952,1454,1873,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
65,300,chr1,22805576,22806573,4.03806,9.27071,291,997,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
66,305,chr1,23256292,23257143,5.65147,15.38660,98,851,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
67,305,chr1,23257201,23257696,4.53885,9.87382,149,495,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
69,314,chr1,23761850,23762688,3.26091,4.63051,415,838,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
70,315,chr1,23921469,23922351,9.25233,43.25090,562,882,ENSMUSG00000026155,98366.0,Smap1,chr1,23844846,23922317,-1
71,316,chr1,24005070,24005912,5.13973,16.69650,423,842,ENSMUSG00000102495,,Gm26524,chr1,24005505,24005894,1
71,317,chr1,24005070,24005912,5.13973,16.69650,423,842,ENSMUSG00000026154,68002.0,Sdhaf4,chr1,23995939,24005656,-1
72,318,chr1,24099464,24100308,9.40666,37.10346,505,844,ENSMUSG00000026153,68187.0,Fam135a,chr1,24011093,24100341,-1
72,319,chr1,24099464,24100308,9.40666,37.10346,505,844,ENSMUSG00000102398,,Gm37580,chr1,24100625,24103424,1
73,318,chr1,24100571,24100862,4.30931,10.11094,155,291,ENSMUSG00000026153,68187.0,Fam135a,chr1,24011093,24100341,-1
73,319,chr1,24100571,24100862,4.30931,10.11094,155,291,ENSMUSG00000102398,,Gm37580,chr1,24100625,24103424,1
75,332,chr1,24678628,24679438,6.98990,23.88942,283,810,ENSMUSG00000073725,68421.0,Lmbrd1,chr1,24678630,24766301,1
76,391,chr1,30872694,30873892,10.64032,45.31465,485,1198,ENSMUSG00000048874,213109.0,Phf3,chr1,30802339,30873921,-1
77,391,chr1,30873951,30874294,4.47202,9.08682,148,343,ENSMUSG00000048874,213109.0,Phf3,chr1,30802339,30873921,-1
78,392,chr1,30948635,30949674,7.26266,32.16293,788,1039,ENSMUSG00000026064,19243.0,Ptp4a1,chr1,30940302,30949309,-1
78,393,chr1,30948635,30949674,7.26266,32.16293,788,1039,ENSMUSG00000117310,19243.0,Ptp4a1,chr1,30940302,30949770,-1
79,392,chr1,30949882,30950731,5.13973,16.69650,184,849,ENSMUSG00000026064,19243.0,Ptp4a1,chr1,30940302,30949309,-1
79,393,chr1,30949882,30950731,5.13973,16.69650,184,849,ENSMUSG00000117310,19243.0,Ptp4a1,chr1,30940302,30949770,-1
80,411,chr1,32172796,32173202,3.07471,3.57362,91,406,ENSMUSG00000026058,170771.0,Khdrbs2,chr1,32172714,32658568,1
81,437,chr1,33669499,33670659,5.34449,17.03853,640,1160,ENSMUSG00000026134,19076.0,Prim2,chr1,33453810,33669795,-1
81,438,chr1,33669499,33670659,5.34449,17.03853,640,1160,ENSMUSG00000103746,,1700001G17Rik,chr1,33669824,33670712,1
82,440,chr1,33719876,33720834,7.37440,33.05104,462,958,ENSMUSG00000004768,19335.0,Rab23,chr1,33719887,33742564,1
83,442,chr1,33757063,33758119,9.40666,37.10346,556,1056,ENSMUSG00000042215,213539.0,Bag2,chr1,33745484,33757795,-1
84,443,chr1,33813483,33814541,7.95734,35.63832,856,1058,ENSMUSG00000042197,98403.0,Zfp451,chr1,33761545,33814595,-1
85,446,chr1,33908153,33908435,3.51395,5.28636,164,282,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
85,447,chr1,33908153,33908435,3.51395,5.28636,164,282,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
89,459,chr1,34432826,34433259,5.39726,13.56267,279,433,ENSMUSG00000092852,,Mir5103,chr1,34433121,34433199,-1
89,460,chr1,34432826,34433259,5.39726,13.56267,279,433,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
90,461,chr1,34438822,34439368,5.39726,13.56267,333,546,ENSMUSG00000042111,69668.0,Ccdc115,chr1,34436670,34439672,-1
90,462,chr1,34438822,34439368,5.39726,13.56267,333,546,ENSMUSG00000026127,27993.0,Imp4,chr1,34439851,34449356,1
91,461,chr1,34439500,34439729,4.63189,12.64654,104,229,ENSMUSG00000042111,69668.0,Ccdc115,chr1,34436670,34439672,-1
91,462,chr1,34439500,34439729,4.63189,12.64654,104,229,ENSMUSG00000026127,27993.0,Imp4,chr1,34439851,34449356,1
92,461,chr1,34439890,34440621,3.92907,8.14486,341,731,ENSMUSG00000042111,69668.0,Ccdc115,chr1,34436670,34439672,-1
92,462,chr1,34439890,34440621,3.92907,8.14486,341,731,ENSMUSG00000026127,27993.0,Imp4,chr1,34439851,34449356,1
93,464,chr1,34459191,34459677,6.47671,19.31939,320,486,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
94,464,chr1,34459790,34460252,3.42362,5.06485,113,462,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
95,465,chr1,34472526,34473151,4.47202,9.08682,353,625,ENSMUSG00000100280,,Gm28417,chr1,34468834,34473148,-1
96,481,chr1,34801722,34802246,6.32251,18.46553,114,524,ENSMUSG00000118272,,Arhgef4,chr1,34801794,34801964,1
97,484,chr1,34841369,34843010,10.02349,41.16265,1520,1641,ENSMUSG00000037503,214469.0,Fam168b,chr1,34813219,34843065,-1
98,484,chr1,34843146,34843749,4.31781,8.38952,111,603,ENSMUSG00000037503,214469.0,Fam168b,chr1,34813219,34843065,-1
99,485,chr1,34849720,34850284,6.63092,20.17982,362,564,ENSMUSG00000026123,226971.0,Plekhb2,chr1,34849976,34879580,1
100,500,chr1,36068386,36070060,7.22065,24.11541,162,1674,ENSMUSG00000045216,50785.0,Hs6st1,chr1,36068400,36106446,1
102,504,chr1,36243316,36244294,8.98701,36.96009,804,978,ENSMUSG00000037470,320011.0,Uggt1,chr1,36140027,36244720,-1
104,506,chr1,36307785,36308247,4.53885,9.87382,286,462,ENSMUSG00000037447,214855.0,Arid5a,chr1,36307733,36324029,1
105,509,chr1,36368184,36369182,10.99817,50.02084,842,998,ENSMUSG00000010453,226976.0,Kansl3,chr1,36335730,36369181,-1
106,509,chr1,36369275,36369511,2.73163,3.03985,159,236,ENSMUSG00000010453,226976.0,Kansl3,chr1,36335730,36369181,-1
107,511,chr1,36444458,36445241,6.63092,20.17982,532,783,ENSMUSG00000001143,214895.0,Lman2l,chr1,36419871,36445271,-1
108,512,chr1,36471009,36471513,6.16830,17.62127,265,504,ENSMUSG00000037408,94220.0,Cnnm4,chr1,36471620,36508764,1
108,513,chr1,36471009,36471513,6.16830,17.62127,265,504,ENSMUSG00000104316,,Gm37909,chr1,36473952,36476110,1
109,512,chr1,36471682,36472348,5.13973,16.69650,290,666,ENSMUSG00000037408,94220.0,Cnnm4,chr1,36471620,36508764,1
109,513,chr1,36471682,36472348,5.13973,16.69650,290,666,ENSMUSG00000104316,,Gm37909,chr1,36473952,36476110,1
110,513,chr1,36472979,36473311,2.74776,2.46236,164,332,ENSMUSG00000104316,,Gm37909,chr1,36473952,36476110,1
111,515,chr1,36511896,36513243,5.59079,20.87874,178,1347,ENSMUSG00000001138,94218.0,Cnnm3,chr1,36511867,36528237,1
112,519,chr1,36546312,36547219,5.22572,16.28336,764,907,ENSMUSG00000079610,109346.0,Ankrd39,chr1,36537507,36547445,-1
113,520,chr1,36555386,36559329,9.71507,39.12139,2654,3943,ENSMUSG00000087589,,D430040D24Rik,chr1,36557701,36565613,1
113,521,chr1,36555386,36559329,9.71507,39.12139,2654,3943,ENSMUSG00000026121,20353.0,Sema4c,chr1,36548639,36558349,-1
114,525,chr1,36691546,36692492,9.46455,38.95910,352,946,ENSMUSG00000061518,12859.0,Cox5b,chr1,36691449,36693681,1
115,526,chr1,36708880,36709960,11.30293,51.57455,863,1080,ENSMUSG00000102416,71166.0,4933424G06Rik,chr1,36710149,36757953,1
120,540,chr1,37299918,37300712,7.61356,27.16496,226,794,ENSMUSG00000102231,,1700074A21Rik,chr1,37299352,37299697,-1
120,541,chr1,37299918,37300712,7.61356,27.16496,226,794,ENSMUSG00000026113,269180.0,Inpp4a,chr1,37299865,37410736,1
122,544,chr1,37429420,37430092,5.60964,16.78445,503,672,ENSMUSG00000026112,76178.0,Coa5,chr1,37417084,37430103,-1
