peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
3,19,chr1,4494255,4495375,4.48111,19.30004,671,1120,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
4,19,chr1,4495999,4499075,5.57728,24.75538,1940,3076,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
4,20,chr1,4495999,4499075,5.57728,24.75538,1940,3076,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,20,chr1,4499134,4499391,4.00877,12.23065,141,257,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
6,20,chr1,4499808,4500059,5.66442,25.52195,116,251,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
15,47,chr1,5588662,5589517,2.82160,5.10986,552,855,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
16,51,chr1,5915555,5918088,6.62295,34.36704,581,2533,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
17,55,chr1,6358742,6359359,3.31166,7.60915,231,617,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
18,55,chr1,6359442,6360324,4.44447,15.44299,718,882,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
20,95,chr1,9299306,9300316,3.22452,7.08378,907,1010,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
21,110,chr1,9796116,9796666,3.66022,9.83191,145,550,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
27,116,chr1,9964581,9964946,4.44447,15.44299,180,365,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
28,116,chr1,9965624,9965855,3.66022,9.83191,128,231,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
29,116,chr1,9966772,9968506,6.88437,36.90212,1082,1734,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
29,117,chr1,9966772,9968506,6.88437,36.90212,1082,1734,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
30,117,chr1,9968763,9969874,8.03099,59.75075,368,1111,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
32,136,chr1,10993341,10993731,2.52741,3.37712,241,390,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
35,141,chr1,11415257,11415733,2.91639,6.64357,169,476,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
69,151,chr1,12690582,12691360,3.73436,10.87204,381,778,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
70,151,chr1,12691747,12692647,1.84232,1.79384,723,900,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
81,152,chr1,12993040,12993525,2.52741,3.37712,57,485,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
82,152,chr1,12994491,12995121,2.52741,3.37712,145,630,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
91,156,chr1,13125446,13130926,4.84619,24.42037,2068,5480,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
94,165,chr1,13375542,13376041,3.39880,8.14814,163,499,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
94,166,chr1,13375542,13376041,3.39880,8.14814,163,499,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
116,180,chr1,14753354,14758308,5.14158,21.02266,1282,4954,ENSMUSG00000054493,,Gm9947,chr1,14752937,14776931,1
116,181,chr1,14753354,14758308,5.14158,21.02266,1282,4954,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
117,185,chr1,14918076,14918957,2.78834,6.27490,248,881,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
118,185,chr1,14919139,14919704,3.31166,7.60915,389,565,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
119,188,chr1,15285125,15285516,2.52741,3.37712,301,391,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
121,198,chr1,15891911,15892581,3.48594,8.69705,326,670,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
122,198,chr1,15892714,15893116,2.37477,3.14843,85,402,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
123,198,chr1,15893347,15893648,3.22452,7.08378,174,301,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
126,208,chr1,16620620,16620826,2.56077,4.45065,57,206,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
127,218,chr1,17096598,17097518,3.05024,6.07151,775,920,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
128,218,chr1,17098208,17099510,1.77043,1.27221,599,1302,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
130,219,chr1,17122958,17123230,2.70169,4.20998,180,272,ENSMUSG00000100110,,Gm28783,chr1,17124747,17128956,1
134,236,chr1,18057204,18059955,5.40300,23.24111,2263,2751,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
134,237,chr1,18057204,18059955,5.40300,23.24111,2263,2751,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
135,237,chr1,18061194,18061506,2.26599,2.25440,72,312,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
139,247,chr1,19099640,19102301,7.20026,45.40963,190,2661,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
140,247,chr1,19102465,19106188,9.23712,61.69084,2167,3723,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
140,248,chr1,19102465,19106188,9.23712,61.69084,2167,3723,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
141,248,chr1,19106284,19106709,5.75156,26.29453,273,425,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
142,248,chr1,19106856,19111697,9.93424,69.64434,2250,4841,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
150,250,chr1,19207054,19207932,6.53581,33.53328,700,878,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
151,250,chr1,19208803,19209667,5.05444,20.29849,341,864,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
164,251,chr1,19239929,19244179,8.62715,54.94390,2145,4250,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
230,296,chr1,21961747,21962156,3.05024,6.07151,182,409,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
231,296,chr1,21962295,21963510,3.48543,9.16198,117,1215,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
232,296,chr1,21963887,21964227,2.63189,4.86429,196,340,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
241,300,chr1,22806609,22807063,3.66022,9.83191,150,454,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
243,314,chr1,23759312,23761894,5.60296,25.63588,1390,2582,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
253,318,chr1,24102204,24102424,2.17885,1.92127,158,220,ENSMUSG00000026153,68187.0,Fam135a,chr1,24011093,24100341,-1
254,318,chr1,24102769,24102967,2.96310,5.58454,69,198,ENSMUSG00000026153,68187.0,Fam135a,chr1,24011093,24100341,-1
270,323,chr1,24584556,24587761,8.10431,49.33246,1476,3205,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
271,323,chr1,24588211,24588667,3.65138,10.29121,293,456,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
272,323,chr1,24589243,24589707,3.24246,7.76969,320,464,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
287,447,chr1,33905896,33906747,3.78408,14.12277,423,851,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
288,446,chr1,33906864,33907521,4.09591,12.85529,128,657,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
288,447,chr1,33906864,33907521,4.09591,12.85529,128,657,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
289,446,chr1,33908242,33909007,2.97144,5.79951,631,765,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
289,447,chr1,33908242,33909007,2.97144,5.79951,631,765,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
290,446,chr1,33909065,33909391,3.05387,8.15034,159,326,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
291,446,chr1,33909871,33910297,3.22452,7.08378,126,426,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
295,464,chr1,34456630,34459571,5.28538,25.27999,1544,2941,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
296,464,chr1,34459831,34461365,4.61875,16.79020,387,1534,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
300,465,chr1,34472389,34474671,3.98324,14.82838,194,2282,ENSMUSG00000100280,,Gm28417,chr1,34468834,34473148,-1
301,465,chr1,34474739,34475442,3.13738,6.57224,559,703,ENSMUSG00000100280,,Gm28417,chr1,34468834,34473148,-1
303,466,chr1,34485226,34485685,2.65558,5.40447,280,459,ENSMUSG00000101223,,4930568A12Rik,chr1,34477167,34485933,-1
304,469,chr1,34535539,34537859,9.14267,61.24971,1717,2320,ENSMUSG00000026124,12627.0,Cfc1,chr1,34535648,34544313,1
305,470,chr1,34538017,34539653,7.66862,44.78506,209,1636,ENSMUSG00000101803,,Gm28419,chr1,34538086,34538560,-1
306,472,chr1,34576998,34577252,2.52741,3.37712,73,254,ENSMUSG00000045174,211383.0,Amer3,chr1,34579657,34590944,1
307,472,chr1,34577507,34577856,2.98756,6.04683,104,349,ENSMUSG00000045174,211383.0,Amer3,chr1,34579657,34590944,1
308,472,chr1,34578228,34579447,5.31586,22.49428,329,1219,ENSMUSG00000045174,211383.0,Amer3,chr1,34579657,34590944,1
308,473,chr1,34578228,34579447,5.31586,22.49428,329,1219,ENSMUSG00000045815,,1700101I19Rik,chr1,34579202,34579711,-1
309,473,chr1,34580644,34581043,3.83450,11.01062,171,399,ENSMUSG00000045815,,1700101I19Rik,chr1,34579202,34579711,-1
310,473,chr1,34581270,34581640,2.70169,4.20998,227,370,ENSMUSG00000045815,,1700101I19Rik,chr1,34579202,34579711,-1
315,478,chr1,34675709,34677096,4.14925,13.92444,1148,1387,ENSMUSG00000037509,226970.0,Arhgef4,chr1,34678188,34813309,1
316,478,chr1,34677205,34680589,5.59622,26.37233,430,3384,ENSMUSG00000037509,226970.0,Arhgef4,chr1,34678188,34813309,1
317,479,chr1,34748235,34752780,7.05348,40.45182,3054,4545,ENSMUSG00000102537,,Gm37224,chr1,34752775,34752922,1
317,480,chr1,34748235,34752780,7.05348,40.45182,3054,4545,ENSMUSG00000102612,,Gm37845,chr1,34753123,34753477,1
318,480,chr1,34753448,34754135,2.68115,4.74701,128,687,ENSMUSG00000102612,,Gm37845,chr1,34753123,34753477,1
321,489,chr1,34985081,34985378,2.63370,4.15482,151,297,ENSMUSG00000103997,,Gm38027,chr1,34985656,34985890,1
334,500,chr1,36065919,36067130,4.35733,14.78284,577,1211,ENSMUSG00000045216,50785.0,Hs6st1,chr1,36068400,36106446,1
335,500,chr1,36067282,36067530,2.78834,6.27490,114,248,ENSMUSG00000045216,50785.0,Hs6st1,chr1,36068400,36106446,1
336,504,chr1,36246886,36247110,2.71599,4.58273,75,224,ENSMUSG00000037470,320011.0,Uggt1,chr1,36140027,36244720,-1
349,506,chr1,36305094,36305364,2.78883,4.65320,180,270,ENSMUSG00000037447,214855.0,Arid5a,chr1,36307733,36324029,1
352,512,chr1,36469028,36469286,2.61455,3.78742,55,258,ENSMUSG00000037408,94220.0,Cnnm4,chr1,36471620,36508764,1
353,521,chr1,36558940,36560495,4.18305,13.48837,505,1555,ENSMUSG00000026121,20353.0,Sema4c,chr1,36548639,36558349,-1
354,521,chr1,36560755,36561136,2.87597,5.11122,277,381,ENSMUSG00000026121,20353.0,Sema4c,chr1,36548639,36558349,-1
372,528,chr1,36744267,36744699,2.09171,1.60642,57,432,ENSMUSG00000104237,,Gm33533,chr1,36739048,36744792,-1
384,548,chr1,37540254,37540742,2.32374,2.63510,338,488,ENSMUSG00000026110,269181.0,Mgat4a,chr1,37439340,37541016,-1
385,548,chr1,37542172,37542604,3.59386,9.82516,118,432,ENSMUSG00000026110,269181.0,Mgat4a,chr1,37439340,37541016,-1
386,548,chr1,37542988,37543308,3.70350,10.74788,173,320,ENSMUSG00000026110,269181.0,Mgat4a,chr1,37439340,37541016,-1
392,552,chr1,37718367,37722023,3.48531,13.95567,2761,3656,ENSMUSG00000026090,72097.0,2010300C02Rik,chr1,37611677,37720085,-1
