peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
9,11,chr1,3672239,3672701,3.45018,8.95171,149,462,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
13,19,chr1,4496781,4497809,3.05758,7.01731,824,1028,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
13,20,chr1,4496781,4497809,3.05758,7.01731,824,1028,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
17,32,chr1,4786466,4787060,3.95458,11.64111,365,594,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
18,33,chr1,4808226,4809289,2.88336,9.58046,336,1063,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
18,34,chr1,4808226,4809289,2.88336,9.58046,336,1063,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
19,35,chr1,4856884,4857247,4.27006,13.12151,206,363,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
22,40,chr1,4969505,4971410,4.78115,16.39572,1076,1905,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
32,47,chr1,5588158,5589215,2.53797,4.67158,550,1057,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
33,51,chr1,5916343,5917003,3.27807,8.74687,310,660,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
34,51,chr1,5917188,5918095,4.27655,14.10756,629,907,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
38,54,chr1,6215429,6217042,6.26084,28.42155,857,1613,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
39,55,chr1,6358832,6359649,3.34618,9.26470,623,817,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
60,67,chr1,7087797,7088386,4.52561,15.05330,162,589,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
65,68,chr1,7138078,7138854,2.71877,6.56378,389,776,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
66,68,chr1,7138993,7139813,4.44042,14.40341,221,820,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
68,73,chr1,7313463,7313763,2.42521,3.09434,214,300,ENSMUSG00000102768,,Gm19002,chr1,7315451,7316462,1
76,95,chr1,9299816,9301032,2.86942,6.29362,376,1216,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
77,101,chr1,9544754,9545149,5.00099,19.44618,165,395,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
78,102,chr1,9546575,9549052,6.03022,28.35172,1556,2477,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
84,104,chr1,9600872,9601310,2.56645,3.50292,143,438,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
85,104,chr1,9601404,9602075,4.01452,11.26481,133,671,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
91,105,chr1,9629347,9630734,3.86611,14.18752,1012,1387,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
92,105,chr1,9631120,9631356,3.39113,8.23767,92,236,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
94,107,chr1,9699401,9700155,4.52561,15.05330,168,754,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
