peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
4,300,chr1,22619713,22619957,2.90231,0.00000,171,244,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
7,332,chr1,24716996,24717253,4.49434,2.94221,128,257,ENSMUSG00000073725,68421.0,Lmbrd1,chr1,24678630,24766301,1
13,460,chr1,34430060,34430336,3.91542,1.58988,95,276,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
14,460,chr1,34430630,34431371,3.05036,0.32998,151,741,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
15,460,chr1,34431773,34432613,2.92731,0.32597,526,840,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
16,486,chr1,34930473,34930731,3.33650,0.46333,107,258,ENSMUSG00000103716,,Gm19430,chr1,34928509,34930645,1
20,537,chr1,37094164,37094444,3.17212,0.32998,168,280,ENSMUSG00000050122,70853.0,Vwa3b,chr1,37026596,37187613,1
22,552,chr1,37705272,37705472,3.92714,1.44615,87,200,ENSMUSG00000026090,72097.0,2010300C02Rik,chr1,37611677,37720085,-1
23,555,chr1,37875009,37875282,2.53769,0.00000,49,273,ENSMUSG00000037216,623661.0,Lipt1,chr1,37871738,37876228,1
23,556,chr1,37875009,37875282,2.53769,0.00000,49,273,ENSMUSG00000026088,69028.0,Mitd1,chr1,37874801,37890411,-1
26,589,chr1,39397431,39397662,3.91542,1.58988,91,231,ENSMUSG00000003134,54610.0,Tbc1d8,chr1,39371492,39478755,-1
27,589,chr1,39414366,39414581,4.49434,2.94221,85,215,ENSMUSG00000003134,54610.0,Tbc1d8,chr1,39371492,39478755,-1
28,589,chr1,39470139,39470454,3.53264,0.94150,164,315,ENSMUSG00000003134,54610.0,Tbc1d8,chr1,39371492,39478755,-1
35,811,chr1,53613473,53613799,3.33650,0.46333,167,326,ENSMUSG00000096141,627872.0,Dnah7a,chr1,53397006,53706784,-1
36,844,chr1,55362647,55362916,4.49434,2.94221,171,269,ENSMUSG00000025977,75388.0,Boll,chr1,55248658,55363469,-1
37,889,chr1,58505654,58505982,3.00725,0.00000,172,328,ENSMUSG00000026037,18393.0,Orc2,chr1,58462771,58505109,-1
37,890,chr1,58505654,58505982,3.00725,0.00000,172,328,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
38,889,chr1,58507241,58507848,5.99854,8.15496,302,607,ENSMUSG00000026037,18393.0,Orc2,chr1,58462771,58505109,-1
38,890,chr1,58507241,58507848,5.99854,8.15496,302,607,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
39,890,chr1,58507893,58508416,2.09093,0.00000,86,523,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
40,901,chr1,58798854,58799082,3.33650,0.46333,58,228,ENSMUSG00000026029,12370.0,Casp8,chr1,58795374,58847503,1
40,902,chr1,58798854,58799082,3.33650,0.46333,58,228,ENSMUSG00000102719,,Gm37760,chr1,58797783,58801623,1
41,916,chr1,59350173,59350358,3.62596,0.99924,64,185,ENSMUSG00000026023,271697.0,Cdk15,chr1,59256906,59352993,1
42,945,chr1,60349568,60349933,3.62596,0.99924,222,365,ENSMUSG00000049439,77951.0,Cyp20a1,chr1,60343323,60388060,1
46,1187,chr1,74010819,74011102,3.44036,0.46333,156,283,ENSMUSG00000055322,21961.0,Tns1,chr1,73910231,74124449,-1
47,1206,chr1,74414878,74415347,3.33175,0.36373,174,469,ENSMUSG00000026175,22349.0,Vil1,chr1,74409376,74435559,1
49,1303,chr1,79014253,79014705,3.48123,0.46333,122,452,ENSMUSG00000099706,,Gm29536,chr1,78791623,79224511,-1
50,1308,chr1,79614416,79614959,4.29854,2.20190,272,543,ENSMUSG00000054702,252903.0,Ap1s3,chr1,79606876,79671972,-1
54,1516,chr1,87663938,87664271,3.51173,1.64285,158,333,ENSMUSG00000026288,16331.0,Inpp5d,chr1,87620312,87720507,1
55,1530,chr1,88177353,88177675,3.86945,1.57365,176,322,ENSMUSG00000090165,394430.0,Ugt1a10,chr1,88055388,88219004,1
55,1532,chr1,88177353,88177675,3.86945,1.57365,176,322,ENSMUSG00000090175,394434.0,Ugt1a9,chr1,88070800,88218997,1
55,1533,chr1,88177353,88177675,3.86945,1.57365,176,322,ENSMUSG00000089675,,Ugt1a8,chr1,88087813,88219004,1
55,1534,chr1,88177353,88177675,3.86945,1.57365,176,322,ENSMUSG00000090124,394432.0,Ugt1a7c,chr1,88095062,88220002,1
55,1536,chr1,88177353,88177675,3.86945,1.57365,176,322,ENSMUSG00000090145,394435.0,Ugt1a6b,chr1,88103252,88219003,1
55,1539,chr1,88177353,88177675,3.86945,1.57365,176,322,ENSMUSG00000054545,94284.0,Ugt1a6a,chr1,88134809,88218997,1
