peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3672235,3672564,2.02396,1.35431,190,329,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,11,chr1,3673292,3673753,2.64405,3.41124,208,461,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
9,19,chr1,4494247,4495240,3.22067,6.17005,956,993,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
10,19,chr1,4496281,4496765,2.65639,3.86038,235,484,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
11,19,chr1,4496996,4499069,3.53859,9.39311,1298,2073,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
11,20,chr1,4496996,4499069,3.53859,9.39311,1298,2073,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
12,20,chr1,4499175,4499421,3.13830,5.67470,88,246,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
18,51,chr1,5915889,5918122,4.10771,12.75092,430,2233,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
19,51,chr1,5918803,5919030,2.89117,4.25781,133,227,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
22,95,chr1,9298555,9300959,4.53868,14.71775,802,2404,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
23,116,chr1,9966984,9967526,3.16092,7.25050,337,542,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
23,117,chr1,9966984,9967526,3.16092,7.25050,337,542,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
24,116,chr1,9967596,9968431,3.19653,6.74272,241,835,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
24,117,chr1,9967596,9968431,3.19653,6.74272,241,835,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
25,117,chr1,9968982,9969277,2.97355,4.71679,146,295,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
26,117,chr1,9969399,9969799,2.97355,4.71679,194,400,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
29,152,chr1,12992838,12993527,2.72642,3.83733,436,689,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
31,156,chr1,13126364,13127770,2.98244,6.86656,962,1406,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
32,156,chr1,13127898,13128611,2.39310,2.95688,599,713,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
