peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3670216,3672736,20.90074,168.73344,1007,2520,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
5,32,chr1,4784281,4786331,18.31750,139.30777,1305,2050,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
6,33,chr1,4807338,4809036,20.07880,159.23814,681,1698,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
6,34,chr1,4807338,4809036,20.07880,159.23814,681,1698,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
7,35,chr1,4857029,4857635,5.18150,25.57931,376,606,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
8,35,chr1,4857759,4859129,25.48011,223.64502,353,1370,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
11,47,chr1,5588199,5589342,5.14195,18.20035,311,1143,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
12,51,chr1,5916469,5917556,5.75357,20.79082,917,1087,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
13,51,chr1,5917639,5918033,3.17034,5.50761,160,394,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
15,54,chr1,6213699,6216056,19.72273,195.39513,1320,2357,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
16,54,chr1,6216157,6216837,3.28776,6.06709,332,680,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
18,55,chr1,6358802,6359612,5.67757,22.09519,458,810,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
19,57,chr1,6382626,6383631,9.76920,66.35441,376,1005,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
21,58,chr1,6441057,6441719,16.70880,126.24246,362,662,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
27,67,chr1,7087748,7090069,19.13944,148.53584,848,2321,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
31,74,chr1,7397137,7397453,4.46196,12.44750,168,316,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
32,74,chr1,7397630,7397925,6.63846,31.84637,131,295,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
33,74,chr1,7398146,7398778,9.90994,54.39202,368,632,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
34,95,chr1,9298299,9300625,11.74199,70.93039,984,2326,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
35,101,chr1,9544704,9545193,7.39745,32.93668,331,489,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
36,101,chr1,9545429,9546931,11.24802,72.24575,431,1502,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
36,102,chr1,9545429,9546931,11.24802,72.24575,431,1502,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
37,102,chr1,9546987,9547341,3.96397,9.65002,193,354,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
38,102,chr1,9547977,9548741,5.40131,18.39753,192,764,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
41,104,chr1,9600964,9602682,10.21428,65.33778,607,1718,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
44,107,chr1,9699341,9701388,9.62843,51.53638,711,2047,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
45,108,chr1,9745424,9748411,17.67546,144.19839,2519,2987,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
45,109,chr1,9745424,9748411,17.67546,144.19839,2519,2987,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
46,109,chr1,9748655,9748888,4.93163,15.34020,123,233,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
48,110,chr1,9797332,9798913,15.73426,111.20667,918,1581,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
50,113,chr1,9908506,9909067,5.00001,15.92523,261,561,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
51,114,chr1,9942150,9944193,28.06335,255.97269,1771,2043,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
51,115,chr1,9942150,9944193,28.06335,255.97269,1771,2043,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
52,114,chr1,9944262,9944743,6.41231,25.64732,253,481,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
52,115,chr1,9944262,9944743,6.41231,25.64732,253,481,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
53,116,chr1,9967076,9967529,4.81422,14.60137,306,453,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
53,117,chr1,9967076,9967529,4.81422,14.60137,306,453,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
54,119,chr1,10008785,10009551,6.93571,34.46642,265,766,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
54,120,chr1,10008785,10009551,6.93571,34.46642,265,766,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
55,121,chr1,10036825,10038195,22.66204,189.46310,780,1370,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
55,122,chr1,10036825,10038195,22.66204,189.46310,780,1370,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
56,121,chr1,10038265,10040943,17.96524,135.39362,1731,2678,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
56,122,chr1,10038265,10040943,17.96524,135.39362,1731,2678,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
58,126,chr1,10230997,10234018,22.69235,197.03131,1341,3021,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
60,136,chr1,10993331,10994709,10.50559,73.44396,338,1378,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
62,140,chr1,11413519,11415102,10.70080,71.82103,931,1583,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
62,141,chr1,11413519,11415102,10.70080,71.82103,931,1583,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
