peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670456,3671601,5.03089,19.08871,749,1145,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
1,11,chr1,3671690,3672648,4.29590,12.91365,354,958,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
4,19,chr1,4496198,4496803,2.76888,4.28386,316,605,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,19,chr1,4496896,4497585,4.52931,16.75302,159,689,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,20,chr1,4496896,4497585,4.52931,16.75302,159,689,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
18,47,chr1,5588270,5589138,3.05520,5.66449,151,868,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
19,51,chr1,5916439,5917642,4.86853,16.82445,337,1203,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
22,54,chr1,6215905,6216506,3.62783,8.77851,334,601,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
23,55,chr1,6358879,6359617,4.29590,12.91365,462,738,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
24,57,chr1,6382723,6383425,3.53239,8.22893,158,702,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
25,58,chr1,6441220,6441617,2.38713,2.65152,129,397,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
27,67,chr1,7088018,7088395,2.67344,3.85212,153,377,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
32,68,chr1,7138363,7138776,2.48256,3.03513,313,413,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
36,95,chr1,9298590,9300229,3.91414,10.49187,765,1639,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
37,101,chr1,9544807,9545115,2.88265,5.63861,118,308,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
38,102,chr1,9547070,9547305,2.86432,4.73082,82,235,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
39,102,chr1,9547941,9548836,3.81871,9.91044,153,895,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
48,105,chr1,9631423,9631946,2.80032,5.18835,146,523,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
50,107,chr1,9699440,9700128,4.00958,11.08406,127,688,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
51,107,chr1,9701113,9701329,2.80032,5.18835,107,216,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
52,108,chr1,9745467,9747685,6.34603,29.59528,1574,2218,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
58,111,chr1,9804472,9804904,2.67344,3.85212,149,432,ENSMUSG00000046334,,Gm6195,chr1,9802197,9802553,-1
64,113,chr1,9908608,9909007,2.11799,2.39407,113,399,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
65,114,chr1,9942231,9942675,2.95976,5.18835,140,444,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
66,114,chr1,9942748,9943165,2.67344,3.85212,209,417,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
67,116,chr1,9967004,9968383,4.39134,13.54427,376,1379,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
67,117,chr1,9967004,9968383,4.39134,13.54427,376,1379,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
68,119,chr1,10008630,10009473,2.76888,4.28386,161,843,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
68,120,chr1,10008630,10009473,2.76888,4.28386,161,843,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
69,121,chr1,10036791,10037139,2.82370,6.22155,194,348,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
70,122,chr1,10038887,10039693,4.48678,14.18417,193,806,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
71,122,chr1,10040187,10041302,2.96484,7.14333,684,1115,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
73,126,chr1,10231245,10232211,3.43695,7.69085,838,966,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
74,126,chr1,10233647,10233955,3.50398,8.58884,144,308,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
77,131,chr1,10719366,10720912,4.10502,11.68245,569,1546,ENSMUSG00000042501,329093.0,Cpa6,chr1,10324720,10719945,-1
85,140,chr1,11414324,11414882,3.15063,6.15032,194,558,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
85,141,chr1,11414324,11414882,3.15063,6.15032,194,558,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
113,150,chr1,12670849,12671220,2.67344,3.85212,158,371,ENSMUSG00000101314,,Gm29663,chr1,12670324,12671176,-1
114,151,chr1,12689449,12689785,2.76888,4.28386,76,336,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
115,151,chr1,12689870,12691240,4.67765,15.48566,1055,1370,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
116,151,chr1,12691868,12692613,3.24607,6.65218,600,745,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
143,152,chr1,12991936,12992304,2.69563,4.23487,129,368,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
146,156,chr1,13126229,13126863,4.58221,14.83239,258,634,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
147,156,chr1,13127035,13127286,4.20736,12.60390,125,251,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
148,156,chr1,13127987,13128883,4.22253,13.21387,530,896,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
159,160,chr1,13291354,13291822,2.57800,3.43488,367,468,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
160,160,chr1,13292568,13292851,2.52487,3.30121,116,283,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
162,161,chr1,13300555,13301256,3.32435,7.54120,130,701,ENSMUSG00000104170,,Gm37702,chr1,13297036,13298907,-1
185,165,chr1,13374434,13374845,3.43695,7.69085,173,411,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
185,166,chr1,13374434,13374845,3.43695,7.69085,173,411,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
198,170,chr1,13660021,13660392,3.04732,6.56768,227,371,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
199,170,chr1,13660601,13660799,2.57810,3.58161,147,198,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
216,178,chr1,14257201,14257791,3.12965,7.04882,319,590,ENSMUSG00000102588,,Gm37444,chr1,14255552,14255990,-1
219,179,chr1,14309450,14309863,3.05520,5.66449,119,413,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
233,181,chr1,14754953,14756439,4.86853,16.82445,1159,1486,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
235,185,chr1,14918538,14919001,3.15063,6.15032,339,463,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
236,188,chr1,15286373,15286771,2.78544,4.66769,124,398,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
237,188,chr1,15286967,15287695,2.88891,6.15032,403,728,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
238,195,chr1,15805043,15805451,3.24607,6.65218,71,408,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
241,197,chr1,15876784,15877229,2.57800,3.43488,385,445,ENSMUSG00000088943,,Gm23259,chr1,15879530,15879832,1
245,198,chr1,15892069,15893146,4.10502,11.68245,397,1077,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
251,200,chr1,16092785,16093766,4.51083,14.86455,232,981,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
253,202,chr1,16102762,16103490,2.20917,3.49344,281,728,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
254,201,chr1,16106283,16107101,2.28091,2.92587,485,818,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
269,203,chr1,16212216,16213090,3.45899,9.08393,509,874,ENSMUSG00000104165,,Gm38249,chr1,16208197,16210517,-1
271,204,chr1,16227719,16228819,4.00958,11.08406,944,1100,ENSMUSG00000100868,,Gm28095,chr1,16228506,16244062,1
279,207,chr1,16616421,16616863,3.24607,6.65218,294,442,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
280,207,chr1,16617192,16617675,4.00958,11.08406,121,483,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
281,207,chr1,16617768,16618210,1.64733,0.92547,280,442,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
282,210,chr1,16654669,16655951,4.00958,11.08406,1090,1282,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
283,209,chr1,16657526,16658005,4.29590,12.91365,367,479,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
283,210,chr1,16657526,16658005,4.29590,12.91365,367,479,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
284,211,chr1,16664908,16665194,2.86432,4.73082,144,286,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
284,212,chr1,16664908,16665194,2.86432,4.73082,144,286,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
285,211,chr1,16665920,16667001,3.68362,9.68487,701,1081,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
286,213,chr1,16687722,16688093,2.95976,5.18835,148,371,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
288,218,chr1,17096562,17097623,4.20046,12.29449,559,1061,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
289,220,chr1,17145284,17145836,2.89892,7.19026,417,552,ENSMUSG00000025777,14545.0,Gdap1,chr1,17145362,17164271,1
291,229,chr1,17727270,17728208,2.86432,4.73082,739,938,ENSMUSG00000025776,83691.0,Crispld1,chr1,17727045,17766344,1
