peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3671161,3671506,5.51355,9.37086,237,345,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
4,20,chr1,4497075,4497521,3.55470,4.78992,105,446,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
6,30,chr1,4768850,4768975,4.60604,6.10473,55,125,ENSMUSG00000103922,,Gm6123,chr1,4771131,4772199,1
8,32,chr1,4784971,4785702,25.48972,181.45784,585,731,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
9,32,chr1,4785839,4786296,6.93132,26.90702,72,457,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
10,33,chr1,4807380,4807803,23.76784,233.75070,277,423,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
10,34,chr1,4807380,4807803,23.76784,233.75070,277,423,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
11,33,chr1,4807862,4808334,27.32028,169.50224,122,472,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
11,34,chr1,4807862,4808334,27.32028,169.50224,122,472,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
15,35,chr1,4857360,4857557,10.30696,47.39866,97,197,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
16,35,chr1,4857857,4858783,14.39713,75.93865,261,926,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
20,54,chr1,6214682,6215639,19.39865,127.04604,118,957,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
21,55,chr1,6359256,6359452,3.55470,4.78992,117,196,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
22,57,chr1,6382813,6383167,12.81636,25.62385,228,354,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
23,67,chr1,7088220,7088720,21.71995,156.00728,338,500,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
24,67,chr1,7089092,7089649,12.30103,96.28783,163,557,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
27,74,chr1,7397148,7397415,4.52591,5.10016,179,267,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
28,74,chr1,7397677,7397897,11.75898,58.39759,123,220,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
29,74,chr1,7398125,7398746,18.79604,61.56869,224,621,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
30,101,chr1,9545457,9546645,12.61734,76.42055,125,1188,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
