peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670899,3672111,3.70230,6.14461,449,1212,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,19,chr1,4497027,4497462,3.24665,2.27284,324,435,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,20,chr1,4497027,4497462,3.24665,2.27284,324,435,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,32,chr1,4784225,4786663,40.24373,254.37326,1326,2438,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
6,33,chr1,4807259,4809263,57.95946,273.27686,756,2004,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
6,34,chr1,4807259,4809263,57.95946,273.27686,756,2004,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
7,35,chr1,4856499,4859859,42.17258,223.72371,1848,3360,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
11,54,chr1,6213327,6216529,40.15475,252.68994,1829,3202,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
12,55,chr1,6359059,6359514,5.07158,6.69590,297,455,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
13,57,chr1,6382778,6383428,6.19090,9.41564,240,650,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
14,58,chr1,6441220,6441725,4.65183,5.01418,202,505,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
15,67,chr1,7087808,7090409,42.56880,182.66676,1448,2601,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
16,74,chr1,7396801,7398772,41.30957,175.55823,1505,1971,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
17,101,chr1,9544517,9548685,39.77050,166.74312,1026,4168,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
