peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670286,3672667,19.33152,88.10780,1059,2381,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,19,chr1,4496037,4497807,8.35423,23.18690,1370,1770,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
2,20,chr1,4496037,4497807,8.35423,23.18690,1370,1770,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
4,32,chr1,4784808,4786424,44.82716,279.99380,764,1616,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
5,33,chr1,4807305,4809029,47.83706,306.12503,700,1724,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
5,34,chr1,4807305,4809029,47.83706,306.12503,700,1724,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
6,35,chr1,4857017,4859115,38.80735,230.55779,1207,2098,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
9,47,chr1,5588240,5588882,4.28201,6.33943,197,642,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
10,51,chr1,5916585,5917614,7.11486,17.31051,309,1029,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
12,54,chr1,6213700,6215910,38.70748,285.59674,1354,2210,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
13,54,chr1,6215948,6216311,2.68853,1.29822,73,363,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
14,55,chr1,6358843,6359683,9.87220,38.68415,351,840,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
15,57,chr1,6382600,6383482,22.34142,107.91792,409,882,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
16,58,chr1,6441110,6441753,8.13322,23.26795,267,643,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
17,67,chr1,7088136,7090815,21.96524,149.91585,1078,2679,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
19,74,chr1,7397064,7398758,31.90229,178.12140,725,1694,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
20,95,chr1,9298630,9299709,3.18435,4.91957,485,1079,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
21,101,chr1,9544785,9547225,29.06944,156.03076,752,2440,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
21,102,chr1,9544785,9547225,29.06944,156.03076,752,2440,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
22,102,chr1,9547461,9548390,4.58859,7.36864,180,929,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
24,107,chr1,9699437,9701430,31.19407,171.75363,792,1993,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
26,108,chr1,9745372,9746138,9.23949,28.38897,287,766,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
27,108,chr1,9746381,9748530,46.77474,295.62540,1747,2149,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
27,109,chr1,9746381,9748530,46.77474,295.62540,1747,2149,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
28,109,chr1,9748652,9748928,5.28428,11.40285,132,276,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
29,110,chr1,9797454,9799154,44.47305,276.53094,908,1700,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
31,113,chr1,9908474,9908850,3.57380,4.25116,133,376,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
32,114,chr1,9942653,9944674,45.57140,315.67157,1235,2021,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
32,115,chr1,9942653,9944674,45.57140,315.67157,1235,2021,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
33,116,chr1,9966905,9968679,18.42952,85.82123,1243,1774,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
33,117,chr1,9966905,9968679,18.42952,85.82123,1243,1774,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
34,119,chr1,10008588,10009457,9.59360,29.46027,411,869,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
34,120,chr1,10008588,10009457,9.59360,29.46027,411,869,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
35,121,chr1,10036884,10040570,51.02402,332.60043,3081,3686,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
35,122,chr1,10036884,10040570,51.02402,332.60043,3081,3686,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
