peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670868,3671121,3.55259,2.70009,137,253,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
4,32,chr1,4786672,4786972,4.29985,4.48105,86,300,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
10,54,chr1,6215869,6216643,3.53559,2.70009,644,774,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
14,102,chr1,9548096,9548743,3.55259,2.70009,319,647,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
15,108,chr1,9746201,9746961,4.11303,4.00740,596,760,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
18,122,chr1,10039073,10039386,3.55259,2.70009,92,313,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
26,160,chr1,13289820,13290024,2.10989,0.37905,12,204,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
27,160,chr1,13290199,13290368,3.55259,2.70009,83,169,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
36,162,chr1,13337100,13337390,3.55259,2.70009,139,290,ENSMUSG00000087782,,Gm23169,chr1,13334498,13334609,-1
40,200,chr1,16092818,16093116,3.17896,1.90426,152,298,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
42,204,chr1,16227870,16228298,3.18612,2.77250,122,428,ENSMUSG00000100868,,Gm28095,chr1,16228506,16244062,1
48,207,chr1,16617148,16617459,4.11303,4.00740,154,311,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
49,210,chr1,16655161,16655890,3.55259,2.70009,627,729,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
51,230,chr1,17727574,17727800,3.55259,2.70009,160,226,ENSMUSG00000085125,,Gm16070,chr1,17676027,17727646,-1
55,274,chr1,20950938,20951197,3.73941,3.12436,112,259,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
56,274,chr1,20951671,20951860,3.73941,3.12436,107,189,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
59,276,chr1,21077999,21078504,4.86029,5.96481,374,505,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
60,280,chr1,21239734,21239966,3.73941,3.12436,193,232,ENSMUSG00000025934,14859.0,Gsta3,chr1,21240589,21265661,1
63,281,chr1,21272016,21272368,3.73941,3.12436,201,352,ENSMUSG00000099343,,Gm28836,chr1,21250359,21271593,-1
63,282,chr1,21272016,21272368,3.73941,3.12436,201,352,ENSMUSG00000096375,,Gm7094,chr1,21272403,21272906,1
77,442,chr1,33757414,33757630,2.99215,1.53668,105,216,ENSMUSG00000042215,213539.0,Bag2,chr1,33745484,33757795,-1
80,446,chr1,33908172,33908723,3.73941,3.12436,369,551,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
80,447,chr1,33908172,33908723,3.73941,3.12436,369,551,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
87,479,chr1,34750355,34750543,3.36578,2.29344,60,188,ENSMUSG00000102537,,Gm37224,chr1,34752775,34752922,1
97,500,chr1,36067766,36067983,3.63930,3.36014,180,217,ENSMUSG00000045216,50785.0,Hs6st1,chr1,36068400,36106446,1
