peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3670382,3672682,50.33695,244.47653,984,2300,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
5,19,chr1,4496050,4498227,7.02810,28.40901,1284,2177,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,20,chr1,4496050,4498227,7.02810,28.40901,1284,2177,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
7,26,chr1,4689001,4689701,12.46317,38.51095,330,700,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
8,30,chr1,4770108,4770413,4.57839,5.37964,156,305,ENSMUSG00000103922,,Gm6123,chr1,4771131,4772199,1
9,32,chr1,4784382,4785577,24.50076,123.90199,678,1195,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
10,32,chr1,4785808,4786388,29.98642,138.36949,309,580,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
11,33,chr1,4807278,4807823,12.32084,54.49669,227,545,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
11,34,chr1,4807278,4807823,12.32084,54.49669,227,545,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
12,33,chr1,4807965,4809210,23.93336,110.77891,558,1245,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
12,34,chr1,4807965,4809210,23.93336,110.77891,558,1245,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
13,35,chr1,4856813,4857687,23.78064,89.09927,601,874,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
14,35,chr1,4857922,4859149,22.23298,132.52751,698,1227,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
17,47,chr1,5588131,5589194,19.49078,67.00670,559,1063,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
18,51,chr1,5916337,5918058,16.80490,87.73723,539,1721,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
20,54,chr1,6214662,6216364,28.03939,127.35749,895,1702,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
22,55,chr1,6358763,6359724,31.03791,135.85060,538,961,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
23,57,chr1,6382467,6383528,32.28745,154.39140,576,1061,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
25,58,chr1,6441006,6441852,31.86294,135.55934,400,846,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
28,67,chr1,7087828,7088785,26.97737,119.60330,595,957,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
29,67,chr1,7089022,7090759,19.31627,91.40713,884,1737,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
32,74,chr1,7396881,7397921,13.36240,38.58608,307,1040,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
33,74,chr1,7398124,7398895,31.40244,147.94533,420,771,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
35,95,chr1,9298579,9300193,10.50249,26.41433,261,1614,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
36,101,chr1,9544665,9545283,39.91871,180.47975,338,618,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
37,101,chr1,9545403,9549154,15.18973,63.93700,2828,3751,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
