peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
4,11,chr1,3671787,3672188,3.33568,2.43279,64,401,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
5,11,chr1,3672342,3672616,3.81589,3.03130,118,274,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
10,19,chr1,4496760,4497108,3.00939,2.38094,243,348,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
10,20,chr1,4496760,4497108,3.00939,2.38094,243,348,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
19,35,chr1,4856871,4857066,3.49575,2.43279,68,195,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
23,40,chr1,4970426,4970827,2.76006,1.77921,287,401,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
28,47,chr1,5588621,5588821,2.56124,1.32022,15,200,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
34,54,chr1,6215604,6215801,3.33568,2.43279,79,197,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
35,54,chr1,6215899,6216745,3.88279,5.78610,381,846,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
41,67,chr1,7087766,7088390,4.19271,4.54010,183,624,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
49,68,chr1,7136959,7137151,3.49575,2.43279,126,192,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
50,68,chr1,7137628,7137980,3.65582,3.03130,251,352,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
51,68,chr1,7138081,7138295,3.15769,3.20125,53,214,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
52,68,chr1,7138422,7138793,3.91013,4.30614,232,371,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
58,101,chr1,9544805,9545116,5.09646,6.31834,151,311,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
59,102,chr1,9547115,9547376,2.70158,1.79262,107,261,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
60,102,chr1,9547470,9547667,3.25492,2.62183,153,197,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
61,102,chr1,9547909,9549112,3.33748,3.21047,823,1203,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
68,107,chr1,9699388,9699748,4.61624,4.93477,141,360,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
69,107,chr1,9701233,9701432,3.65582,3.03130,62,199,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
72,108,chr1,9745710,9747497,7.39835,14.54780,1122,1787,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
75,110,chr1,9797351,9797616,3.97596,3.65992,102,265,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
