peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,14,chr1,3784338,3784829,3.00663,3.78202,148,491,ENSMUSG00000088333,,Gm27396,chr1,3783876,3783933,-1
1,14,chr1,3785041,3785420,2.77406,2.68053,64,379,ENSMUSG00000088333,,Gm27396,chr1,3783876,3783933,-1
2,15,chr1,3977195,3977749,3.36140,4.65619,371,554,ENSMUSG00000102343,,Gm37381,chr1,3905739,3986215,-1
8,42,chr1,5119449,5119776,3.61997,5.71674,178,327,ENSMUSG00000033793,108664.0,Atp6v1h,chr1,5070018,5162529,1
9,42,chr1,5153949,5154520,2.45641,1.60809,182,571,ENSMUSG00000033793,108664.0,Atp6v1h,chr1,5070018,5162529,1
21,58,chr1,6437467,6438264,3.36140,4.65619,168,797,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
22,58,chr1,6439615,6439921,3.74926,6.27729,135,306,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
23,65,chr1,7013549,7013836,2.97355,3.22267,99,287,ENSMUSG00000102213,,Gm37489,chr1,7013762,7013920,1
35,126,chr1,10214960,10215213,2.84426,2.78586,133,253,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
36,136,chr1,11204916,11205210,2.97355,3.22267,154,294,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
37,140,chr1,11456062,11456557,3.23212,4.15610,349,495,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
38,140,chr1,11746100,11746676,3.28364,4.49640,143,576,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
39,140,chr1,11746820,11747272,1.71750,0.27418,291,452,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
40,140,chr1,11914897,11915146,2.71498,2.37171,91,249,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
41,140,chr1,11945505,11945770,2.84426,2.78586,77,265,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
47,170,chr1,13623689,13623992,3.53623,5.52677,171,303,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
50,179,chr1,14205374,14205670,2.45641,1.60809,169,296,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
55,188,chr1,15619662,15620143,3.23212,4.15610,260,481,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
57,206,chr1,16379731,16379981,3.23212,4.15610,134,250,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
58,206,chr1,16474889,16475448,4.39568,9.35439,296,559,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
63,239,chr1,18216149,18216466,3.36140,4.65619,137,317,ENSMUSG00000070977,,Defb44-ps,chr1,18210053,18223564,-1
65,248,chr1,19075093,19075758,3.61997,5.71674,319,665,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
