peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,13,chr1,3754665,3755185,2.93159,1.93371,304,520,ENSMUSG00000102592,,Gm38385,chr1,3752010,3754360,1
15,59,chr1,6562356,6562628,2.75915,1.56662,75,272,ENSMUSG00000033740,240690.0,St18,chr1,6487231,6860940,1
29,136,chr1,11048094,11048592,3.44893,3.26557,126,498,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
30,136,chr1,11094368,11094636,2.75915,1.56662,129,268,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
31,140,chr1,11510170,11510454,3.44893,3.26557,162,284,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
41,206,chr1,16474930,16475203,3.10404,2.33861,99,273,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
42,206,chr1,16491139,16491673,2.93159,1.93371,408,534,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
43,208,chr1,16579397,16579958,3.19231,2.70453,90,561,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
46,231,chr1,17789154,17789490,2.93159,1.93371,159,336,ENSMUSG00000099895,,Gm28153,chr1,17741915,17805417,-1
54,260,chr1,20500972,20501556,2.85627,1.92352,349,584,ENSMUSG00000043760,241035.0,Pkhd1,chr1,20057779,20618064,-1
56,300,chr1,22763259,22763606,2.58670,1.23704,205,347,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
57,302,chr1,23101999,23102467,2.73690,1.93371,144,468,ENSMUSG00000073730,66755.0,Ppp1r14bl,chr1,23100473,23102253,-1
57,303,chr1,23101999,23102467,2.73690,1.93371,144,468,ENSMUSG00000101227,,Gm29506,chr1,23048295,23235673,-1
61,323,chr1,24315545,24315818,3.31308,3.58176,159,273,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
