peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,32,chr1,4785797,4786279,4.70782,7.66593,226,482,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
1,33,chr1,4807434,4807701,3.66965,2.41517,207,267,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
1,34,chr1,4807434,4807701,3.66965,2.41517,207,267,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
2,33,chr1,4807891,4808129,4.36917,3.78659,141,238,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
2,34,chr1,4807891,4808129,4.36917,3.78659,141,238,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
3,35,chr1,4856912,4857719,4.84667,11.07884,586,807,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
4,35,chr1,4857876,4858706,3.23721,3.51306,223,830,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
7,54,chr1,6213877,6215704,17.52394,47.88520,919,1827,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
8,67,chr1,7087906,7088782,7.74503,24.58596,629,876,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
9,67,chr1,7089072,7090020,8.36901,15.64266,178,948,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
11,107,chr1,9700721,9700998,3.51640,2.26018,157,277,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
13,108,chr1,9745379,9748410,15.35377,46.78381,2815,3031,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
13,109,chr1,9745379,9748410,15.35377,46.78381,2815,3031,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
14,109,chr1,9748691,9748889,3.91742,2.68249,93,198,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
23,110,chr1,9797450,9800286,9.42688,23.11908,1508,2836,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
26,114,chr1,9942129,9943412,4.02285,4.50468,779,1283,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
27,114,chr1,9943603,9944025,4.26784,5.22219,288,422,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
27,115,chr1,9943603,9944025,4.26784,5.22219,288,422,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
