peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670197,3672689,36.56417,173.83871,1108,2492,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,20,chr1,4497112,4497692,4.10558,4.84710,175,580,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,32,chr1,4784864,4786335,44.16074,234.27298,729,1471,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
6,33,chr1,4807334,4808872,42.00908,208.20901,671,1538,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
6,34,chr1,4807334,4808872,42.00908,208.20901,671,1538,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
7,35,chr1,4857036,4859027,53.47463,288.47064,1091,1991,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
10,47,chr1,5588317,5589156,13.10192,42.00993,262,839,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
11,51,chr1,5916514,5917929,19.32196,70.53310,609,1415,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
12,54,chr1,6213744,6216037,48.58834,252.63994,1393,2293,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
14,55,chr1,6358809,6359681,17.05325,59.45170,327,872,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
15,57,chr1,6382692,6383572,17.73387,62.18193,463,880,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
16,58,chr1,6441133,6441670,9.45339,30.51803,245,537,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
23,67,chr1,7088073,7090267,23.67618,122.60323,1116,2194,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
25,74,chr1,7397139,7398793,30.21178,134.23724,653,1654,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
26,95,chr1,9298300,9300407,25.90123,107.47549,1001,2107,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
27,101,chr1,9544702,9547392,37.47165,178.92334,874,2690,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
27,102,chr1,9544702,9547392,37.47165,178.92334,874,2690,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
28,102,chr1,9547606,9548367,3.45105,4.41349,506,761,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
29,104,chr1,9601059,9602775,5.89562,17.95358,522,1716,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
31,107,chr1,9699111,9701427,42.23595,209.95508,994,2316,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
34,108,chr1,9745366,9746180,4.54923,10.17722,194,814,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
35,108,chr1,9746271,9748868,53.12576,283.65533,1699,2597,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
35,109,chr1,9746271,9748868,53.12576,283.65533,1699,2597,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
36,110,chr1,9797526,9799033,48.36147,250.83505,817,1507,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
38,113,chr1,9908496,9909115,8.20528,18.07229,231,619,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
39,114,chr1,9942220,9944650,54.65648,309.95389,1702,2430,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
39,115,chr1,9942220,9944650,54.65648,309.95389,1702,2430,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
40,116,chr1,9967064,9968496,20.45632,77.65965,1135,1432,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
40,117,chr1,9967064,9968496,20.45632,77.65965,1135,1432,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
41,119,chr1,10008747,10009570,9.56651,24.51555,275,823,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
41,120,chr1,10008747,10009570,9.56651,24.51555,275,823,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
42,121,chr1,10036835,10040638,56.58426,324.73810,908,3803,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
42,122,chr1,10036835,10040638,56.58426,324.73810,908,3803,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
