peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
8,30,chr1,4768628,4768796,3.30721,1.26612,76,168,ENSMUSG00000103922,,Gm6123,chr1,4771131,4772199,1
19,35,chr1,4858299,4858554,3.21272,1.94733,82,255,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
35,54,chr1,6216202,6216424,2.31955,1.26293,49,222,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
36,54,chr1,6216478,6216666,4.28363,3.36219,95,188,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
41,67,chr1,7087915,7088114,6.17545,9.90286,86,199,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
52,68,chr1,7138366,7138767,5.55110,5.69933,297,401,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
54,101,chr1,9544872,9545081,3.42757,3.63456,104,209,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
70,105,chr1,9630517,9630958,5.42908,12.14869,96,441,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
71,105,chr1,9631082,9631822,2.80326,2.44484,555,740,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
73,107,chr1,9701045,9701406,3.93566,2.73165,46,361,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
78,108,chr1,9745495,9745713,3.75527,3.97699,110,218,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
79,108,chr1,9745779,9745943,7.63887,9.79780,110,164,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
80,108,chr1,9746619,9746972,9.70516,14.85470,174,353,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
81,108,chr1,9747049,9747295,5.07469,6.11798,116,246,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
89,111,chr1,9802926,9803155,3.63597,3.03011,107,229,ENSMUSG00000046334,,Gm6195,chr1,9802197,9802553,-1
101,114,chr1,9942922,9943218,5.50430,7.13779,205,296,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
102,114,chr1,9944442,9944596,4.08989,4.27314,54,154,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
102,115,chr1,9944442,9944596,4.08989,4.27314,54,154,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
103,117,chr1,9969045,9969236,3.79818,2.03331,110,191,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
107,122,chr1,10038944,10039222,2.80326,2.44484,174,278,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
116,126,chr1,10233779,10234097,5.22801,4.90817,63,318,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
121,136,chr1,10991074,10991363,4.54429,3.47239,196,289,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
122,136,chr1,10991670,10991882,4.17124,2.73870,115,212,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
127,140,chr1,11413612,11413761,3.21272,1.94733,76,149,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
149,160,chr1,13289928,13290133,3.74918,3.45745,94,205,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
150,160,chr1,13290225,13290430,4.27084,4.85759,99,205,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
151,160,chr1,13290757,13290929,5.69445,7.03338,95,172,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
152,160,chr1,13291566,13291761,6.81537,8.67018,103,195,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
153,161,chr1,13300376,13300591,6.45408,10.34054,109,215,ENSMUSG00000104170,,Gm37702,chr1,13297036,13298907,-1
154,161,chr1,13300635,13301227,3.40516,5.25419,127,592,ENSMUSG00000104170,,Gm37702,chr1,13297036,13298907,-1
179,164,chr1,13356351,13356528,4.00147,3.36219,91,177,ENSMUSG00000102664,,Gm38380,chr1,13354483,13356730,-1
180,164,chr1,13356648,13356807,5.97662,7.03338,93,159,ENSMUSG00000102664,,Gm38380,chr1,13354483,13356730,-1
212,202,chr1,16103028,16103496,4.27084,4.85759,117,468,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
234,204,chr1,16227826,16228244,5.54058,8.38249,283,418,ENSMUSG00000100868,,Gm28095,chr1,16228506,16244062,1
235,204,chr1,16228566,16228809,3.28697,4.29382,115,243,ENSMUSG00000100868,,Gm28095,chr1,16228506,16244062,1
248,207,chr1,16616344,16616881,3.16604,3.81319,269,537,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
249,207,chr1,16617483,16617631,4.54429,3.47239,64,148,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
250,207,chr1,16617959,16618217,7.90177,9.67178,90,258,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
251,210,chr1,16655574,16655906,3.71930,2.71581,203,332,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
252,211,chr1,16664812,16665095,2.44048,1.62637,233,283,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
252,212,chr1,16664812,16665095,2.44048,1.62637,233,283,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
256,213,chr1,16687719,16687984,6.46914,9.48711,102,265,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
259,251,chr1,19242941,19243086,3.71930,2.71581,79,145,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
262,252,chr1,19322405,19322568,4.54429,3.47239,115,163,ENSMUSG00000101117,,Gm28341,chr1,19320226,19320697,-1
285,260,chr1,20618229,20618757,8.57779,12.63283,252,528,ENSMUSG00000043760,241035.0,Pkhd1,chr1,20057779,20618064,-1
286,260,chr1,20619079,20619392,10.14008,15.96883,110,313,ENSMUSG00000043760,241035.0,Pkhd1,chr1,20057779,20618064,-1
287,260,chr1,20619523,20619848,2.07770,0.60868,108,325,ENSMUSG00000043760,241035.0,Pkhd1,chr1,20057779,20618064,-1
288,260,chr1,20619967,20620143,6.03650,5.95053,84,176,ENSMUSG00000043760,241035.0,Pkhd1,chr1,20057779,20618064,-1
298,274,chr1,20951919,20952154,4.10520,4.85759,131,235,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
303,275,chr1,21079720,21079892,3.58597,3.41721,95,172,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
303,276,chr1,21079720,21079892,3.58597,3.41721,95,172,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
308,279,chr1,21232194,21232415,5.66345,5.08613,116,221,ENSMUSG00000102633,,Gm38224,chr1,21234722,21236821,1
309,279,chr1,21232469,21232939,7.38744,11.35543,325,470,ENSMUSG00000102633,,Gm38224,chr1,21234722,21236821,1
312,280,chr1,21238161,21238398,6.03650,5.95053,114,237,ENSMUSG00000025934,14859.0,Gsta3,chr1,21240589,21265661,1
313,280,chr1,21239581,21239734,4.54429,3.47239,40,153,ENSMUSG00000025934,14859.0,Gsta3,chr1,21240589,21265661,1
314,280,chr1,21239886,21240464,10.14008,15.96883,455,578,ENSMUSG00000025934,14859.0,Gsta3,chr1,21240589,21265661,1
315,280,chr1,21240999,21241577,4.91734,4.27314,259,578,ENSMUSG00000025934,14859.0,Gsta3,chr1,21240589,21265661,1
318,281,chr1,21271852,21272030,5.75220,9.12760,108,178,ENSMUSG00000099343,,Gm28836,chr1,21250359,21271593,-1
318,282,chr1,21271852,21272030,5.75220,9.12760,108,178,ENSMUSG00000096375,,Gm7094,chr1,21272403,21272906,1
319,283,chr1,21300074,21300292,6.82311,9.57457,111,218,ENSMUSG00000025936,,Gm4956,chr1,21285246,21298312,-1
334,296,chr1,21961815,21961970,4.44668,3.55711,58,155,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
347,305,chr1,23257848,23258083,3.42513,1.39159,133,235,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
348,305,chr1,23258599,23258928,4.91734,4.27314,194,329,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
356,306,chr1,23269640,23270154,5.13012,5.48166,62,514,ENSMUSG00000065405,,Mir30a,chr1,23272269,23272339,1
357,306,chr1,23270970,23271198,9.02092,12.72892,100,228,ENSMUSG00000065405,,Mir30a,chr1,23272269,23272339,1
358,306,chr1,23272188,23272386,10.51314,15.96883,104,198,ENSMUSG00000065405,,Mir30a,chr1,23272269,23272339,1
370,314,chr1,23760290,23760430,3.21272,1.94733,95,140,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
392,316,chr1,24004509,24004695,6.95163,8.85467,100,186,ENSMUSG00000102495,,Gm26524,chr1,24005505,24005894,1
397,319,chr1,24099062,24099299,4.58183,4.15596,120,237,ENSMUSG00000102398,,Gm37580,chr1,24100625,24103424,1
398,318,chr1,24100981,24101214,7.12263,9.56385,131,233,ENSMUSG00000026153,68187.0,Fam135a,chr1,24011093,24100341,-1
398,319,chr1,24100981,24101214,7.12263,9.56385,131,233,ENSMUSG00000102398,,Gm37580,chr1,24100625,24103424,1
