peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670675,3672222,10.66164,29.14525,754,1547,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,32,chr1,4785446,4785648,3.77937,3.73038,77,202,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
3,33,chr1,4807861,4808334,7.40540,14.15332,161,473,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
3,34,chr1,4807861,4808334,7.40540,14.15332,161,473,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
4,35,chr1,4856886,4858442,9.73269,22.45550,535,1556,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
8,54,chr1,6214334,6215480,16.50958,52.08512,474,1146,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
15,67,chr1,7087949,7089707,23.63459,89.05035,650,1758,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
16,74,chr1,7398178,7398632,3.64497,2.41670,297,454,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
21,95,chr1,9299029,9299541,3.39251,2.39260,143,512,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
22,101,chr1,9545466,9545893,3.24914,1.81779,111,427,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
22,102,chr1,9545466,9545893,3.24914,1.81779,111,427,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
23,104,chr1,9601481,9601905,3.44702,3.51954,133,424,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
27,107,chr1,9699948,9700370,5.31444,8.16080,101,422,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
28,107,chr1,9700606,9701221,3.07350,1.83666,273,615,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
29,108,chr1,9747841,9748428,9.25089,26.08745,347,587,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
29,109,chr1,9747841,9748428,9.25089,26.08745,347,587,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
30,110,chr1,9798156,9798438,3.64497,2.41670,134,282,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
31,114,chr1,9942184,9942447,3.42733,2.11909,79,263,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
32,114,chr1,9943671,9944115,6.83522,16.73554,295,444,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
32,115,chr1,9943671,9944115,6.83522,16.73554,295,444,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
33,121,chr1,10037562,10038223,12.55124,34.16461,484,661,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
33,122,chr1,10037562,10038223,12.55124,34.16461,484,661,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
34,122,chr1,10039707,10040429,17.69708,58.85658,246,722,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
35,126,chr1,10232160,10233436,6.55287,14.94001,749,1276,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
39,151,chr1,12689298,12689793,4.43525,6.84697,294,495,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
48,152,chr1,12991387,12992936,8.98873,20.35535,669,1549,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
50,165,chr1,13372509,13374652,20.95270,100.76247,478,2143,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
50,166,chr1,13372509,13374652,20.95270,100.76247,478,2143,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
51,168,chr1,13589024,13589981,19.90376,73.39471,594,957,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
52,177,chr1,14181301,14181903,4.62005,7.23915,370,602,ENSMUSG00000095853,,Gm22616,chr1,14182578,14182677,1
53,179,chr1,14309408,14310409,12.74916,35.39091,416,1001,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
54,188,chr1,15286421,15287536,5.82206,8.55877,650,1115,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
55,195,chr1,15805654,15806148,9.78040,22.53547,149,494,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
57,201,chr1,16103797,16105796,26.54381,116.18628,1080,1999,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
57,202,chr1,16103797,16105796,26.54381,116.18628,1080,1999,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
60,206,chr1,16519747,16520187,8.79082,19.28760,173,440,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
61,207,chr1,16618834,16619211,5.36759,8.26034,181,377,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
61,208,chr1,16618834,16619211,5.36759,8.26034,181,377,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
62,209,chr1,16656147,16657311,12.52315,41.72326,607,1164,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
62,210,chr1,16656147,16657311,12.52315,41.72326,607,1164,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
63,211,chr1,16665194,16665664,7.40540,14.15332,226,470,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
63,212,chr1,16665194,16665664,7.40540,14.15332,226,470,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
64,213,chr1,16688423,16688775,4.83248,6.05107,211,352,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
67,247,chr1,19103468,19104879,7.60331,15.14524,467,1411,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
67,248,chr1,19103468,19104879,7.60331,15.14524,467,1411,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
68,248,chr1,19105134,19106142,7.80123,15.14524,411,1008,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
69,248,chr1,19106433,19106670,3.91667,3.67105,184,237,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
70,248,chr1,19106931,19107373,3.24997,1.83666,164,442,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
74,250,chr1,19209195,19209733,3.24914,1.81779,408,538,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
78,269,chr1,20845083,20845332,2.78145,1.37086,188,249,ENSMUSG00000088858,,Gm24723,chr1,20842535,20842666,-1
82,270,chr1,20890253,20891006,4.71760,7.57913,508,753,ENSMUSG00000097934,,6720483E21Rik,chr1,20888650,20890473,-1
82,271,chr1,20890253,20891006,4.71760,7.57913,508,753,ENSMUSG00000025931,74229.0,Paqr8,chr1,20890606,20939650,1
84,274,chr1,20951594,20952511,10.92929,37.16544,276,917,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
89,275,chr1,21079409,21079902,7.99915,16.15939,180,493,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
89,276,chr1,21079409,21079902,7.99915,16.15939,180,493,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
91,305,chr1,23256213,23257215,13.14499,36.61534,409,1002,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
93,315,chr1,23921762,23922353,9.42636,23.63266,250,591,ENSMUSG00000026155,98366.0,Smap1,chr1,23844846,23922317,-1
94,316,chr1,24005156,24005604,7.98770,16.78884,329,448,ENSMUSG00000102495,,Gm26524,chr1,24005505,24005894,1
94,317,chr1,24005156,24005604,7.98770,16.78884,329,448,ENSMUSG00000026154,68002.0,Sdhaf4,chr1,23995939,24005656,-1
95,318,chr1,24099743,24100309,6.61373,11.26923,381,566,ENSMUSG00000026153,68187.0,Fam135a,chr1,24011093,24100341,-1
95,319,chr1,24099743,24100309,6.61373,11.26923,381,566,ENSMUSG00000102398,,Gm37580,chr1,24100625,24103424,1
96,332,chr1,24678683,24679342,5.62414,8.55877,182,659,ENSMUSG00000073725,68421.0,Lmbrd1,chr1,24678630,24766301,1
101,360,chr1,25829263,25831568,12.80924,35.96362,1240,2305,ENSMUSG00000033569,210933.0,Adgrb3,chr1,25067476,25829707,-1
101,361,chr1,25829263,25831568,12.80924,35.96362,1240,2305,ENSMUSG00000104516,,Gm9884,chr1,25830657,25831878,1
104,391,chr1,30872734,30874582,28.38460,115.15629,753,1848,ENSMUSG00000048874,213109.0,Phf3,chr1,30802339,30873921,-1
105,392,chr1,30948639,30950743,27.19710,107.33478,1411,2104,ENSMUSG00000026064,19243.0,Ptp4a1,chr1,30940302,30949309,-1
105,393,chr1,30948639,30950743,27.19710,107.33478,1411,2104,ENSMUSG00000117310,19243.0,Ptp4a1,chr1,30940302,30949770,-1
106,428,chr1,33214779,33215096,4.23873,4.50918,72,317,ENSMUSG00000104230,,Gm37591,chr1,33212774,33215475,-1
108,437,chr1,33669939,33670337,4.71760,7.57913,113,398,ENSMUSG00000026134,19076.0,Prim2,chr1,33453810,33669795,-1
108,438,chr1,33669939,33670337,4.71760,7.57913,113,398,ENSMUSG00000103746,,1700001G17Rik,chr1,33669824,33670712,1
109,437,chr1,33670392,33670688,3.16467,2.36421,148,296,ENSMUSG00000026134,19076.0,Prim2,chr1,33453810,33669795,-1
110,440,chr1,33719870,33720503,7.04347,14.07454,377,633,ENSMUSG00000004768,19335.0,Rab23,chr1,33719887,33742564,1
111,443,chr1,33813820,33814587,9.37636,28.51729,357,767,ENSMUSG00000042197,98403.0,Zfp451,chr1,33761545,33814595,-1
122,459,chr1,34432501,34432780,3.21779,1.81548,126,279,ENSMUSG00000092852,,Mir5103,chr1,34433121,34433199,-1
122,460,chr1,34432501,34432780,3.21779,1.81548,126,279,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
123,459,chr1,34432819,34433603,4.75485,9.28555,267,784,ENSMUSG00000092852,,Mir5103,chr1,34433121,34433199,-1
123,460,chr1,34432819,34433603,4.75485,9.28555,267,784,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
124,459,chr1,34434979,34435543,6.91134,14.64533,296,564,ENSMUSG00000092852,,Mir5103,chr1,34433121,34433199,-1
124,460,chr1,34434979,34435543,6.91134,14.64533,296,564,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
127,481,chr1,34801678,34802028,5.22831,6.86736,180,350,ENSMUSG00000118272,,Arhgef4,chr1,34801794,34801964,1
128,484,chr1,34842311,34843679,14.13457,41.64469,514,1368,ENSMUSG00000037503,214469.0,Fam168b,chr1,34813219,34843065,-1
146,504,chr1,36243815,36244292,5.56464,10.68140,292,477,ENSMUSG00000037470,320011.0,Uggt1,chr1,36140027,36244720,-1
147,509,chr1,36368755,36369119,3.62719,2.41670,239,364,ENSMUSG00000010453,226976.0,Kansl3,chr1,36335730,36369181,-1
