peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670298,3672665,26.01928,126.93141,1543,2367,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,19,chr1,4496254,4497964,9.00291,26.00418,1183,1710,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
2,20,chr1,4496254,4497964,9.00291,26.00418,1183,1710,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
4,26,chr1,4689128,4689596,3.96076,4.76768,170,468,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
5,32,chr1,4784638,4785686,18.35488,76.75753,563,1048,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
6,32,chr1,4785729,4786599,19.39636,90.97323,395,870,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
7,33,chr1,4807244,4809239,17.23326,70.04013,1048,1995,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
7,34,chr1,4807244,4809239,17.23326,70.04013,1048,1995,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
8,35,chr1,4856912,4857692,6.62158,18.99952,382,780,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
9,35,chr1,4857824,4859149,10.64932,57.07185,764,1325,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
12,47,chr1,5588259,5589041,6.39094,13.59947,226,782,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
13,51,chr1,5916650,5917799,9.38192,27.50602,370,1149,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
14,54,chr1,6213258,6216345,18.97671,86.13058,909,3087,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
15,54,chr1,6216462,6216694,2.55218,1.79168,17,232,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
16,55,chr1,6358732,6359719,20.97199,93.38067,523,987,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
