peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
7,19,chr1,4494374,4494993,3.83484,2.86988,277,619,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
8,19,chr1,4496911,4497245,3.84553,2.04194,155,334,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
8,20,chr1,4496911,4497245,3.84553,2.04194,155,334,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
9,20,chr1,4497357,4498744,4.98107,4.56310,579,1387,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
10,20,chr1,4499152,4499379,4.12942,2.63459,111,227,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
17,55,chr1,6359224,6359623,3.36230,1.82577,238,399,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
23,116,chr1,9964596,9964895,5.12302,5.23918,139,299,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
24,116,chr1,9966320,9966570,4.27136,3.24818,104,250,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
25,116,chr1,9966886,9968049,5.40690,5.93685,864,1163,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
25,117,chr1,9966886,9968049,5.40690,5.93685,864,1163,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
26,117,chr1,9968733,9969909,7.11022,9.62393,393,1176,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
28,151,chr1,12690463,12691220,4.83913,4.56310,582,757,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
35,156,chr1,13127980,13128185,3.53810,1.67930,122,205,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
36,156,chr1,13128804,13129400,3.91518,2.82931,295,596,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
37,156,chr1,13129452,13129926,5.13742,5.09091,273,474,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
43,180,chr1,14753428,14753713,4.55525,3.89487,118,285,ENSMUSG00000054493,,Gm9947,chr1,14752937,14776931,1
45,181,chr1,14756084,14756416,2.60935,0.67234,256,332,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
46,181,chr1,14756989,14757450,2.58989,0.52644,381,461,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
47,181,chr1,14757744,14758050,2.63989,0.46841,77,306,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
53,247,chr1,19100313,19100942,5.34990,6.28493,498,629,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
54,247,chr1,19100993,19102292,4.11942,4.33431,151,1299,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
55,247,chr1,19103325,19104846,5.54884,5.93685,1354,1521,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
55,248,chr1,19103325,19104846,5.54884,5.93685,1354,1521,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
56,248,chr1,19105071,19105326,3.06787,1.72615,157,255,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
57,248,chr1,19105478,19106052,4.97155,5.04455,407,574,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
58,248,chr1,19106342,19106659,3.41970,1.47687,188,317,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
66,250,chr1,19207133,19207915,5.50776,7.33333,597,782,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
95,251,chr1,19239939,19240717,5.26496,5.23918,483,778,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
96,251,chr1,19241291,19241733,2.87668,1.31063,282,442,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
97,251,chr1,19241915,19243057,5.23584,5.96118,511,1142,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
103,464,chr1,34457018,34457534,3.51406,1.47687,148,516,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
104,464,chr1,34457660,34458318,2.78108,0.89181,113,658,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
105,464,chr1,34458507,34458862,4.83913,4.56310,167,355,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
108,465,chr1,34472858,34473448,3.47635,1.78289,450,590,ENSMUSG00000100280,,Gm28417,chr1,34468834,34473148,-1
