peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
3,19,chr1,4494140,4495438,5.25184,25.13627,821,1298,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
4,19,chr1,4495633,4499463,5.70257,24.89111,3639,3830,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
4,20,chr1,4495633,4499463,5.70257,24.89111,3639,3830,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,20,chr1,4499704,4501591,6.29536,30.33220,781,1887,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
17,51,chr1,5915714,5918088,6.11809,28.71530,339,2374,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
18,51,chr1,5918714,5919290,2.94150,5.45802,126,576,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
19,55,chr1,6358725,6359049,3.11963,6.46095,105,324,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
20,55,chr1,6359238,6360358,3.83217,10.35188,727,1120,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
22,95,chr1,9299260,9299682,2.49616,3.20582,280,422,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
23,110,chr1,9796139,9796717,3.45904,8.56469,255,578,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
24,110,chr1,9796944,9797294,3.03056,5.95222,110,350,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
29,116,chr1,9964562,9964957,5.07911,19.65225,236,395,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
30,116,chr1,9965175,9965395,3.56497,9.17520,95,220,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
31,116,chr1,9965611,9965871,4.09937,12.19535,119,260,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
32,116,chr1,9966295,9969901,8.46365,50.63626,2886,3606,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
32,117,chr1,9966295,9969901,8.46365,50.63626,2886,3606,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
33,117,chr1,9970095,9970615,2.94150,5.45802,361,520,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
35,140,chr1,11412207,11412680,3.29777,7.51640,350,473,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
36,141,chr1,11415304,11415665,3.40743,8.50896,161,361,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
