peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,19,chr1,4496420,4496639,3.39032,3.40478,145,219,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
2,19,chr1,4496689,4497478,3.39032,3.40478,488,789,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
2,20,chr1,4496689,4497478,3.39032,3.40478,488,789,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
11,54,chr1,6215583,6216597,3.59037,4.51435,343,1014,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
13,60,chr1,6866170,6866785,4.06074,5.46672,358,615,ENSMUSG00000103329,,Gm42492,chr1,6861237,6864151,-1
15,67,chr1,7087764,7088442,3.39032,3.40478,175,678,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
20,95,chr1,9299031,9299641,3.23805,2.88152,332,610,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
21,101,chr1,9544680,9544989,3.06364,3.05895,127,309,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
22,102,chr1,9547452,9548727,3.35924,5.86828,789,1275,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
25,107,chr1,9699208,9699801,3.84712,4.43585,192,593,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
27,108,chr1,9745618,9746058,4.90098,9.92234,233,440,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
28,108,chr1,9746102,9747417,4.88337,10.68743,379,1315,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
31,114,chr1,9942087,9942646,3.90581,5.73268,300,559,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
32,114,chr1,9942767,9943103,2.89030,3.54977,128,336,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
35,119,chr1,10008850,10009407,3.84712,4.43585,368,557,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
36,121,chr1,10036846,10037336,4.03802,5.69674,178,490,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
37,122,chr1,10039053,10039439,3.10183,3.57513,197,386,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
38,122,chr1,10040483,10041348,5.52205,10.05183,376,865,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
41,131,chr1,10719560,10720016,2.59402,2.36579,191,456,ENSMUSG00000042501,329093.0,Cpa6,chr1,10324720,10719945,-1
58,151,chr1,12691722,12692142,2.62598,2.26781,370,420,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
