peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3672158,3672625,3.47746,9.59823,247,467,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,11,chr1,3672883,3673964,3.73827,11.35581,694,1081,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,19,chr1,4487097,4502974,13.56208,117.75760,3571,15877,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,20,chr1,4487097,4502974,13.56208,117.75760,3571,15877,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
11,47,chr1,5587534,5587849,2.17341,2.48284,188,315,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
12,47,chr1,5588665,5589922,4.13901,14.62705,569,1257,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
14,51,chr1,5915541,5918498,9.99769,72.69945,619,2957,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
15,51,chr1,5918736,5919378,2.00628,2.48281,382,642,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
16,55,chr1,6357307,6361137,4.60763,17.84760,2673,3830,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
17,57,chr1,6383816,6384724,2.86890,5.89650,699,908,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
19,58,chr1,6440842,6441130,2.86890,5.89650,172,288,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
20,58,chr1,6441572,6442732,3.47746,9.59823,660,1160,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
21,95,chr1,9297959,9301111,4.95538,20.68889,2065,3152,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
22,95,chr1,9301356,9301838,2.43422,3.64580,198,482,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
31,110,chr1,9795448,9797905,6.08555,30.73547,1052,2457,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
32,110,chr1,9798599,9800273,5.30312,23.65348,573,1674,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
35,116,chr1,9963865,9971617,10.83049,91.24226,5244,7752,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
35,117,chr1,9963865,9971617,10.83049,91.24226,5244,7752,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
36,126,chr1,10233649,10234432,2.95584,6.38865,189,783,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
37,126,chr1,10234623,10234985,3.30358,8.48125,200,362,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
38,136,chr1,10991849,10992249,2.43422,3.64580,177,400,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
39,136,chr1,10992401,10992907,2.52116,4.06660,303,506,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
45,140,chr1,11411799,11414288,5.99733,30.73831,1217,2489,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
46,140,chr1,11414556,11416424,6.17249,31.55428,455,1868,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
46,141,chr1,11414556,11416424,6.17249,31.55428,455,1868,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
68,150,chr1,12670818,12671288,3.21665,7.93970,144,470,ENSMUSG00000101314,,Gm29663,chr1,12670324,12671176,-1
69,150,chr1,12672512,12673076,2.60809,4.50283,132,564,ENSMUSG00000101314,,Gm29663,chr1,12670324,12671176,-1
70,150,chr1,12673228,12674339,3.99908,13.20598,764,1111,ENSMUSG00000101314,,Gm29663,chr1,12670324,12671176,-1
80,151,chr1,12689482,12691428,6.08555,30.73547,1526,1946,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
81,151,chr1,12691947,12693134,2.02806,2.88151,642,1187,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
102,152,chr1,12992732,12994407,3.88420,14.56404,602,1675,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
103,152,chr1,12994773,12995115,2.91083,6.23234,211,342,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
113,156,chr1,13121250,13131824,11.60005,96.63111,3079,10574,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
116,165,chr1,13375434,13376536,3.99908,13.20598,477,1102,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
116,166,chr1,13375434,13376536,3.99908,13.20598,477,1102,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
121,168,chr1,13591192,13591645,2.27189,3.44454,140,453,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
