peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
3,19,chr1,4496907,4497588,3.24701,3.71277,346,681,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,20,chr1,4496907,4497588,3.24701,3.71277,346,681,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
15,54,chr1,6215849,6216109,3.73589,5.70349,122,260,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
19,101,chr1,9544859,9545063,2.72476,2.71639,29,204,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
20,102,chr1,9547790,9548226,2.02270,1.02802,273,436,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
29,105,chr1,9630168,9630966,3.86237,5.31862,605,798,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
30,105,chr1,9631272,9631746,2.82804,2.71639,298,474,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
31,107,chr1,9701210,9701465,3.61622,4.75353,81,255,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
33,108,chr1,9745472,9747475,5.63737,16.25769,1462,2003,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
37,111,chr1,9804372,9804948,2.82804,2.71639,324,576,ENSMUSG00000046334,,Gm6195,chr1,9802197,9802553,-1
44,114,chr1,9942149,9942936,2.78343,3.56962,704,787,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
45,116,chr1,9966876,9967256,1.90733,1.02802,278,380,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
46,121,chr1,10036238,10036524,3.71386,5.03678,164,286,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
47,121,chr1,10036716,10037217,5.11353,10.03895,178,501,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
48,122,chr1,10038954,10039599,3.26133,3.57542,161,645,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
60,131,chr1,10719930,10720411,4.23158,6.46018,288,481,ENSMUSG00000042501,329093.0,Cpa6,chr1,10324720,10719945,-1
62,136,chr1,10992864,10993263,2.87780,2.30576,237,399,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
99,150,chr1,12670840,12671589,3.95971,6.27468,435,749,ENSMUSG00000101314,,Gm29663,chr1,12670324,12671176,-1
100,151,chr1,12689351,12690175,5.95457,12.97113,224,824,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
