peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3670240,3672708,53.03785,465.10513,1219,2468,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
5,19,chr1,4495968,4497959,14.75319,91.89505,1445,1991,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,20,chr1,4495968,4497959,14.75319,91.89505,1445,1991,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
7,26,chr1,4688980,4689554,15.70916,85.84939,296,574,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
8,30,chr1,4770069,4770331,4.78946,15.12334,112,262,ENSMUSG00000103922,,Gm6123,chr1,4771131,4772199,1
9,32,chr1,4784179,4786723,25.10542,177.33923,1003,2544,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
10,33,chr1,4807225,4809313,16.73065,133.46562,274,2088,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
10,34,chr1,4807225,4809313,16.73065,133.46562,274,2088,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
11,35,chr1,4856805,4857750,18.19773,106.64438,609,945,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
12,35,chr1,4857806,4859329,18.35959,144.41481,739,1523,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
16,47,chr1,5588117,5589236,19.44203,117.40437,509,1119,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
17,51,chr1,5916209,5918093,37.63976,294.83923,764,1884,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
20,54,chr1,6214679,6216509,23.95258,158.16084,659,1830,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
22,55,chr1,6358703,6359697,38.72852,306.38431,548,994,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
23,57,chr1,6382441,6383562,30.76452,354.69730,544,1121,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
24,58,chr1,6440956,6441833,37.17315,289.91867,507,877,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
27,67,chr1,7087894,7088788,20.69559,161.54941,579,894,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
28,67,chr1,7088990,7091191,17.49493,118.46028,607,2201,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
30,74,chr1,7396812,7397928,14.77594,78.32417,418,1116,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
31,74,chr1,7398063,7398948,39.97281,319.68015,471,885,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
34,95,chr1,9298617,9300341,13.35719,67.28804,919,1724,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
35,101,chr1,9544640,9545299,31.88492,235.33232,391,659,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
36,101,chr1,9545387,9549155,28.46313,201.28020,471,3768,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
36,102,chr1,9545387,9549155,28.46313,201.28020,471,3768,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
38,105,chr1,9629688,9630915,7.08859,25.01709,619,1227,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
39,107,chr1,9699220,9701708,43.00802,375.89981,740,2488,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
41,108,chr1,9743373,9745216,17.42006,100.03868,1661,1843,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
42,108,chr1,9745326,9748472,36.55656,334.29861,2176,3146,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
42,109,chr1,9745326,9748472,36.55656,334.29861,2176,3146,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
43,109,chr1,9748542,9749063,19.75310,120.12920,226,521,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
