peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670525,3672378,16.33529,87.75986,939,1853,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,19,chr1,4497000,4497668,5.17554,12.83214,160,668,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,20,chr1,4497000,4497668,5.17554,12.83214,160,668,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,32,chr1,4783985,4787054,29.43587,203.33081,1118,3069,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
6,33,chr1,4807233,4809316,31.89048,246.12105,370,2083,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
6,34,chr1,4807233,4809316,31.89048,246.12105,370,2083,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
8,35,chr1,4856360,4856577,3.71992,6.30876,132,217,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
9,35,chr1,4856733,4860007,30.11054,227.44496,752,3274,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
13,47,chr1,5588293,5588743,3.39645,5.04706,171,450,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
14,51,chr1,5916545,5917342,3.88165,6.96795,522,797,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
17,54,chr1,6214670,6216731,19.40391,145.09595,1026,2061,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
19,55,chr1,6358773,6359636,13.74752,67.73929,574,863,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
20,57,chr1,6382587,6383419,17.37292,98.23134,436,832,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
21,58,chr1,6441093,6441800,11.15975,49.02641,298,707,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
22,67,chr1,7087704,7090821,35.00536,279.48941,842,3117,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
24,74,chr1,7396697,7398954,49.49108,409.44891,1774,2257,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
25,95,chr1,9298653,9300050,4.36686,9.04995,699,1397,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
26,101,chr1,9544469,9548970,38.08474,349.14929,1106,4501,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
26,102,chr1,9544469,9548970,38.08474,349.14929,1106,4501,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
28,107,chr1,9699284,9701723,63.23860,563.89417,899,2439,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
30,108,chr1,9743360,9745216,18.27612,103.50499,500,1856,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
31,108,chr1,9745307,9748481,37.60990,332.52148,2130,3174,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
31,109,chr1,9745307,9748481,37.60990,332.52148,2130,3174,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
32,109,chr1,9748581,9749149,25.86706,194.66098,197,568,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
38,110,chr1,9796304,9796674,3.15871,4.26910,153,370,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
39,110,chr1,9796910,9801854,28.52367,223.07613,957,4944,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
43,113,chr1,9908371,9908969,10.02760,41.32420,303,598,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
45,114,chr1,9941396,9944816,29.22474,243.15324,2543,3420,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
45,115,chr1,9941396,9944816,29.22474,243.15324,2543,3420,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
46,116,chr1,9966827,9968813,27.81852,188.03922,1060,1986,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
46,117,chr1,9966827,9968813,27.81852,188.03922,1060,1986,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
47,119,chr1,10008714,10009722,10.83628,46.79293,320,1008,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
47,120,chr1,10008714,10009722,10.83628,46.79293,320,1008,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
48,121,chr1,10036235,10036552,3.95428,7.42183,185,317,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
49,121,chr1,10036722,10040933,34.80249,356.62845,2414,4211,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
49,122,chr1,10036722,10040933,34.80249,356.62845,2414,4211,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
50,126,chr1,10231110,10234086,33.92243,390.37524,1170,2976,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
52,136,chr1,10993214,10994595,14.26184,81.89975,585,1381,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
54,140,chr1,11413676,11414677,8.60301,34.74572,487,1001,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
54,141,chr1,11413676,11414677,8.60301,34.74572,487,1001,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
57,152,chr1,12990485,12992984,24.42207,156.75905,1750,2499,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
63,165,chr1,13371266,13375390,52.56406,443.20102,3030,4124,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
63,166,chr1,13371266,13375390,52.56406,443.20102,3030,4124,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
70,168,chr1,13586583,13590783,49.49108,409.44891,3620,4200,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
73,170,chr1,13657977,13661376,60.68867,550.39392,2309,3399,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
74,179,chr1,14309447,14310447,15.52661,81.37689,495,1000,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
76,181,chr1,14755101,14756239,5.66074,15.26544,516,1138,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
77,185,chr1,14918579,14919045,7.87660,27.82342,240,466,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
78,188,chr1,15286272,15287632,15.20314,78.85519,767,1360,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
80,195,chr1,15805015,15805547,19.89347,117.04925,348,532,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
81,195,chr1,15805647,15806898,20.10028,143.29364,769,1251,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
84,198,chr1,15892316,15893133,15.68835,82.64455,292,817,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
85,200,chr1,16092731,16093584,13.58579,66.52870,445,853,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
86,201,chr1,16102160,16107220,44.12864,491.13022,3973,5060,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
86,202,chr1,16102160,16107220,44.12864,491.13022,3973,5060,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
87,204,chr1,16228032,16228753,4.18629,8.86910,608,721,ENSMUSG00000100868,,Gm28095,chr1,16228506,16244062,1
88,206,chr1,16518322,16520299,36.71397,274.90176,1552,1977,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
89,207,chr1,16616472,16616930,4.04339,7.64493,343,458,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
90,207,chr1,16617158,16620000,47.15121,390.84406,1501,2842,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
90,208,chr1,16617158,16620000,47.15121,390.84406,1501,2842,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
91,209,chr1,16652206,16657961,29.78157,214.84555,4155,5755,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
