peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3670708,3671620,8.08630,17.03775,662,912,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,11,chr1,3671952,3672274,4.15318,4.43549,139,322,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
4,32,chr1,4785301,4785670,4.61588,5.20562,212,369,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
5,33,chr1,4807872,4808195,6.56799,11.16601,152,323,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
5,34,chr1,4807872,4808195,6.56799,11.16601,152,323,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
6,35,chr1,4857288,4857713,8.94312,26.45040,194,425,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
7,35,chr1,4857795,4858416,9.41358,22.66752,335,621,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
8,40,chr1,4970173,4970612,4.96557,6.65989,173,439,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
9,40,chr1,4970802,4971164,3.75853,3.73727,182,362,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
11,54,chr1,6214278,6215490,10.73720,49.98172,528,1212,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
17,67,chr1,7087849,7089707,24.13699,91.54985,727,1858,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
19,95,chr1,9299028,9299385,2.88067,1.22573,85,357,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
20,95,chr1,9299733,9299923,3.31447,1.77134,152,190,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
21,104,chr1,9601132,9601407,2.89565,1.48378,145,275,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
22,105,chr1,9630599,9630825,3.47255,2.32074,188,226,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
23,107,chr1,9699870,9700411,5.48348,7.61936,224,541,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
24,107,chr1,9700611,9701069,5.12897,7.44363,171,458,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
25,108,chr1,9747877,9748469,8.30320,17.03775,331,592,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
25,109,chr1,9747877,9748469,8.30320,17.03775,331,592,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
26,110,chr1,9798043,9798532,4.73866,5.88784,369,489,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
27,114,chr1,9942848,9944113,13.94263,41.36404,1047,1265,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
27,115,chr1,9942848,9944113,13.94263,41.36404,1047,1265,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
28,121,chr1,10037673,10038339,13.52081,43.36469,394,666,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
28,122,chr1,10037673,10038339,13.52081,43.36469,394,666,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
29,122,chr1,10039593,10040281,14.04759,44.48738,329,688,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
30,126,chr1,10232289,10233090,7.86940,16.02230,629,801,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
31,126,chr1,10233142,10233418,3.96517,3.73727,161,276,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
32,136,chr1,10993582,10993998,3.94004,3.72014,367,416,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
37,152,chr1,12991058,12992784,4.93381,6.65989,1184,1726,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
40,165,chr1,13372548,13374656,27.36131,112.73352,410,2108,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
40,166,chr1,13372548,13374656,27.36131,112.73352,410,2108,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
41,168,chr1,13589148,13589928,16.97925,55.78859,558,780,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
