peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3621816,3622016,3.17819,2.75581,141,200,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,10,chr1,3654164,3654434,3.36515,3.25506,143,270,ENSMUSG00000102331,,Gm19938,chr1,3647309,3658904,-1
2,11,chr1,3654164,3654434,3.36515,3.25506,143,270,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,10,chr1,3655699,3656179,3.92600,4.91237,102,480,ENSMUSG00000102331,,Gm19938,chr1,3647309,3658904,-1
3,11,chr1,3655699,3656179,3.92600,4.91237,102,480,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
4,14,chr1,3784299,3785217,3.95903,5.49960,189,918,ENSMUSG00000088333,,Gm27396,chr1,3783876,3783933,-1
5,15,chr1,3977095,3977812,4.29991,6.14792,384,717,ENSMUSG00000102343,,Gm37381,chr1,3905739,3986215,-1
8,16,chr1,4259385,4259674,2.99124,2.27707,160,289,ENSMUSG00000102948,,Gm6101,chr1,4256234,4260519,-1
15,42,chr1,5119558,5119955,3.20167,3.29587,157,397,ENSMUSG00000033793,108664.0,Atp6v1h,chr1,5070018,5162529,1
33,58,chr1,6429785,6430352,4.67381,7.48056,394,567,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
34,58,chr1,6437510,6438246,3.78689,4.91237,135,736,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
35,58,chr1,6438684,6438896,3.73905,4.33339,167,212,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
36,58,chr1,6439606,6440704,3.61476,4.33339,1008,1098,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
40,67,chr1,7094418,7094661,2.80429,1.82791,96,243,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
