peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
5,19,chr1,4494164,4495166,4.28294,9.35648,544,1002,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
6,19,chr1,4496779,4499033,4.45928,11.57679,1237,2254,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
6,20,chr1,4496779,4499033,4.45928,11.57679,1237,2254,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
15,51,chr1,5915501,5918114,6.08363,14.28225,991,2613,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
16,51,chr1,5918830,5919192,3.04368,2.44056,73,362,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
18,95,chr1,9298616,9300632,5.59360,14.54412,1635,2016,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
20,116,chr1,9967280,9968230,4.73254,8.43180,641,950,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
20,117,chr1,9967280,9968230,4.73254,8.43180,641,950,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
21,117,chr1,9968894,9969203,4.61526,9.67939,175,309,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
22,151,chr1,12690627,12690898,2.79835,2.29907,86,271,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
29,156,chr1,13126355,13126927,3.63692,5.36455,479,572,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
30,156,chr1,13127061,13127771,6.59028,16.66906,402,710,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
31,156,chr1,13127899,13129563,1.87695,0.61292,913,1664,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
32,156,chr1,13129623,13129998,6.25251,15.06796,180,375,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
37,179,chr1,14311146,14311446,3.63692,5.36455,105,300,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
48,181,chr1,14754967,14756463,3.91576,8.53791,265,1496,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
49,181,chr1,14756975,14757358,3.60002,5.05918,196,383,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
51,185,chr1,14918545,14918841,3.38145,3.48334,151,296,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
52,218,chr1,17098774,17099509,4.22588,6.46011,162,735,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
53,236,chr1,18057228,18059600,4.89479,11.01354,759,2372,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
53,237,chr1,18057228,18059600,4.89479,11.01354,759,2372,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
54,247,chr1,19100055,19100599,4.00558,6.49123,181,544,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
55,247,chr1,19102423,19104969,7.57772,22.15543,1856,2546,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
55,248,chr1,19102423,19104969,7.57772,22.15543,1856,2546,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
56,248,chr1,19105028,19106160,5.65940,13.63793,592,1132,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
57,248,chr1,19106285,19107023,4.62434,8.49399,277,738,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
63,250,chr1,19207036,19207950,8.80865,28.21064,731,914,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
87,251,chr1,19239903,19243128,5.01669,13.27206,1045,3225,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
