peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3669037,3672761,61.34470,420.87674,2210,3724,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,19,chr1,4496477,4497450,3.41639,4.91682,369,973,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
2,20,chr1,4496477,4497450,3.41639,4.91682,369,973,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
4,32,chr1,4784728,4786557,67.50040,475.98776,821,1829,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
5,33,chr1,4807204,4808848,60.92017,417.11646,833,1644,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
5,34,chr1,4807204,4808848,60.92017,417.11646,833,1644,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
6,35,chr1,4856882,4859205,58.58525,396.53604,1419,2323,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
11,47,chr1,5588070,5589177,15.31310,65.23756,560,1107,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
12,51,chr1,5916404,5918078,27.38224,143.32512,430,1674,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
13,54,chr1,6213156,6216374,66.65134,468.32547,1227,3218,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
14,55,chr1,6358825,6359635,20.80201,97.37719,426,810,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
15,57,chr1,6382580,6383538,33.32567,187.63596,428,958,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
16,58,chr1,6440950,6441866,24.62279,123.61378,448,916,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
21,67,chr1,7087921,7090713,42.02855,256.32602,1226,2792,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
23,74,chr1,7397060,7398800,39.69363,237.50424,723,1740,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
25,95,chr1,9298088,9300844,42.66534,261.50568,1480,2756,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
26,101,chr1,9544618,9546900,42.87761,263.23642,915,2282,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
26,102,chr1,9544618,9546900,42.87761,263.23642,915,2282,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
27,102,chr1,9546939,9547371,5.30663,10.46211,228,432,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
28,102,chr1,9547992,9548312,4.57454,9.10034,116,320,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
29,104,chr1,9601053,9602654,16.76897,71.24719,523,1601,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
31,107,chr1,9699104,9701415,57.94846,390.95374,995,2311,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
33,108,chr1,9744327,9745207,14.64631,58.26170,680,880,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
34,108,chr1,9745334,9746327,8.72174,29.48560,187,993,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
35,108,chr1,9746368,9748927,66.86360,470.23920,1567,2559,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
35,109,chr1,9746368,9748927,66.86360,470.23920,1567,2559,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
36,110,chr1,9797428,9798952,62.40603,430.30136,915,1524,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
38,113,chr1,9908364,9909138,12.09913,43.51780,369,774,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
39,114,chr1,9942188,9944811,75.14195,545.73914,1709,2623,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
39,115,chr1,9942188,9944811,75.14195,545.73914,1709,2623,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
40,116,chr1,9966886,9968547,16.55670,69.92273,1219,1661,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
40,117,chr1,9966886,9968547,16.55670,69.92273,1219,1661,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
