peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,7,chr1,3514652,3515019,11.56980,25.76888,179,367,ENSMUSG00000103201,,Gm37329,chr1,3512451,3514507,-1
1,19,chr1,4496604,4496906,4.70895,5.50564,217,302,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
1,20,chr1,4496604,4496906,4.70895,5.50564,217,302,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
2,19,chr1,4496964,4497254,5.62149,7.64491,129,290,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
2,20,chr1,4496964,4497254,5.62149,7.64491,129,290,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,32,chr1,4785326,4785671,5.24033,19.13647,269,345,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
6,32,chr1,4785774,4786243,16.59623,111.13470,162,469,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
8,33,chr1,4807393,4807798,7.86050,40.54217,251,405,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
8,34,chr1,4807393,4807798,7.86050,40.54217,251,405,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
9,33,chr1,4807877,4808089,5.06137,11.79622,88,212,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
9,34,chr1,4807877,4808089,5.06137,11.79622,88,212,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
10,35,chr1,4857208,4858880,20.53396,214.60353,303,1672,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
15,54,chr1,6214038,6215674,8.11389,64.64961,402,1636,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
16,67,chr1,7087898,7088782,15.28446,148.68980,704,884,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
17,67,chr1,7089069,7090001,25.77203,151.16399,224,932,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
18,74,chr1,7397075,7397459,9.18038,18.14909,227,384,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
19,101,chr1,9544885,9545175,4.44192,10.11351,197,290,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
20,101,chr1,9545461,9545976,4.14401,10.67556,89,515,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
20,102,chr1,9545461,9545976,4.14401,10.67556,89,515,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
21,107,chr1,9700754,9701191,6.43190,14.71272,127,437,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
22,108,chr1,9745410,9746253,7.20968,20.14814,380,843,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
23,108,chr1,9746622,9748478,17.69993,160.02620,1624,1856,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
23,109,chr1,9746622,9748478,17.69993,160.02620,1624,1856,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
24,109,chr1,9748663,9748906,10.82164,36.73782,122,243,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
34,110,chr1,9796361,9796762,2.61232,2.11653,84,401,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
35,110,chr1,9797452,9798066,15.93719,72.49964,410,614,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
36,110,chr1,9798189,9800130,32.67303,185.11380,481,1941,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
45,114,chr1,9942170,9942672,6.80868,13.77063,188,502,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
46,114,chr1,9942780,9943574,10.46000,48.79915,315,794,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
47,114,chr1,9943627,9944090,9.95946,39.96229,284,463,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
47,115,chr1,9943627,9944090,9.95946,39.96229,284,463,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
48,114,chr1,9944438,9944833,5.33346,8.19010,125,395,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
48,115,chr1,9944438,9944833,5.33346,8.19010,125,395,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
50,121,chr1,10037339,10038206,16.94170,197.17967,715,867,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
50,122,chr1,10037339,10038206,16.94170,197.17967,715,867,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
51,121,chr1,10038287,10038728,8.89097,32.86684,156,441,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
51,122,chr1,10038287,10038728,8.89097,32.86684,156,441,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
52,122,chr1,10038865,10039635,8.42125,18.84286,346,770,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
53,122,chr1,10039797,10040345,5.87251,19.83624,133,548,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
55,126,chr1,10232116,10232625,4.12813,6.42543,360,509,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
56,126,chr1,10232826,10233079,5.56244,13.82938,109,253,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
63,165,chr1,13373347,13374779,5.55118,14.17972,1019,1432,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
63,166,chr1,13373347,13374779,5.55118,14.17972,1019,1432,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
71,168,chr1,13588904,13589907,36.61759,235.29776,747,1003,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
75,170,chr1,13659506,13660511,9.74901,73.18989,856,1005,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
76,170,chr1,13660688,13661010,8.57015,43.34064,143,322,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
77,170,chr1,13661048,13661287,4.52842,6.97317,137,239,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
79,195,chr1,15804983,15805473,10.89625,54.63223,354,490,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
80,195,chr1,15805658,15806837,9.41508,73.77035,204,1179,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
82,202,chr1,16103011,16103487,4.73112,7.06317,125,476,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
83,201,chr1,16103651,16105255,19.33091,239.62761,1215,1604,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
