peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,14,chr1,3784742,3785095,2.51221,0.88985,184,353,ENSMUSG00000088333,,Gm27396,chr1,3783876,3783933,-1
3,42,chr1,5119062,5119926,3.57849,2.58426,376,864,ENSMUSG00000033793,108664.0,Atp6v1h,chr1,5070018,5162529,1
6,76,chr1,7495800,7496056,3.40974,2.05393,104,256,ENSMUSG00000103067,,Gm30414,chr1,7497968,7518149,1
7,140,chr1,11753967,11754523,3.68296,3.06821,53,556,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
9,152,chr1,12892541,12892755,3.24099,1.55754,172,214,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
11,260,chr1,20537367,20537688,3.24099,1.55754,171,321,ENSMUSG00000043760,241035.0,Pkhd1,chr1,20057779,20618064,-1
12,260,chr1,20537734,20538014,3.68296,3.06821,180,280,ENSMUSG00000043760,241035.0,Pkhd1,chr1,20057779,20618064,-1
15,303,chr1,23169055,23169403,3.91599,3.73550,238,348,ENSMUSG00000101227,,Gm29506,chr1,23048295,23235673,-1
17,314,chr1,23814273,23814637,3.57849,2.58426,117,364,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
20,321,chr1,24208423,24208782,3.24099,1.55754,216,359,ENSMUSG00000026147,12839.0,Col9a1,chr1,24177610,24252684,1
21,323,chr1,24398389,24398779,3.07224,1.55754,271,390,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
22,332,chr1,24716979,24717277,4.35606,5.86620,145,298,ENSMUSG00000073725,68421.0,Lmbrd1,chr1,24678630,24766301,1
29,411,chr1,32629872,32630221,3.51710,2.52496,200,349,ENSMUSG00000026058,170771.0,Khdrbs2,chr1,32172714,32658568,1
32,437,chr1,33640139,33640378,3.69034,3.08094,183,239,ENSMUSG00000026134,19076.0,Prim2,chr1,33453810,33669795,-1
33,460,chr1,34426460,34426759,3.84881,3.64788,128,299,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
