peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
2,11,chr1,3672135,3672596,2.92910,4.82246,212,461,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
7,19,chr1,4496849,4497286,3.13832,5.78331,243,437,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
7,20,chr1,4496849,4497286,3.13832,5.78331,243,437,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
15,40,chr1,4970670,4970892,2.71988,3.91820,109,222,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
22,47,chr1,5588195,5589225,3.03371,5.29481,607,1030,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
23,51,chr1,5916359,5917295,3.14546,5.99743,415,936,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
24,51,chr1,5917348,5918052,3.24293,6.28411,366,704,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
26,54,chr1,6215560,6216748,5.12592,17.21088,712,1188,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
27,55,chr1,6359080,6359625,2.57665,4.43870,389,545,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
28,58,chr1,6441089,6441513,3.03371,5.29481,118,424,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
38,68,chr1,7138182,7138682,2.28361,2.78390,437,500,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
46,95,chr1,9299139,9299763,3.55676,7.86312,268,624,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
47,102,chr1,9547492,9547822,3.13832,5.78331,162,330,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
48,102,chr1,9547952,9548946,4.60287,13.85209,126,994,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
53,104,chr1,9601213,9601767,3.45740,8.18444,350,554,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
58,105,chr1,9630714,9631265,2.87566,5.63285,421,551,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
62,107,chr1,9699442,9700163,2.88897,6.15954,337,721,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
66,108,chr1,9745431,9747654,6.17335,26.46552,1657,2223,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
68,110,chr1,9798408,9799082,2.61526,3.49265,247,674,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
72,114,chr1,9942183,9943212,4.81209,15.16937,869,1029,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
73,116,chr1,9967032,9968544,3.34754,6.79870,980,1512,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
73,117,chr1,9967032,9968544,3.34754,6.79870,980,1512,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
74,119,chr1,10008673,10009321,3.76598,8.97951,203,648,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
