peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
4,11,chr1,3670880,3671549,3.53037,10.18736,164,669,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
5,11,chr1,3671789,3672675,2.58340,5.05481,734,886,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
9,19,chr1,4496293,4497607,3.20930,9.66289,895,1314,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
9,20,chr1,4496293,4497607,3.20930,9.66289,895,1314,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
20,35,chr1,4856370,4856611,2.79368,4.22980,126,241,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
26,40,chr1,4970104,4970959,2.68728,3.69991,430,855,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
34,47,chr1,5588189,5589150,3.00033,5.06030,567,961,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
35,51,chr1,5916335,5917585,3.39228,7.12608,389,1250,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
39,54,chr1,6215489,6216910,3.70470,8.71159,220,1421,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
42,55,chr1,6358783,6359683,3.63275,8.48967,726,900,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
44,60,chr1,6866284,6866654,2.81659,4.75130,213,370,ENSMUSG00000103329,,Gm42492,chr1,6861237,6864151,-1
46,67,chr1,7087791,7088349,3.54193,8.18515,164,558,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
55,68,chr1,7137850,7138822,3.58095,8.63347,757,972,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
62,95,chr1,9299934,9300244,2.60902,3.27289,213,310,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
63,101,chr1,9544719,9545105,4.25254,11.66996,252,386,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
64,102,chr1,9547999,9549206,3.64820,10.89605,293,1207,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
72,107,chr1,9699403,9699732,4.01775,10.45456,188,329,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
73,107,chr1,9701173,9701394,2.39042,3.23704,108,221,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
76,108,chr1,9745455,9747531,3.36067,13.18269,1669,2076,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
88,114,chr1,9942156,9943225,2.76035,6.41529,387,1069,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
89,116,chr1,9967365,9968048,4.09602,11.05348,451,683,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
89,117,chr1,9967365,9968048,4.09602,11.05348,451,683,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
90,119,chr1,10008596,10009556,3.31339,6.55369,299,960,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
90,120,chr1,10008596,10009556,3.31339,6.55369,299,960,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
92,121,chr1,10036232,10036539,4.64386,14.21522,151,307,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
93,121,chr1,10036722,10037432,4.63516,17.39599,267,710,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
94,122,chr1,10038841,10039294,3.70813,13.30164,296,453,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
95,122,chr1,10039349,10039619,2.53523,3.87699,139,270,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
96,122,chr1,10040506,10041344,3.35598,7.62294,360,838,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
106,126,chr1,10233707,10234025,1.97988,2.16773,167,318,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
111,131,chr1,10719557,10720426,3.53261,8.21226,345,869,ENSMUSG00000042501,329093.0,Cpa6,chr1,10324720,10719945,-1
114,136,chr1,10993185,10993440,2.58863,3.42810,146,255,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
115,136,chr1,10993956,10994529,3.09092,6.15559,453,573,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
124,140,chr1,11414444,11414885,2.26410,3.00385,188,441,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
124,141,chr1,11414444,11414885,2.26410,3.00385,188,441,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
132,146,chr1,12424311,12424808,1.90743,2.04797,404,497,ENSMUSG00000098555,,Mir6341,chr1,12425986,12426106,1
136,151,chr1,12691705,12692354,4.06019,10.93989,227,649,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
158,152,chr1,12992763,12993362,3.15686,6.03927,111,599,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
161,156,chr1,13126417,13126691,2.52684,4.24198,121,274,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
162,156,chr1,13128240,13128692,2.26410,3.00385,166,452,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
177,158,chr1,13238563,13238830,2.28304,2.25185,142,267,ENSMUSG00000103495,,Gm37409,chr1,13234809,13236434,-1
190,160,chr1,13289828,13290590,3.18502,8.14296,614,762,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
191,160,chr1,13290777,13291189,2.90407,6.77304,238,412,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
192,160,chr1,13291391,13291893,3.82456,11.34445,319,502,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
193,160,chr1,13292097,13292530,2.87983,5.20424,121,433,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
194,160,chr1,13292643,13292935,2.97530,6.00795,128,292,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
198,161,chr1,13299137,13299495,3.99088,10.45456,141,358,ENSMUSG00000104170,,Gm37702,chr1,13297036,13298907,-1
199,161,chr1,13299549,13300307,1.98232,2.64803,504,758,ENSMUSG00000104170,,Gm37702,chr1,13297036,13298907,-1
200,161,chr1,13300408,13301290,3.38509,10.16527,418,882,ENSMUSG00000104170,,Gm37702,chr1,13297036,13298907,-1
219,162,chr1,13336437,13336811,2.26410,3.00385,221,374,ENSMUSG00000087782,,Gm23169,chr1,13334498,13334609,-1
222,163,chr1,13347025,13347889,3.76221,11.34445,545,864,ENSMUSG00000103085,,Gm38120,chr1,13343563,13348204,-1
223,163,chr1,13348015,13348351,2.84011,4.58985,83,336,ENSMUSG00000103085,,Gm38120,chr1,13343563,13348204,-1
226,164,chr1,13356439,13356857,2.81480,4.29112,306,418,ENSMUSG00000102664,,Gm38380,chr1,13354483,13356730,-1
227,164,chr1,13358870,13359234,2.43678,3.74171,169,364,ENSMUSG00000102664,,Gm38380,chr1,13354483,13356730,-1
237,165,chr1,13374654,13374879,2.71886,4.22980,84,225,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
237,166,chr1,13374654,13374879,2.71886,4.22980,84,225,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
249,168,chr1,13590125,13590595,2.40367,3.10220,171,470,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
257,177,chr1,14181680,14181918,2.69194,4.14898,97,238,ENSMUSG00000095853,,Gm22616,chr1,14182578,14182677,1
265,181,chr1,14755024,14756178,4.24951,12.93551,167,1154,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
266,185,chr1,14918363,14918748,2.52696,3.27289,200,385,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
267,188,chr1,15286393,15286599,3.00033,5.06030,130,206,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
268,188,chr1,15287291,15287754,2.51513,4.01218,127,463,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
272,195,chr1,15804999,15805424,3.78296,9.27625,284,425,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
274,198,chr1,15892233,15892538,3.70470,8.71159,169,305,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
275,198,chr1,15892753,15893146,3.54817,7.61256,277,393,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
278,200,chr1,16092759,16093631,3.01097,7.68443,150,872,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
