peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3670502,3671413,3.84366,11.21996,727,911,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,11,chr1,3672021,3672584,2.97093,5.85136,423,563,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
5,19,chr1,4496489,4497738,3.32002,7.86385,450,1249,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,20,chr1,4496489,4497738,3.32002,7.86385,450,1249,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
9,25,chr1,4608888,4609142,2.88366,5.37851,114,254,ENSMUSG00000102735,,Gm7369,chr1,4610471,4611406,1
20,40,chr1,4969485,4970143,2.88366,5.37851,167,658,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
21,40,chr1,4970254,4971061,2.40300,3.36651,479,807,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
28,47,chr1,5588428,5589210,3.66912,10.05757,428,782,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
29,51,chr1,5916525,5917765,3.66912,10.05757,635,1240,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
31,54,chr1,6215506,6216644,3.94170,13.69787,721,1138,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
32,55,chr1,6358783,6359609,2.97093,5.85136,184,826,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
36,67,chr1,7087826,7088304,3.49457,8.93793,134,478,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
43,68,chr1,7138059,7138843,3.36287,8.92592,608,784,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
52,95,chr1,9299080,9300238,4.71639,16.88435,394,1158,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
53,101,chr1,9544733,9545055,3.10419,7.88792,163,322,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
54,102,chr1,9546492,9546795,2.97093,5.85136,139,303,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
55,102,chr1,9546995,9548988,5.32730,21.78047,1175,1993,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
61,105,chr1,9630234,9630716,2.70911,4.47430,82,482,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
62,105,chr1,9631550,9631838,2.12828,2.59595,168,288,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
65,107,chr1,9699280,9700064,2.81828,7.07456,266,784,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
69,108,chr1,9745401,9747661,7.27041,48.57523,1679,2260,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
74,111,chr1,9804122,9806430,4.09535,13.29006,1859,2308,ENSMUSG00000046334,,Gm6195,chr1,9802197,9802553,-1
84,114,chr1,9942157,9943327,2.35785,5.89680,347,1170,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
85,116,chr1,9967802,9968459,3.49457,8.93793,476,657,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
85,117,chr1,9967802,9968459,3.49457,8.93793,476,657,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
87,119,chr1,10008573,10009588,3.92485,12.07544,287,1015,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
87,120,chr1,10008573,10009588,3.92485,12.07544,287,1015,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
89,121,chr1,10035650,10036548,4.10548,13.03594,792,898,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
90,121,chr1,10036781,10037214,5.76283,25.49689,169,433,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
91,122,chr1,10038926,10039620,3.72289,11.97514,161,694,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
92,122,chr1,10040459,10041347,4.01821,12.42043,416,888,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
112,130,chr1,10693990,10694663,2.79639,4.92007,521,673,ENSMUSG00000081417,,Gm15603,chr1,10695123,10695614,1
113,130,chr1,10695049,10695596,2.36002,2.84174,399,547,ENSMUSG00000081417,,Gm15603,chr1,10695123,10695614,1
116,131,chr1,10719260,10721359,3.08814,8.41733,639,2099,ENSMUSG00000042501,329093.0,Cpa6,chr1,10324720,10719945,-1
122,136,chr1,10990669,10991155,2.44760,4.04555,149,486,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
136,140,chr1,11414496,11414970,2.53457,3.62806,326,474,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
136,141,chr1,11414496,11414970,2.53457,3.62806,326,474,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
189,150,chr1,12670758,12671321,3.93094,11.81623,349,563,ENSMUSG00000101314,,Gm29663,chr1,12670324,12671176,-1
190,150,chr1,12671449,12671680,3.15765,7.08821,76,231,ENSMUSG00000101314,,Gm29663,chr1,12670324,12671176,-1
191,151,chr1,12689394,12690007,4.36730,14.90500,174,613,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
192,151,chr1,12690100,12691234,4.45393,14.90500,713,1134,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
193,151,chr1,12691688,12692260,3.14548,6.83438,157,572,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
229,152,chr1,12992728,12993211,2.37034,4.16122,154,483,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
236,156,chr1,13126285,13127306,3.49457,8.93793,438,1021,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
237,156,chr1,13127948,13129025,4.54185,15.55511,326,1077,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
248,158,chr1,13238683,13239084,2.44729,3.22733,103,401,ENSMUSG00000103495,,Gm37409,chr1,13234809,13236434,-1
254,159,chr1,13260525,13260964,2.97093,5.85136,286,439,ENSMUSG00000099183,,Gm27881,chr1,13262198,13262279,1
255,159,chr1,13262161,13262831,2.88268,6.45291,237,670,ENSMUSG00000099183,,Gm27881,chr1,13262198,13262279,1
258,160,chr1,13289409,13290109,2.43966,3.89471,546,700,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
259,160,chr1,13290169,13290591,2.79639,4.92007,242,422,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
260,160,chr1,13290849,13291937,3.45818,11.51972,903,1088,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
261,160,chr1,13292017,13292645,3.69206,10.64429,256,628,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
265,161,chr1,13299596,13300259,2.12392,3.70530,561,663,ENSMUSG00000104170,,Gm37702,chr1,13297036,13298907,-1
266,161,chr1,13300676,13301480,2.88268,6.45291,297,804,ENSMUSG00000104170,,Gm37702,chr1,13297036,13298907,-1
277,162,chr1,13333242,13334338,2.73501,5.55235,185,1096,ENSMUSG00000087782,,Gm23169,chr1,13334498,13334609,-1
278,162,chr1,13335930,13336261,2.70911,4.47430,278,331,ENSMUSG00000087782,,Gm23169,chr1,13334498,13334609,-1
279,162,chr1,13336436,13336860,3.75639,10.63430,161,424,ENSMUSG00000087782,,Gm23169,chr1,13334498,13334609,-1
302,168,chr1,13590179,13590643,2.79639,4.92007,151,464,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
303,169,chr1,13643138,13643524,2.51350,4.29002,173,386,ENSMUSG00000102982,,Gm38319,chr1,13641483,13642748,-1
307,170,chr1,13660004,13660330,2.97093,5.85136,201,326,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
308,171,chr1,13668606,13669161,3.05821,6.33652,393,555,ENSMUSG00000067813,381246.0,Xkr9,chr1,13668771,13701723,1
313,173,chr1,13787856,13788374,3.49863,9.20002,217,518,ENSMUSG00000097711,,Gm5523,chr1,13785883,13786879,-1
326,175,chr1,13930972,13931272,3.55868,9.43418,148,300,ENSMUSG00000089358,,Gm25491,chr1,13932378,13932685,1
