peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670286,3672740,49.71333,315.85406,1147,2454,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,32,chr1,4785338,4786286,10.03426,41.91978,242,948,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
3,33,chr1,4807386,4808224,9.72069,39.79170,224,838,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
3,34,chr1,4807386,4808224,9.72069,39.79170,224,838,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
4,35,chr1,4857033,4858707,12.85690,46.85332,984,1674,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
9,54,chr1,6214170,6215787,35.99931,205.36470,646,1617,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
10,57,chr1,6382891,6383180,6.85701,16.51540,166,289,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
17,67,chr1,7087890,7089887,46.70006,337.53683,715,1997,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
18,68,chr1,7138516,7138749,3.64844,5.13225,74,233,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
19,74,chr1,7397640,7397927,6.89855,22.07902,129,287,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
20,74,chr1,7398132,7398757,9.56390,38.74005,303,625,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
23,95,chr1,9298415,9300604,20.35675,92.84717,780,2189,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
26,104,chr1,9600937,9602428,6.89855,22.07902,631,1491,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
28,107,chr1,9700482,9700920,4.71419,7.97266,102,438,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
29,108,chr1,9747543,9748455,23.78526,115.90081,674,912,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
29,109,chr1,9747543,9748455,23.78526,115.90081,674,912,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
30,110,chr1,9797903,9798437,5.57132,11.19031,338,534,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
31,114,chr1,9943657,9944167,15.42827,61.82324,259,510,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
31,115,chr1,9943657,9944167,15.42827,61.82324,259,510,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
32,114,chr1,9944294,9944579,3.64279,4.42494,128,285,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
32,115,chr1,9944294,9944579,3.64279,4.42494,128,285,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
33,121,chr1,10037372,10038303,34.28505,192.22385,680,931,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
33,122,chr1,10037372,10038303,34.28505,192.22385,680,931,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
34,122,chr1,10039374,10040372,21.64244,101.36477,552,998,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
35,126,chr1,10231571,10233485,29.99942,160.15172,1285,1914,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
39,136,chr1,10993531,10994030,3.13571,3.98037,177,499,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
41,140,chr1,11413968,11414654,4.38999,9.06298,403,686,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
41,141,chr1,11413968,11414654,4.38999,9.06298,403,686,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
49,152,chr1,12990444,12993276,31.71367,172.84102,2160,2832,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
57,160,chr1,13290249,13290632,3.44928,5.13225,208,383,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
58,165,chr1,13372028,13374760,35.57074,202.06471,948,2732,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
58,166,chr1,13372028,13374760,35.57074,202.06471,948,2732,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
60,168,chr1,13589146,13589977,31.92796,174.44061,489,831,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
61,177,chr1,14181257,14182082,7.92842,21.33481,576,825,ENSMUSG00000095853,,Gm22616,chr1,14182578,14182677,1
62,179,chr1,14309447,14310222,11.12775,43.14642,435,775,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
63,188,chr1,15286017,15288194,26.81971,146.92261,1005,2177,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
66,195,chr1,15805140,15806444,25.49951,127.81330,647,1304,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
67,200,chr1,16092844,16093548,5.35704,10.35804,494,704,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
68,201,chr1,16103843,16106375,42.48881,342.98676,1041,2532,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
68,202,chr1,16103843,16106375,42.48881,342.98676,1041,2532,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
69,204,chr1,16227845,16228291,2.73633,2.28143,283,446,ENSMUSG00000100868,,Gm28095,chr1,16228506,16244062,1
71,206,chr1,16518528,16520329,41.99919,252.61136,1361,1801,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
72,206,chr1,16520380,16520744,3.84989,5.58093,217,364,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
73,207,chr1,16618522,16619375,15.85684,64.40703,579,853,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
73,208,chr1,16618522,16619375,15.85684,64.40703,579,853,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
74,208,chr1,16619442,16619935,6.36818,14.55040,249,493,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
75,209,chr1,16656291,16657947,21.38593,116.04779,474,1656,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
75,210,chr1,16656291,16657947,21.38593,116.04779,474,1656,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
76,211,chr1,16664945,16665726,17.78537,76.31506,365,781,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
76,212,chr1,16664945,16665726,17.78537,76.31506,365,781,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
77,213,chr1,16688404,16688753,4.92848,8.74948,170,349,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
78,220,chr1,17145337,17145714,5.80106,15.99716,203,377,ENSMUSG00000025777,14545.0,Gdap1,chr1,17145362,17164271,1
79,236,chr1,18058190,18058932,6.20235,15.83261,450,742,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
79,237,chr1,18058190,18058932,6.20235,15.83261,450,742,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
86,247,chr1,19100980,19101551,2.74933,3.07962,400,571,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
87,247,chr1,19101689,19102334,3.64279,4.42494,380,645,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
88,247,chr1,19102377,19109586,18.47580,86.37673,3221,7209,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
88,248,chr1,19102377,19109586,18.47580,86.37673,3221,7209,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
90,250,chr1,19207023,19207932,8.14270,22.33629,739,909,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
91,250,chr1,19208677,19213716,16.77603,93.08721,1313,5039,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
103,251,chr1,19240134,19240799,3.02426,4.08729,613,665,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
104,251,chr1,19240842,19242292,5.57132,11.19031,720,1450,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
122,270,chr1,20890060,20891632,10.07123,31.83506,589,1572,ENSMUSG00000097934,,6720483E21Rik,chr1,20888650,20890473,-1
122,271,chr1,20890060,20891632,10.07123,31.83506,589,1572,ENSMUSG00000025931,74229.0,Paqr8,chr1,20890606,20939650,1
127,274,chr1,20950978,20951431,6.90775,18.90119,306,453,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
128,274,chr1,20951545,20952452,14.13647,62.99698,297,907,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
132,275,chr1,21079379,21079903,6.58498,20.28989,277,524,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
132,276,chr1,21079379,21079903,6.58498,20.28989,277,524,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
133,278,chr1,21218540,21219021,7.36891,24.83520,160,481,ENSMUSG00000025933,75712.0,Tmem14a,chr1,21218575,21230167,1
136,300,chr1,22805292,22806942,23.35669,112.96078,727,1650,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
137,305,chr1,23255783,23256114,5.99988,12.90246,178,331,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
138,305,chr1,23256238,23257100,21.85672,102.79987,173,862,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
