peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,15,chr1,3977076,3977624,3.74952,3.81831,156,548,ENSMUSG00000102343,,Gm37381,chr1,3905739,3986215,-1
6,42,chr1,5119413,5119803,2.90284,1.99207,294,390,ENSMUSG00000033793,108664.0,Atp6v1h,chr1,5070018,5162529,1
14,58,chr1,6429697,6430261,3.23405,2.20959,342,564,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
15,58,chr1,6439859,6440145,3.63830,3.22240,140,286,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
16,59,chr1,6607175,6607401,3.23405,2.20959,87,226,ENSMUSG00000033740,240690.0,St18,chr1,6487231,6860940,1
24,131,chr1,10668487,10668880,3.03192,1.75536,109,393,ENSMUSG00000042501,329093.0,Cpa6,chr1,10324720,10719945,-1
26,152,chr1,12892489,12892905,2.74157,1.61265,199,416,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
30,206,chr1,16474923,16475386,3.84043,3.78039,128,463,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
37,296,chr1,21755677,21755933,3.23405,2.20959,141,256,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
38,300,chr1,22565348,22565758,2.41174,0.95638,295,410,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
52,460,chr1,34430297,34430524,3.64114,3.81831,104,227,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
55,486,chr1,34929840,34930953,3.56204,3.28317,659,1113,ENSMUSG00000103716,,Gm19430,chr1,34928509,34930645,1
62,524,chr1,36623622,36624094,3.18709,2.30028,127,472,ENSMUSG00000046337,381337.0,Fam178b,chr1,36562692,36683183,-1
63,537,chr1,37160834,37161278,4.24469,4.99320,148,444,ENSMUSG00000050122,70853.0,Vwa3b,chr1,37026596,37187613,1
64,544,chr1,37424145,37424629,4.04256,4.37464,142,484,ENSMUSG00000026112,76178.0,Coa5,chr1,37417084,37430103,-1
65,548,chr1,37506403,37507265,3.84043,3.78039,699,862,ENSMUSG00000026110,269181.0,Mgat4a,chr1,37439340,37541016,-1
66,552,chr1,37705302,37705639,3.84043,3.78039,166,337,ENSMUSG00000026090,72097.0,2010300C02Rik,chr1,37611677,37720085,-1
67,554,chr1,37772292,37772568,4.04256,4.37464,120,276,ENSMUSG00000060771,211484.0,Tsga10,chr1,37754776,37866429,-1
71,584,chr1,39258705,39259156,3.70919,4.38062,149,451,ENSMUSG00000026077,18143.0,Npas2,chr1,39193731,39363236,1
72,592,chr1,39540477,39540829,3.43617,2.70025,248,352,ENSMUSG00000003135,52846.0,Cnot11,chr1,39534992,39546889,1
73,599,chr1,39621219,39621515,3.29437,2.80380,152,296,ENSMUSG00000050967,263764.0,Creg2,chr1,39618406,39651474,-1
76,620,chr1,40778781,40780051,3.29437,2.80380,63,1270,ENSMUSG00000103270,,Gm37915,chr1,40771385,40785343,1
76,621,chr1,40778781,40780051,3.29437,2.80380,63,1270,ENSMUSG00000041945,211798.0,Mfsd9,chr1,40772038,40790687,-1
79,631,chr1,42275493,42275735,3.23405,2.20959,130,242,ENSMUSG00000101299,,Gm28175,chr1,42261855,42304412,1
80,631,chr1,42286490,42286902,3.63830,3.22240,172,412,ENSMUSG00000101299,,Gm28175,chr1,42261855,42304412,1
82,642,chr1,42985935,42986370,3.84043,3.78039,140,435,ENSMUSG00000041907,93690.0,Gpr45,chr1,42952872,43035456,1
83,642,chr1,43022326,43022567,3.23405,2.20959,127,241,ENSMUSG00000041907,93690.0,Gpr45,chr1,42952872,43035456,1
94,735,chr1,48881397,48881749,2.74969,29.42272,182,352,ENSMUSG00000097883,,Gm8357,chr1,48881713,48882723,1
101,751,chr1,51088923,51089210,3.18709,2.30028,172,287,ENSMUSG00000026109,56363.0,Tmeff2,chr1,50900647,51187270,1
102,783,chr1,52545909,52546155,3.03192,1.75536,83,246,ENSMUSG00000100120,,Gm553,chr1,52522902,52582679,1
103,794,chr1,52938939,52939264,3.23405,2.20959,154,325,ENSMUSG00000043629,67080.0,1700019D03Rik,chr1,52922324,53020179,-1
104,803,chr1,53341701,53342388,3.63830,3.22240,609,687,ENSMUSG00000101838,,Gm18800,chr1,53326206,53342186,-1
105,811,chr1,53613393,53613848,3.18709,2.30028,173,455,ENSMUSG00000096141,627872.0,Dnah7a,chr1,53397006,53706784,-1
106,829,chr1,54770483,54771114,3.63830,3.22240,144,631,ENSMUSG00000052331,329154.0,Ankrd44,chr1,54645340,54926387,-1
108,847,chr1,55472299,55472692,3.43617,2.70025,72,393,ENSMUSG00000038349,227120.0,Plcl1,chr1,55405921,55754285,1
111,889,chr1,58507262,58507576,3.06411,2.40390,151,314,ENSMUSG00000026037,18393.0,Orc2,chr1,58462771,58505109,-1
111,890,chr1,58507262,58507576,3.06411,2.40390,151,314,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
112,890,chr1,58511317,58511927,3.63830,3.22240,124,610,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
113,890,chr1,58513200,58513578,4.24469,4.99320,158,378,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
114,890,chr1,58515700,58516528,3.43617,2.70025,528,828,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
116,940,chr1,60114589,60114876,2.41903,0.95162,76,287,ENSMUSG00000026017,241066.0,Carf,chr1,60098247,60153953,1
116,942,chr1,60114589,60114876,2.41903,0.95162,76,287,ENSMUSG00000082609,,Gm15464,chr1,60117255,60117685,1
117,950,chr1,60546819,60547248,3.23405,2.20959,296,429,ENSMUSG00000026014,77300.0,Raph1,chr1,60482292,60567104,-1
118,950,chr1,60560725,60561012,3.81146,3.94477,125,287,ENSMUSG00000026014,77300.0,Raph1,chr1,60482292,60567104,-1
122,980,chr1,61864177,61864569,2.82979,1.33710,54,392,ENSMUSG00000052062,72823.0,Pard3b,chr1,61638824,62642284,1
123,980,chr1,61944257,61944668,4.04256,4.37464,142,411,ENSMUSG00000052062,72823.0,Pard3b,chr1,61638824,62642284,1
124,980,chr1,62066712,62067461,2.77420,1.52790,94,749,ENSMUSG00000052062,72823.0,Pard3b,chr1,61638824,62642284,1
126,1013,chr1,63200127,63200561,3.56929,3.29369,317,434,ENSMUSG00000086730,,Platr12,chr1,63200313,63207967,1
126,1014,chr1,63200127,63200561,3.56929,3.29369,317,434,ENSMUSG00000046856,241070.0,Gpr1,chr1,63182691,63214543,-1
127,1017,chr1,63285072,63285357,3.63830,3.22240,157,285,ENSMUSG00000027520,73884.0,Zdbf2,chr1,63273265,63314576,1
