peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
2,140,chr1,11499694,11499980,3.26417,2.60704,155,286,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
5,206,chr1,16348168,16348479,2.83210,1.40294,100,311,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
9,460,chr1,34431986,34432343,2.56237,0.74134,179,357,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
10,486,chr1,34929639,34930015,3.17111,2.40946,203,376,ENSMUSG00000103716,,Gm19430,chr1,34928509,34930645,1
13,642,chr1,43022838,43023283,3.26417,2.60704,124,445,ENSMUSG00000041907,93690.0,Gpr45,chr1,42952872,43035456,1
18,735,chr1,48881399,48881753,1.87991,9.16035,182,354,ENSMUSG00000097883,,Gm8357,chr1,48881713,48882723,1
19,889,chr1,58507431,58508505,3.93330,6.68411,205,1074,ENSMUSG00000026037,18393.0,Orc2,chr1,58462771,58505109,-1
19,890,chr1,58507431,58508505,3.93330,6.68411,205,1074,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
20,890,chr1,58508700,58509168,2.56744,1.14322,138,468,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
21,945,chr1,60349506,60350013,2.74139,1.47839,218,507,ENSMUSG00000049439,77951.0,Cyp20a1,chr1,60343323,60388060,1
25,1094,chr1,66856675,66857013,2.62220,1.14358,163,338,ENSMUSG00000089420,,Gm27934,chr1,66856641,66856703,1
25,1095,chr1,66856675,66857013,2.62220,1.14358,163,338,ENSMUSG00000026003,11363.0,Acadl,chr1,66830839,66863277,-1
26,1139,chr1,71267820,71268057,2.89536,1.52815,152,237,ENSMUSG00000050296,74591.0,Abca12,chr1,71242276,71414910,-1
30,1526,chr1,88014663,88015025,3.03323,1.94548,183,362,ENSMUSG00000095942,,Gm25198,chr1,88015924,88016033,1
31,1530,chr1,88211453,88212240,2.40310,7.57468,692,787,ENSMUSG00000090165,394430.0,Ugt1a10,chr1,88055388,88219004,1
31,1532,chr1,88211453,88212240,2.40310,7.57468,692,787,ENSMUSG00000090175,394434.0,Ugt1a9,chr1,88070800,88218997,1
