peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3669770,3672668,17.51568,70.53739,1595,2898,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,32,chr1,4785100,4786286,12.99577,45.21040,471,1186,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
3,33,chr1,4807389,4808418,13.47152,52.71103,237,1029,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
3,34,chr1,4807389,4808418,13.47152,52.71103,237,1029,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
4,35,chr1,4857085,4857685,5.13506,8.97610,321,600,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
5,35,chr1,4857731,4859030,17.31917,69.21207,412,1299,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
8,47,chr1,5588153,5589190,3.42914,5.34531,411,1037,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
9,51,chr1,5916570,5917862,3.55553,5.34531,378,1292,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
10,54,chr1,6214008,6215969,22.62515,102.31208,1007,1961,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
11,55,chr1,6358834,6359437,4.54551,6.64033,476,603,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
12,57,chr1,6382779,6383330,10.24452,31.35543,335,551,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
13,58,chr1,6441093,6441839,9.45845,27.01270,283,746,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
15,67,chr1,7087903,7090002,8.32834,46.16204,638,2099,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
17,74,chr1,7397644,7397945,5.13506,8.97610,163,301,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
18,74,chr1,7398270,7398740,6.11765,12.34675,201,470,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
19,95,chr1,9298425,9300480,9.72058,32.26587,877,2055,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
20,101,chr1,9545449,9546121,5.68556,11.85820,179,672,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
20,102,chr1,9545449,9546121,5.68556,11.85820,179,672,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
21,104,chr1,9601222,9602490,6.58903,21.84149,390,1268,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
22,107,chr1,9699600,9701145,7.49327,17.87032,486,1545,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
23,108,chr1,9745640,9746003,3.95595,4.49083,120,363,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
24,108,chr1,9747106,9748455,9.87531,44.04405,869,1349,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
24,109,chr1,9747106,9748455,9.87531,44.04405,869,1349,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
25,110,chr1,9797718,9798793,12.99577,45.21040,557,1075,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
27,113,chr1,9908641,9909021,3.95595,4.49083,196,380,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
28,114,chr1,9942503,9944660,22.42863,100.87692,1381,2157,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
28,115,chr1,9942503,9944660,22.42863,100.87692,1381,2157,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
29,119,chr1,10008738,10009387,5.52809,9.78564,264,649,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
30,121,chr1,10037138,10038216,12.10265,45.56608,895,1078,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
30,122,chr1,10037138,10038216,12.10265,45.56608,895,1078,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
31,121,chr1,10038298,10039275,5.74532,11.11160,628,977,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
31,122,chr1,10038298,10039275,5.74532,11.11160,628,977,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
32,122,chr1,10039392,10040395,13.23901,48.03999,595,1003,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
33,126,chr1,10231320,10233913,20.65997,90.98112,1508,2593,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
34,136,chr1,10993305,10994331,10.60380,33.05585,383,1026,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
35,140,chr1,11413727,11414892,8.03351,21.27596,749,1165,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
35,141,chr1,11413727,11414892,8.03351,21.27596,749,1165,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
36,151,chr1,12692063,12692357,3.95595,4.49083,125,294,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
39,152,chr1,12990398,12993252,15.06411,62.56149,261,2854,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
41,165,chr1,13372615,13374805,21.05301,92.38435,859,2190,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
41,166,chr1,13372615,13374805,21.05301,92.38435,859,2190,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
43,168,chr1,13588893,13589878,20.26693,88.20544,643,985,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
44,168,chr1,13590034,13590323,5.13506,8.97610,139,289,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
45,170,chr1,13660042,13660884,6.56464,14.74045,361,842,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
46,179,chr1,14309325,14310217,9.45673,34.94098,662,892,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
48,181,chr1,14755008,14756236,9.75550,31.07288,781,1228,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
49,181,chr1,14757866,14758157,3.56292,3.82228,103,291,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
50,188,chr1,15286148,15288281,15.77192,66.34853,636,2133,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
51,195,chr1,15805138,15806521,18.49827,77.23875,705,1383,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
52,198,chr1,15892393,15893076,8.08283,20.81960,404,683,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
53,200,chr1,16092797,16093623,12.40622,41.63230,251,826,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
54,201,chr1,16103144,16106643,18.89131,79.93977,841,3499,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
54,202,chr1,16103144,16106643,18.89131,79.93977,841,3499,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
56,206,chr1,16519710,16520378,18.49827,77.23875,198,668,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
