peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,19,chr1,4496442,4496964,1.94073,2.05638,362,522,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
1,20,chr1,4496442,4496964,1.94073,2.05638,362,522,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
2,20,chr1,4497151,4497598,2.62464,4.02934,303,447,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,30,chr1,4768611,4769017,2.73251,4.48326,112,406,ENSMUSG00000103922,,Gm6123,chr1,4771131,4772199,1
6,30,chr1,4770167,4770462,3.15324,6.74575,123,295,ENSMUSG00000103922,,Gm6123,chr1,4771131,4772199,1
8,32,chr1,4786485,4787059,5.28957,21.96375,281,574,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
9,33,chr1,4806756,4807176,2.77989,6.01708,274,420,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
9,34,chr1,4806756,4807176,2.77989,6.01708,274,420,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
10,34,chr1,4808326,4809289,4.16617,18.17936,423,963,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
13,35,chr1,4856229,4856701,3.60477,9.61205,307,472,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
14,35,chr1,4856762,4857108,2.77643,4.89947,150,346,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
26,54,chr1,6215586,6216818,6.33337,29.85815,376,1232,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
27,54,chr1,6217315,6217692,2.24714,2.41828,157,377,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
29,55,chr1,6359298,6359647,2.62464,4.02934,164,349,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
30,67,chr1,7087843,7088411,4.56329,15.48513,164,568,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
34,74,chr1,7398278,7398732,3.38324,8.03672,184,454,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
36,101,chr1,9544289,9545026,3.23592,7.27422,602,737,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
37,102,chr1,9547088,9549510,5.05078,21.73044,1174,2422,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
41,105,chr1,9631012,9631585,3.13037,6.42788,461,573,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
42,107,chr1,9699314,9700167,4.56329,15.48513,235,853,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
43,107,chr1,9700664,9701459,2.91751,8.14164,557,795,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
