peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,14,chr1,3784385,3784671,3.43771,1.38166,113,286,ENSMUSG00000088333,,Gm27396,chr1,3783876,3783933,-1
1,14,chr1,3785025,3785317,3.61559,1.92404,168,292,ENSMUSG00000088333,,Gm27396,chr1,3783876,3783933,-1
10,300,chr1,22385117,22385321,4.50499,4.41175,109,204,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
12,314,chr1,23781879,23782306,2.91488,0.77448,284,427,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
15,321,chr1,24208517,24208840,4.14923,3.09177,170,323,ENSMUSG00000026147,12839.0,Col9a1,chr1,24177610,24252684,1
16,321,chr1,24209055,24209358,2.90407,0.52741,154,303,ENSMUSG00000026147,12839.0,Col9a1,chr1,24177610,24252684,1
28,460,chr1,34431702,34431954,3.43771,1.38166,153,252,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
38,539,chr1,37229577,37229786,3.61559,1.92404,58,209,ENSMUSG00000026114,12790.0,Cnga3,chr1,37214434,37263384,1
39,548,chr1,37506972,37507178,3.25983,0.87270,56,206,ENSMUSG00000026110,269181.0,Mgat4a,chr1,37439340,37541016,-1
40,555,chr1,37874955,37875183,3.43771,1.38166,174,228,ENSMUSG00000037216,623661.0,Lipt1,chr1,37871738,37876228,1
40,556,chr1,37874955,37875183,3.43771,1.38166,174,228,ENSMUSG00000026088,69028.0,Mitd1,chr1,37874801,37890411,-1
44,620,chr1,40778595,40778945,3.36591,1.33744,178,350,ENSMUSG00000103270,,Gm37915,chr1,40771385,40785343,1
44,621,chr1,40778595,40778945,3.36591,1.33744,178,350,ENSMUSG00000041945,211798.0,Mfsd9,chr1,40772038,40790687,-1
47,635,chr1,42623205,42623551,2.30338,0.00000,50,346,ENSMUSG00000060424,,Pantr1,chr1,42590782,42694842,-1
52,735,chr1,48881380,48881765,1.99717,8.89697,169,385,ENSMUSG00000097883,,Gm8357,chr1,48881713,48882723,1
55,803,chr1,53342165,53342406,3.25983,0.87270,88,241,ENSMUSG00000101838,,Gm18800,chr1,53326206,53342186,-1
56,811,chr1,53613481,53613693,3.79347,2.46001,83,212,ENSMUSG00000096141,627872.0,Dnah7a,chr1,53397006,53706784,-1
58,889,chr1,58507226,58507411,3.43771,1.38166,126,185,ENSMUSG00000026037,18393.0,Orc2,chr1,58462771,58505109,-1
58,890,chr1,58507226,58507411,3.43771,1.38166,126,185,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
59,901,chr1,58819698,58819999,4.50499,4.41175,131,301,ENSMUSG00000026029,12370.0,Casp8,chr1,58795374,58847503,1
60,904,chr1,58935582,58935841,3.61559,1.92404,137,259,ENSMUSG00000026028,70827.0,Trak2,chr1,58900449,58973430,-1
61,916,chr1,59350164,59350439,3.43771,1.38166,135,275,ENSMUSG00000026023,271697.0,Cdk15,chr1,59256906,59352993,1
65,1017,chr1,63285093,63285372,3.79347,2.46001,164,279,ENSMUSG00000027520,73884.0,Zdbf2,chr1,63273265,63314576,1
66,1049,chr1,64943857,64944112,3.43771,1.38166,166,255,ENSMUSG00000051344,241075.0,Plekhm3,chr1,64785983,64956824,-1
69,1094,chr1,66856195,66856720,3.36591,1.33744,230,525,ENSMUSG00000089420,,Gm27934,chr1,66856641,66856703,1
69,1095,chr1,66856195,66856720,3.36591,1.33744,230,525,ENSMUSG00000026003,11363.0,Acadl,chr1,66830839,66863277,-1
70,1095,chr1,66860049,66860565,3.08195,0.87270,148,516,ENSMUSG00000026003,11363.0,Acadl,chr1,66830839,66863277,-1
