peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670337,3672680,42.07330,259.09857,1134,2343,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
4,19,chr1,4494408,4494825,3.97708,5.79925,147,417,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,19,chr1,4496026,4497988,9.51191,42.63427,1363,1962,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,20,chr1,4496026,4497988,9.51191,42.63427,1363,1962,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
8,26,chr1,4689112,4689526,9.40699,26.16015,170,414,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
9,32,chr1,4784129,4785659,30.87422,150.45825,976,1530,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
10,32,chr1,4785747,4786766,17.60413,110.38071,411,1019,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
11,33,chr1,4807282,4809220,30.87422,150.45825,1282,1938,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
11,34,chr1,4807282,4809220,30.87422,150.45825,1282,1938,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
12,35,chr1,4856818,4857781,21.22602,89.41493,600,963,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
13,35,chr1,4858036,4859202,22.26347,139.44708,666,1166,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
16,47,chr1,5588116,5589186,21.70844,92.30854,475,1070,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
17,51,chr1,5916540,5918063,22.59146,113.62103,605,1523,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
19,54,chr1,6214678,6216084,19.87810,118.57144,813,1406,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
21,55,chr1,6358686,6359771,36.42193,188.07590,532,1085,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
22,57,chr1,6382543,6383534,35.69831,183.08214,601,991,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
23,58,chr1,6441015,6441812,32.08024,158.49994,393,797,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
25,67,chr1,7087851,7088802,24.53927,130.91621,486,951,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
26,67,chr1,7088984,7090739,24.07179,121.13319,563,1755,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
28,74,chr1,7397054,7397918,6.75374,14.88053,266,864,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
29,74,chr1,7398130,7399013,28.46217,134.62514,481,883,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
31,95,chr1,9298561,9300248,12.94824,47.65948,457,1687,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
32,101,chr1,9544639,9545381,24.64884,161.00023,355,742,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
33,101,chr1,9545419,9549111,20.26121,83.68726,2772,3692,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
33,102,chr1,9545419,9549111,20.26121,83.68726,2772,3692,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
35,105,chr1,9629413,9631189,6.14511,16.06871,1213,1776,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
37,107,chr1,9699292,9701479,49.68819,283.58173,665,2187,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
39,108,chr1,9744823,9745193,23.63807,104.06531,192,370,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
40,108,chr1,9745336,9748337,40.39875,245.49365,2154,3001,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
40,109,chr1,9745336,9748337,40.39875,245.49365,2154,3001,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
41,109,chr1,9748617,9748980,15.58443,82.99171,162,363,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
