peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3671075,3671512,4.40540,5.63320,157,437,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,19,chr1,4496972,4497514,3.94189,4.21660,465,542,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,20,chr1,4496972,4497514,3.94189,4.21660,465,542,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,32,chr1,4784812,4786361,16.22492,61.06353,777,1549,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
6,33,chr1,4807336,4808997,12.17948,61.87426,656,1661,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
6,34,chr1,4807336,4808997,12.17948,61.87426,656,1661,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
7,35,chr1,4857006,4859064,23.17758,102.90936,1245,2058,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
12,54,chr1,6214015,6215752,20.42152,98.89848,842,1737,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
13,55,chr1,6358808,6359629,6.25944,12.18066,474,821,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
14,57,chr1,6382882,6383187,5.56417,9.57982,139,305,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
15,58,chr1,6441110,6441618,11.58981,36.19110,297,508,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
16,67,chr1,7087787,7088921,18.07896,71.75992,722,1134,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
17,67,chr1,7088971,7090035,10.24954,36.16703,289,1064,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
20,74,chr1,7397658,7397952,8.34524,20.82611,118,294,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
21,74,chr1,7398166,7398774,13.90737,48.26146,323,608,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
22,101,chr1,9544766,9545208,10.66279,31.59972,235,442,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
23,101,chr1,9545376,9546376,14.13912,49.51131,200,1000,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
23,102,chr1,9545376,9546376,14.13912,49.51131,200,1000,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
24,102,chr1,9547518,9547856,5.10066,7.93727,110,338,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
