peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670399,3672611,16.89250,112.29131,1007,2212,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,19,chr1,4496925,4497792,7.59508,31.56919,467,867,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
2,20,chr1,4496925,4497792,7.59508,31.56919,467,867,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
4,26,chr1,4688999,4689617,6.02368,20.84856,252,618,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
5,30,chr1,4770116,4770386,3.93483,9.31238,142,270,ENSMUSG00000103922,,Gm6123,chr1,4771131,4772199,1
6,32,chr1,4783984,4787017,32.21361,280.86789,1135,3033,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
7,33,chr1,4806964,4809324,29.85652,252.99403,626,2360,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
7,34,chr1,4806964,4809324,29.85652,252.99403,626,2360,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
8,35,chr1,4856398,4859928,37.99569,373.20697,2296,3530,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
14,47,chr1,5588222,5589032,5.75526,24.75585,289,810,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
15,51,chr1,5916427,5917730,9.29742,44.39515,753,1303,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
17,54,chr1,6214656,6216781,23.11712,187.65849,726,2125,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
19,55,chr1,6358699,6359665,12.96402,75.32427,596,966,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
20,57,chr1,6382600,6383547,23.83283,184.65869,430,947,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
21,58,chr1,6441098,6441804,11.39262,61.58199,235,706,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
22,67,chr1,7087751,7090726,33.65406,298.18115,715,2975,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
25,74,chr1,7396661,7398993,47.40377,472.55490,1810,2332,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
26,95,chr1,9298654,9300274,7.33318,29.70210,808,1620,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
27,101,chr1,9544362,9545273,32.83123,305.98389,609,911,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
28,101,chr1,9545359,9549162,42.03484,402.67062,352,3803,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
28,102,chr1,9545359,9549162,42.03484,402.67062,352,3803,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
29,107,chr1,9699293,9701516,50.90505,635.13898,785,2223,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
30,108,chr1,9742721,9745222,24.09473,187.53410,1114,2501,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
31,108,chr1,9745302,9749258,30.94081,410.18671,1959,3956,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
31,109,chr1,9745302,9749258,30.94081,410.18671,1959,3956,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
38,110,chr1,9796904,9801864,34.57071,309.30542,999,4960,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
39,111,chr1,9804593,9804945,3.10234,5.56222,91,352,ENSMUSG00000046334,,Gm6195,chr1,9802197,9802553,-1
43,113,chr1,9908187,9909116,13.84126,89.36713,538,929,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
44,114,chr1,9941152,9944835,29.16435,299.26215,1820,3683,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
44,115,chr1,9941152,9944835,29.16435,299.26215,1820,3683,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
45,116,chr1,9966938,9968630,38.76109,361.13800,919,1692,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
