peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,3,chr1,3368375,3368607,3.28883,5.48487,108,232,ENSMUSG00000103377,,Gm37180,chr1,3365731,3368549,-1
2,11,chr1,3670182,3672735,17.12554,121.71074,998,2553,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
4,32,chr1,4784882,4786350,9.85357,62.06705,688,1468,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
5,33,chr1,4807266,4808988,13.38575,95.46505,356,1722,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
5,34,chr1,4807266,4808988,13.38575,95.46505,356,1722,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
6,35,chr1,4857071,4857668,5.96598,22.52779,368,597,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
7,35,chr1,4857744,4858879,14.45602,99.09064,602,1135,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
10,47,chr1,5588227,5589225,5.79018,19.50489,476,998,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
11,51,chr1,5916497,5917967,3.49925,10.23613,413,1470,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
12,54,chr1,6213823,6216037,19.98594,145.65451,997,2214,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
13,55,chr1,6359035,6359547,2.74039,3.86662,347,512,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
14,57,chr1,6382684,6383480,8.97571,43.03292,358,796,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
15,58,chr1,6441130,6441850,9.61349,47.56937,277,720,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
18,67,chr1,7087889,7088794,15.17919,97.33299,677,905,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
19,67,chr1,7088911,7090038,11.89037,66.93799,192,1127,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
22,74,chr1,7397055,7397379,3.66831,7.27016,163,324,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
23,74,chr1,7397567,7397932,10.87842,58.13626,236,365,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
24,74,chr1,7398200,7398750,9.99297,50.68504,285,550,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
25,95,chr1,9298273,9300995,10.04465,55.07561,811,2722,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
26,101,chr1,9544801,9545221,5.31272,16.40515,252,420,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
27,101,chr1,9545424,9546640,7.80166,36.62257,150,1216,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
27,102,chr1,9545424,9546640,7.80166,36.62257,150,1216,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
28,102,chr1,9548030,9548772,2.17570,1.91925,619,742,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
29,104,chr1,9601166,9602652,6.65436,27.59656,409,1486,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
30,107,chr1,9699471,9700403,7.96908,34.67683,553,932,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
31,107,chr1,9700466,9701141,6.25514,30.79081,413,675,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
32,108,chr1,9745443,9745958,2.38585,3.26964,204,515,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
33,108,chr1,9746173,9746813,1.78793,1.03793,326,640,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
34,108,chr1,9746891,9748437,13.84608,85.10799,1303,1546,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
34,109,chr1,9746891,9748437,13.84608,85.10799,1303,1546,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
36,110,chr1,9797761,9798826,9.97302,51.21732,548,1065,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
38,113,chr1,9908636,9908944,3.20409,5.45323,138,308,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
39,114,chr1,9942160,9944660,11.86186,97.33299,1750,2500,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
39,115,chr1,9942160,9944660,11.86186,97.33299,1750,2500,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
40,119,chr1,10008713,10009496,5.56570,17.98034,338,783,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
40,120,chr1,10008713,10009496,5.56570,17.98034,338,783,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
41,121,chr1,10036763,10039675,13.84608,85.10799,1044,2912,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
41,122,chr1,10036763,10039675,13.84608,85.10799,1044,2912,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
42,122,chr1,10039749,10040378,11.35830,68.23225,197,629,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
43,126,chr1,10231363,10234053,16.06465,105.91785,1510,2690,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
44,136,chr1,10993297,10994749,9.48596,55.23034,405,1452,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
45,140,chr1,11413683,11415137,8.34856,37.56002,795,1454,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
45,141,chr1,11413683,11415137,8.34856,37.56002,795,1454,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
46,151,chr1,12692317,12692579,3.65033,7.22432,100,262,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
51,152,chr1,12990135,12993499,11.01411,64.97432,2442,3364,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
52,156,chr1,13128267,13128585,3.54181,6.66037,67,318,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
54,165,chr1,13372632,13374837,15.30569,98.55021,880,2205,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
54,166,chr1,13372632,13374837,15.30569,98.55021,880,2205,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
56,168,chr1,13587999,13589946,16.19114,107.15508,1542,1947,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
57,168,chr1,13590070,13590465,3.41532,6.06459,109,395,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
58,170,chr1,13659954,13660951,7.12019,30.20746,388,997,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
59,179,chr1,14309488,14310444,8.71846,44.84669,482,956,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
