peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3673465,3674022,2.74211,4.50491,158,557,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
5,19,chr1,4494309,4495369,6.23614,33.78574,572,1060,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
6,19,chr1,4495995,4499082,4.91621,24.44491,2275,3087,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
6,20,chr1,4495995,4499082,4.91621,24.44491,2275,3087,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
7,20,chr1,4499772,4500039,5.48422,22.82509,120,267,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
18,47,chr1,5588776,5589914,3.68766,9.79259,336,1138,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
19,51,chr1,5915598,5918081,7.09166,36.81462,924,2483,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
20,55,chr1,6357754,6358198,2.28035,2.70920,336,444,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
21,55,chr1,6358775,6359640,3.87677,11.00222,710,865,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
23,58,chr1,6441692,6442173,2.19264,2.35928,162,481,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
26,95,chr1,9299138,9300301,3.02577,5.94356,216,1163,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
27,95,chr1,9301950,9302614,3.40400,8.06565,129,664,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
28,103,chr1,9573706,9574066,2.45844,3.21806,230,360,ENSMUSG00000081441,,Gm6161,chr1,9574548,9575649,1
38,107,chr1,9699511,9699991,2.45576,3.46987,329,480,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
39,110,chr1,9796105,9796737,4.16044,12.89331,292,632,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
40,110,chr1,9798593,9799395,3.48252,9.92365,584,802,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
44,116,chr1,9964568,9964905,3.02577,5.94356,193,337,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
45,116,chr1,9966800,9968523,8.32088,48.62851,1122,1723,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
45,117,chr1,9966800,9968523,8.32088,48.62851,1122,1723,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
46,117,chr1,9968826,9969945,8.33204,52.36311,316,1119,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
49,140,chr1,11412908,11413188,3.49855,8.62952,122,280,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
50,140,chr1,11413260,11413817,3.78222,10.39182,393,557,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
51,141,chr1,11414730,11415664,4.45439,17.36006,638,934,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
